Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150204_030000.wav	20150204_030000.wav	41197.053	41208.709	1652038	1663694	2015/2/4  3:27:32.053	11.656	21.9	28.4	10.2	23.4	27.3	BmAnt-A
2	Spectrogram 1	1	20150216_110000.wav	20150216_110000.wav	67995.436	68001.414	3250408	3256386	2015/2/16  11:54:10.436	5.978	22.4	27.3	5.2	22.5	26.4	BmAnt-A
3	Spectrogram 1	1	20150216_110000.wav	20150216_110000.wav	67889.753	67894.236	3144725	3149208	2015/2/16  11:52:24.753	4.483	24.5	27.3	3.7	25.4	26.4	BmAnt-A
4	Spectrogram 1	1	20150216_110000.wav	20150216_110000.wav	67792.251	67798.004	3047223	3052976	2015/2/16  11:50:47.251	5.753	24.2	27.6	4.8	24.4	27.3	BmAnt-A
5	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	74261.379	74269.225	2316347	2324193	2015/2/20  0:38:36.379	7.846	22.7	27.3	6.3	23.4	26.4	BmAnt-A
6	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	72095.028	72100.632	149996	155600	2015/2/20  0:02:29.028	5.604	23.7	26.8	4.5	24.4	26.4	BmAnt-A
7	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	74647.994	74655.765	2702962	2710733	2015/2/20  0:45:02.994	7.771	22.9	28.4	5.9	24.4	27.3	BmAnt-A
8	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	75516.582	75521.589	3571550	3576557	2015/2/20  0:59:31.582	5.007	22.9	27.3	4.2	23.4	26.4	BmAnt-A
9	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	72368.263	72374.689	423231	429657	2015/2/20  0:07:03.263	6.426	23.2	27.9	5.2	24.4	27.3	BmAnt-A
10	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	74306.883	74315.177	2361851	2370145	2015/2/20  0:39:21.883	8.294	22.9	28.4	7.2	23.4	28.3	BmAnt-A
11	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	72302.734	72309.011	357702	363979	2015/2/20  0:05:57.734	6.277	23.7	27.6	5.5	24.4	27.3	BmAnt-A
12	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	74236.124	74249.574	2291092	2304542	2015/2/20  0:38:11.124	13.45	22.7	27.3	11.7	23.4	26.4	BmAnt-A
13	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	72043.142	72051.585	98110	106553	2015/2/20  0:01:38.142	8.443	23.4	27.6	7.1	23.4	27.3	BmAnt-A
14	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	72108.253	72117.967	163221	172935	2015/2/20  0:02:43.253	9.714	23.2	28.1	8.3	23.4	27.3	BmAnt-A
15	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	72238.744	72246.141	293712	301109	2015/2/20  0:04:53.744	7.397	23.4	27.3	5.4	23.4	26.4	BmAnt-A
16	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	72930.635	72937.434	985603	992402	2015/2/20  0:16:25.635	6.799	22.4	27.1	5.9	22.5	26.4	BmAnt-A
17	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	72994.146	73001.469	1049114	1056437	2015/2/20  0:17:29.146	7.323	24.2	27.3	6.6	24.4	26.4	BmAnt-A
18	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	72226.639	72233.215	281607	288183	2015/2/20  0:04:41.639	6.576	24.2	27.9	5.5	24.4	27.3	BmAnt-A
19	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	73960.169	73966.445	2015137	2021413	2015/2/20  0:33:35.169	6.276	23.7	27.6	4.9	24.4	27.3	BmAnt-A
20	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	72172.02	72181.061	226988	236029	2015/2/20  0:03:46.020	9.041	23.2	27.9	7.7	23.4	27.3	BmAnt-A
21	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	72014.002	72020.876	68970	75844	2015/2/20  0:01:08.002	6.874	25.3	27.6	5.7	25.4	27.3	BmAnt-A
22	Spectrogram 1	1	20150220_000000.wav	20150220_000000.wav	71976.268	71984.263	31236	39231	2015/2/20  0:00:31.268	7.995	23.2	26.8	6.8	23.4	26.4	BmAnt-A
23	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	80317.524	80322.231	1172489	1177196	2015/2/23  13:19:32.524	4.707	24.0	26.8	3.7	24.4	26.4	BmAnt-A
24	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	79803.601	79808.308	658566	663273	2015/2/23  13:10:58.601	4.707	23.4	27.6	3.9	23.4	27.3	BmAnt-A
25	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	79738.072	79746.665	593037	601630	2015/2/23  13:09:53.072	8.593	23.7	27.1	7.2	24.4	26.4	BmAnt-A
26	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	79867.89	79874.39	722855	729355	2015/2/23  13:12:02.890	6.5	24.0	27.1	5.1	24.4	26.4	BmAnt-A
27	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	80057.962	80065.21	912927	920175	2015/2/23  13:15:12.962	7.248	23.4	26.3	6.2	23.4	25.4	BmAnt-A
28	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	80688.821	80693.976	1543786	1548941	2015/2/23  13:25:43.821	5.155	23.2	27.3	4.3	23.4	26.4	BmAnt-A
29	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	80555.267	80561.992	1410232	1416957	2015/2/23  13:23:30.267	6.725	23.2	27.1	5.5	23.4	26.4	BmAnt-A
30	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	81941.035	81947.088	2796000	2802053	2015/2/23  13:46:36.035	6.053	23.4	26.8	4.5	23.4	26.4	BmAnt-A
31	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	79516.767	79523.641	371732	378606	2015/2/23  13:06:11.767	6.874	23.7	27.9	5.9	24.4	27.3	BmAnt-A
32	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	80424.328	80431.875	1279293	1286840	2015/2/23  13:21:19.328	7.547	23.7	28.1	5.2	24.4	27.3	BmAnt-A
33	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	82002.784	82009.883	2857749	2864848	2015/2/23  13:47:37.784	7.099	24.0	28.1	5.9	24.4	27.3	BmAnt-A
34	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	80660.278	80666.031	1515243	1520996	2015/2/23  13:25:15.278	5.753	23.4	27.9	5.1	23.4	27.3	BmAnt-A
35	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	82318.609	82326.903	3173574	3181868	2015/2/23  13:52:53.609	8.294	23.2	27.1	7.1	23.4	26.4	BmAnt-A
36	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	82018.625	82023.183	2873590	2878148	2015/2/23  13:47:53.625	4.558	23.4	27.3	3.4	23.4	26.4	BmAnt-A
