Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150223_130000.wav	20150223_130000.wav	79578.186	79584.612	433151	439577	2015/2/23  13:07:13.186	6.426	17.4	27.3	5.9	17.6	26.4	BmAnt-B
2	Spectrogram 1	1	20150225_070000.wav	20150225_070000.wav	83230.983	83239.127	513946	522090	2015/2/25  7:08:33.983	8.144	19.5	26.8	6.5	20.5	26.4	BmAnt-B
3	Spectrogram 1	1	20150228_200000.wav	20150228_200000.wav	92580.583	92586.785	2719542	2725744	2015/2/28  20:45:19.583	6.202	16.4	27.6	5.2	16.6	26.4	BmAnt-B
4	Spectrogram 1	1	20150228_200000.wav	20150228_200000.wav	92257.853	92267.118	2396812	2406077	2015/2/28  20:39:56.853	9.265	14.3	28.1	8.0	15.6	26.4	BmAnt-B
5	Spectrogram 1	1	20150228_200000.wav	20150228_200000.wav	92886.844	92895.063	3025803	3034022	2015/2/28  20:50:25.844	8.219	20.1	27.6	6.9	20.5	27.3	BmAnt-B
6	Spectrogram 1	1	20150302_140000.wav	20150302_140000.wav	96670.094	96681.078	3209052	3220036	2015/3/2  14:53:29.094	10.984	19.0	28.9	9.9	19.5	28.3	BmAnt-B
7	Spectrogram 1	1	20150304_080000.wav	20150304_080000.wav	98224.565	98231.962	1163521	1170918	2015/3/4  8:19:23.565	7.397	18.2	28.1	5.4	19.5	26.4	BmAnt-B
8	Spectrogram 1	1	20150304_080000.wav	20150304_080000.wav	98071.18	98079.922	1010136	1018878	2015/3/4  8:16:50.180	8.742	16.4	27.6	7.5	17.6	26.4	BmAnt-B
9	Spectrogram 1	1	20150304_080000.wav	20150304_080000.wav	97587.698	97598.01	526654	536966	2015/3/4  8:08:46.698	10.312	14.8	27.3	8.0	16.6	26.4	BmAnt-B
10	Spectrogram 1	1	20150304_080000.wav	20150304_080000.wav	98009.462	98018.129	948418	957085	2015/3/4  8:15:48.462	8.667	15.4	28.1	7.5	15.6	26.4	BmAnt-B
11	Spectrogram 1	1	20150306_030000.wav	20150306_030000.wav	102699.04	102708.38	2037995	2047335	2015/3/6  3:33:57.040	9.34	20.3	28.1	7.2	21.5	26.4	BmAnt-B
12	Spectrogram 1	1	20150329_020000.wav	20150329_020000.wav	148156.729	148159.868	695664	698803	2015/3/29  2:11:35.729	3.139	17.4	27.3	2.6	17.6	26.4	BmAnt-B
13	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	158469.295	158479.158	292224	302087	2015/4/3  9:04:52.295	9.863	21.1	28.6	7.2	22.5	27.3	BmAnt-B
14	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	158741.932	158748.358	564861	571287	2015/4/3  9:09:24.932	6.426	20.3	27.6	4.8	20.5	27.3	BmAnt-B
15	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	158799.272	158810.181	622201	633110	2015/4/3  9:10:22.272	10.909	19.0	27.9	9.2	19.5	26.4	BmAnt-B
16	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	158662.281	158673.564	485210	496493	2015/4/3  9:08:05.281	11.283	20.8	28.6	8.8	21.5	27.3	BmAnt-B
17	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	158202.934	158217.131	25863	40060	2015/4/3  9:00:25.934	14.197	18.0	27.3	11.7	18.6	26.4	BmAnt-B
18	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	161544.237	161557.551	3367166	3380480	2015/4/3  9:56:07.237	13.314	17.7	29.7	10.5	18.6	27.3	BmAnt-B
19	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	161049.078	161059.688	2872007	2882617	2015/4/3  9:47:52.078	10.61	13.0	28.9	8.6	15.6	26.4	BmAnt-B
20	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	159990.498	160002.016	1813427	1824945	2015/4/3  9:30:13.498	11.518	18.0	28.1	9.2	18.6	26.4	BmAnt-B
21	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	161349.272	161360.895	3172201	3183824	2015/4/3  9:52:52.272	11.623	19.5	28.9	9.9	21.5	27.3	BmAnt-B
22	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	159006.754	159018.859	829683	841788	2015/4/3  9:13:49.754	12.105	16.1	28.6	10.5	17.6	27.3	BmAnt-B
23	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	160861.771	160869.84	2684700	2692769	2015/4/3  9:44:44.771	8.069	13.8	28.1	7.2	15.6	26.4	BmAnt-B
24	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	158402.913	158414.121	225842	237050	2015/4/3  9:03:45.913	11.208	20.3	28.6	8.6	20.5	27.3	BmAnt-B
25	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	160841.223	160850.488	2664152	2673417	2015/4/3  9:44:24.223	9.265	13.0	29.7	7.7	15.6	27.3	BmAnt-B
26	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	161362.375	161372.096	3185304	3195025	2015/4/3  9:53:05.375	9.721	14.1	28.6	7.4	17.6	26.4	BmAnt-B
27	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	159664.655	159677.432	1487584	1500361	2015/4/3  9:24:47.655	12.777	19.8	27.3	8.9	21.5	26.4	BmAnt-B
28	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	158335.292	158349.265	158221	172194	2015/4/3  9:02:38.292	13.973	21.1	28.4	11.1	22.5	27.3	BmAnt-B
29	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	161385.833	161395.343	3208762	3218272	2015/4/3  9:53:28.833	9.51	15.4	28.9	8.0	16.6	27.3	BmAnt-B
30	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	158729.977	158741.259	552906	564188	2015/4/3  9:09:12.977	11.282	20.3	28.1	8.0	21.5	26.4	BmAnt-B
31	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	158595.975	158608.527	418904	431456	2015/4/3  9:06:58.975	12.552	21.1	27.9	10.2	21.5	27.3	BmAnt-B
32	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	158534.256	158544.941	357185	367870	2015/4/3  9:05:57.256	10.685	19.5	28.4	8.3	19.5	27.3	BmAnt-B
33	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	160589.673	160599.288	2412602	2422217	2015/4/3  9:40:12.673	9.615	20.8	27.6	7.7	21.5	26.4	BmAnt-B
34	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	158272.124	158282.809	95053	105738	2015/4/3  9:01:35.124	10.685	20.1	28.4	7.5	21.5	27.3	BmAnt-B
35	Spectrogram 1	1	20150406_210000.wav	20150406_210000.wav	165891.51	165897.744	514435	520669	2015/4/6  21:08:34.510	6.234	14.8	27.1	5.5	16.6	26.4	BmAnt-B
36	Spectrogram 1	1	20150406_210000.wav	20150406_210000.wav	166610.166	166615.621	1233091	1238546	2015/4/6  21:20:33.166	5.455	13.8	28.4	4.8	16.6	26.4	BmAnt-B
37	Spectrogram 1	1	20150406_210000.wav	20150406_210000.wav	166887.243	166894.266	1510168	1517191	2015/4/6  21:25:10.243	7.023	12.0	27.9	6.0	14.6	26.4	BmAnt-B
38	Spectrogram 1	1	20150406_210000.wav	20150406_210000.wav	168541.501	168547.479	3164426	3170404	2015/4/6  21:52:44.501	5.978	13.0	28.4	5.1	15.6	27.3	BmAnt-B
39	Spectrogram 1	1	20150406_210000.wav	20150406_210000.wav	168385.084	168390.464	3008009	3013389	2015/4/6  21:50:08.084	5.38	16.7	28.6	4.8	17.6	26.4	BmAnt-B
40	Spectrogram 1	1	20150406_210000.wav	20150406_210000.wav	166074.948	166079.357	697873	702282	2015/4/6  21:11:37.948	4.409	15.1	28.4	3.5	16.6	27.3	BmAnt-B
41	Spectrogram 1	1	20150413_230000.wav	20150413_230000.wav	180035.977	180041.879	258894	264796	2015/4/13  23:04:18.977	5.902	14.3	28.4	5.1	15.6	27.3	BmAnt-B
42	Spectrogram 1	1	20150413_230000.wav	20150413_230000.wav	181865.177	181872.35	2088094	2095267	2015/4/13  23:34:48.177	7.173	15.9	28.9	6.0	16.6	27.3	BmAnt-B
