Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	159862.844	159879.434	1685773	1702363	2015/4/3  9:28:05.844	16.59	14.6	27.6	12.6	16.6	26.4	BmAnt-Z
2	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	160211.753	160221.242	2034682	2044171	2015/4/3  9:33:54.753	9.489	15.1	27.9	8.3	16.6	26.4	BmAnt-Z
3	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	160278.888	160290.617	2101817	2113546	2015/4/3  9:35:01.888	11.729	15.9	26.6	10.5	16.6	26.4	BmAnt-Z
4	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	159149.91	159158.278	972839	981207	2015/4/3  9:16:12.910	8.368	15.1	27.9	7.4	16.6	26.4	BmAnt-Z
5	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	160650.627	160664.973	2473556	2487902	2015/4/3  9:41:13.627	14.346	15.9	28.1	12.9	16.6	26.4	BmAnt-Z
6	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	161189.593	161202.485	3012522	3025414	2015/4/3  9:50:12.593	12.892	15.6	28.1	11.5	16.6	26.4	BmAnt-Z
7	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	159732.157	159747.923	1555086	1570852	2015/4/3  9:25:55.157	15.766	15.6	29.2	13.9	16.6	26.4	BmAnt-Z
8	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	160526.114	160537.92	2349043	2360849	2015/4/3  9:39:09.114	11.806	15.9	27.6	10.8	16.6	26.4	BmAnt-Z
9	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	159797.088	159812.63	1620017	1635559	2015/4/3  9:27:00.088	15.542	15.6	28.9	13.4	16.6	27.3	BmAnt-Z
10	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	160607.141	160617.676	2430070	2440605	2015/4/3  9:40:30.141	10.535	15.1	28.4	8.9	16.6	26.4	BmAnt-Z
11	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	160626.792	160640.017	2449721	2462946	2015/4/3  9:40:49.792	13.225	16.7	28.4	11.7	17.6	26.4	BmAnt-Z
12	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	160493.985	160510.946	2316914	2333875	2015/4/3  9:38:36.985	16.961	14.8	27.6	15.2	16.6	26.4	BmAnt-Z
13	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	161715.609	161734.438	3538538	3557367	2015/4/3  9:58:58.609	18.829	15.1	27.6	16.3	16.6	26.4	BmAnt-Z
14	Spectrogram 1	1	20150403_090000.wav	20150403_090000.wav	160055.335	160071.699	1878264	1894628	2015/4/3  9:31:18.335	16.364	14.1	29.7	13.7	16.6	27.3	BmAnt-Z
15	Spectrogram 1	1	20150405_030000.wav	20150405_030000.wav	162336.411	162346.797	559338	569724	2015/4/5  3:09:19.411	10.386	15.6	28.6	9.1	16.6	27.3	BmAnt-Z
