Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150115_170000.wav	20150115_170000.wav	2.989	5.753	2989	5753	2015/1/15  17:00:02.989	2.764	35.9	76.6	2.0	39.1	71.3	BmD
2	Spectrogram 1	1	20150115_170000.wav	20150115_170000.wav	60.747	62.839	60747	62839	2015/1/15  17:01:00.747	2.092	57.3	81.2	1.2	60.5	78.1	BmD
3	Spectrogram 1	1	20150115_170000.wav	20150115_170000.wav	528.313	530.405	528313	530405	2015/1/15  17:08:48.313	2.092	46.4	75.8	1.5	47.9	73.2	BmD
4	Spectrogram 1	1	20150115_170000.wav	20150115_170000.wav	1624.677	1627.516	1624677	1627516	2015/1/15  17:27:04.677	2.839	47.7	102.3	2.2	48.8	95.7	BmD
5	Spectrogram 1	1	20150115_170000.wav	20150115_170000.wav	3401.723	3403.143	3401723	3403143	2015/1/15  17:56:41.723	1.42	46.6	68.7	1.2	47.9	67.4	BmD
6	Spectrogram 1	1	20150225_070000.wav	20150225_070000.wav	85485.422	85488.336	2768385	2771299	2015/2/25  7:46:08.422	2.914	50.3	78.6	2.2	51.8	75.2	BmD
7	Spectrogram 1	1	20150225_070000.wav	20150225_070000.wav	85851.563	85856.196	3134526	3139159	2015/2/25  7:52:14.563	4.633	49.5	82.8	3.5	50.8	80.1	BmD
8	Spectrogram 1	1	20150225_070000.wav	20150225_070000.wav	86143.21	86146.871	3426173	3429834	2015/2/25  7:57:06.210	3.661	56.2	73.4	2.6	57.6	71.3	BmD
9	Spectrogram 1	1	20150225_070000.wav	20150225_070000.wav	86171.006	86175.862	3453969	3458825	2015/2/25  7:57:33.006	4.856	47.4	87.8	4.3	48.8	84.0	BmD
10	Spectrogram 1	1	20150228_200000.wav	20150228_200000.wav	91026.485	91031.417	1165444	1170376	2015/2/28  20:19:25.485	4.932	35.9	78.9	4.5	37.1	76.2	BmD
11	Spectrogram 1	1	20150228_200000.wav	20150228_200000.wav	91042.625	91047.855	1181584	1186814	2015/2/28  20:19:41.625	5.23	39.8	72.4	4.6	42.0	69.3	BmD
12	Spectrogram 1	1	20150228_200000.wav	20150228_200000.wav	91711.353	91714.715	1850312	1853674	2015/2/28  20:30:50.353	3.362	40.9	72.9	2.6	43.0	69.3	BmD
13	Spectrogram 1	1	20150228_200000.wav	20150228_200000.wav	91779.646	91783.606	1918605	1922565	2015/2/28  20:31:58.646	3.96	41.7	83.9	3.4	43.9	80.1	BmD
14	Spectrogram 1	1	20150228_200000.wav	20150228_200000.wav	91833.25	91836.164	1972209	1975123	2015/2/28  20:32:52.250	2.914	58.1	82.0	2.2	59.6	80.1	BmD
15	Spectrogram 1	1	20150228_200000.wav	20150228_200000.wav	91838.032	91842.291	1976991	1981250	2015/2/28  20:32:56.032	4.259	44.8	90.9	3.7	47.9	88.9	BmD
16	Spectrogram 1	1	20150228_200000.wav	20150228_200000.wav	91857.833	91861.868	1996792	2000827	2015/2/28  20:33:16.833	4.035	48.7	76.0	3.2	49.8	73.2	BmD
17	Spectrogram 1	1	20150228_200000.wav	20150228_200000.wav	92123.82	92127.93	2262779	2266889	2015/2/28  20:37:42.820	4.11	58.9	83.1	3.2	60.5	82.0	BmD
18	Spectrogram 1	1	20150228_200000.wav	20150228_200000.wav	92133.832	92137.643	2272791	2276602	2015/2/28  20:37:52.832	3.811	56.2	82.8	3.1	58.6	80.1	BmD
19	Spectrogram 1	1	20150302_140000.wav	20150302_140000.wav	93738.889	93743.372	277847	282330	2015/3/2  14:04:37.889	4.483	37.2	74.2	3.9	41.0	71.3	BmD
20	Spectrogram 1	1	20150302_140000.wav	20150302_140000.wav	94827.07	94831.628	1366028	1370586	2015/3/2  14:22:46.070	4.558	48.4	87.5	3.9	49.8	84.0	BmD
21	Spectrogram 1	1	20150302_140000.wav	20150302_140000.wav	94834.692	94838.801	1373650	1377759	2015/3/2  14:22:53.692	4.109	35.9	71.6	3.4	38.1	69.3	BmD
22	Spectrogram 1	1	20150302_140000.wav	20150302_140000.wav	94855.09	94860.395	1394048	1399353	2015/3/2  14:23:14.090	5.305	47.4	80.2	4.5	48.8	78.1	BmD
23	Spectrogram 1	1	20150302_140000.wav	20150302_140000.wav	95185.366	95188.803	1724324	1727761	2015/3/2  14:28:44.366	3.437	45.8	80.5	2.8	48.8	78.1	BmD
24	Spectrogram 1	1	20150302_140000.wav	20150302_140000.wav	95216.181	95222.084	1755139	1761042	2015/3/2  14:29:15.181	5.903	34.9	74.7	4.8	37.1	73.2	BmD
25	Spectrogram 1	1	20150302_140000.wav	20150302_140000.wav	95231.499	95235.384	1770457	1774342	2015/3/2  14:29:30.499	3.885	48.4	75.8	3.2	49.8	74.2	BmD
26	Spectrogram 1	1	20150306_030000.wav	20150306_030000.wav	101199.593	101205.944	538548	544899	2015/3/6  3:08:58.593	6.351	24.2	74.0	5.1	26.4	72.3	BmD
27	Spectrogram 1	1	20150306_030000.wav	20150306_030000.wav	101221.86	101227.165	560815	566120	2015/3/6  3:09:20.860	5.305	43.7	83.6	4.5	45.9	81.1	BmD
28	Spectrogram 1	1	20150306_030000.wav	20150306_030000.wav	101230.004	101233.516	568959	572471	2015/3/6  3:09:28.004	3.512	34.4	79.7	3.1	36.1	76.2	BmD
