Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150309_160000.wav	20150309_160000.wav	108587.752	108589.321	726705	728274	2015/3/9  16:12:06.752	1.569	13.3	34.1	1.1	15.6	31.2	Bp20Hz
2	Spectrogram 1	1	20150309_160000.wav	20150309_160000.wav	108552.485	108554.203	691438	693156	2015/3/9  16:11:31.485	1.718	13.3	34.9	1.7	15.6	31.2	Bp20Hz
3	Spectrogram 1	1	20150316_170000.wav	20150316_170000.wav	122625.436	122627.229	364383	366176	2015/3/16  17:06:04.436	1.793	15.1	32.8	1.2	16.6	31.2	Bp20Hz
4	Spectrogram 1	1	20150316_170000.wav	20150316_170000.wav	124034.816	124036.684	1773763	1775631	2015/3/16  17:29:33.816	1.868	10.4	32.6	1.5	13.7	31.2	Bp20Hz
5	Spectrogram 1	1	20150316_170000.wav	20150316_170000.wav	125509.531	125511.549	3248478	3250496	2015/3/16  17:54:08.531	2.018	13.5	28.1	1.4	16.6	26.4	Bp20Hz
6	Spectrogram 1	1	20150316_170000.wav	20150316_170000.wav	124197.018	124198.512	1935965	1937459	2015/3/16  17:32:15.018	1.494	16.1	34.6	0.9	16.6	33.2	Bp20Hz
7	Spectrogram 1	1	20150316_170000.wav	20150316_170000.wav	123360.515	123361.934	1099462	1100881	2015/3/16  17:18:19.515	1.419	13.5	29.9	1.2	14.6	26.4	Bp20Hz
8	Spectrogram 1	1	20150316_170000.wav	20150316_170000.wav	123373.889	123375.608	1112836	1114555	2015/3/16  17:18:32.889	1.719	12.8	29.9	1.4	15.6	27.3	Bp20Hz
9	Spectrogram 1	1	20150316_170000.wav	20150316_170000.wav	122821.561	122823.877	560508	562824	2015/3/16  17:09:20.561	2.316	14.1	28.4	1.7	15.6	27.3	Bp20Hz
10	Spectrogram 1	1	20150316_170000.wav	20150316_170000.wav	124318.393	124320.186	2057340	2059133	2015/3/16  17:34:17.393	1.793	17.7	37.5	1.4	18.6	33.2	Bp20Hz
11	Spectrogram 1	1	20150316_170000.wav	20150316_170000.wav	122353.546	122354.966	92493	93913	2015/3/16  17:01:32.546	1.42	15.4	33.3	0.9	16.6	32.2	Bp20Hz
