Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133069.83	133071.848	8772	10790	2015/3/22  0:00:08.830	2.018	12.8	91.1	0.9	15.6	33.2	Bp20Plus
2	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133108.236	133109.955	47178	48897	2015/3/22  0:00:47.236	1.719	13.0	87.2	0.9	15.6	36.1	Bp20Plus
3	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133239.436	133241.08	178378	180022	2015/3/22  0:02:58.436	1.644	13.0	93.0	1.1	15.6	68.4	Bp20Plus
4	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133273.315	133275.407	212257	214349	2015/3/22  0:03:32.315	2.092	13.0	91.9	0.9	15.6	59.6	Bp20Plus
5	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133791.048	133792.916	729990	731858	2015/3/22  0:12:09.048	1.868	11.5	90.6	0.8	15.6	54.7	Bp20Plus
6	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133816.826	133819.068	755768	758010	2015/3/22  0:12:35.826	2.242	13.0	93.0	0.9	15.6	40.0	Bp20Plus
7	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133833.638	133835.805	772580	774747	2015/3/22  0:12:52.638	2.167	12.8	88.8	1.4	15.6	54.7	Bp20Plus
8	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133962.373	133964.465	901315	903407	2015/3/22  0:15:01.373	2.092	13.3	90.9	1.1	15.6	51.8	Bp20Plus
9	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134069.289	134071.232	1008231	1010174	2015/3/22  0:16:48.289	1.943	12.0	94.0	1.5	14.6	72.3	Bp20Plus
10	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134094.768	134096.935	1033710	1035877	2015/3/22  0:17:13.768	2.167	14.3	91.9	1.1	15.6	64.5	Bp20Plus
11	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134251.666	134253.384	1190608	1192326	2015/3/22  0:19:50.666	1.718	13.3	87.2	0.8	15.6	46.9	Bp20Plus
12	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134271.616	134273.11	1210558	1212052	2015/3/22  0:20:10.616	1.494	13.8	92.4	0.9	16.6	61.5	Bp20Plus
13	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134291.117	134292.911	1230059	1231853	2015/3/22  0:20:30.117	1.794	12.8	93.0	0.9	15.6	39.1	Bp20Plus
14	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134373.632	134375.724	1312574	1314666	2015/3/22  0:21:52.632	2.092	13.3	95.6	1.2	15.6	62.5	Bp20Plus
15	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134393.731	134396.047	1332673	1334989	2015/3/22  0:22:12.731	2.316	12.8	94.8	1.1	15.6	70.3	Bp20Plus
16	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134535.354	134537.671	1474296	1476613	2015/3/22  0:24:34.354	2.317	11.5	92.2	1.1	15.6	79.1	Bp20Plus
17	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134563.748	134565.541	1502690	1504483	2015/3/22  0:25:02.748	1.793	12.0	95.1	1.1	14.6	58.6	Bp20Plus
18	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135164.943	135166.886	2103885	2105828	2015/3/22  0:35:03.943	1.943	10.2	93.5	0.9	15.6	31.2	Bp20Plus
19	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135204.171	135206.487	2143113	2145429	2015/3/22  0:35:43.171	2.316	12.0	92.7	0.8	16.6	30.3	Bp20Plus
20	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135224.637	135227.402	2163579	2166344	2015/3/22  0:36:03.637	2.765	12.5	93.5	0.8	15.6	31.2	Bp20Plus
21	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135243.616	135245.858	2182558	2184800	2015/3/22  0:36:22.616	2.242	11.5	91.7	0.8	15.6	31.2	Bp20Plus
22	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135346.423	135348.44	2285365	2287382	2015/3/22  0:38:05.423	2.017	11.5	90.4	0.8	15.6	30.3	Bp20Plus
23	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135359.872	135361.516	2298814	2300458	2015/3/22  0:38:18.872	1.644	14.1	91.1	0.6	17.6	32.2	Bp20Plus
24	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135396.036	135398.203	2334978	2337145	2015/3/22  0:38:54.036	2.167	12.5	92.7	0.8	15.6	30.3	Bp20Plus
25	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135414.373	135416.241	2353315	2355183	2015/3/22  0:39:13.373	1.868	12.4	96.0	0.6	16.6	31.2	Bp20Plus
26	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135432.717	135434.659	2371659	2373601	2015/3/22  0:39:31.717	1.942	12.8	92.2	0.6	16.6	31.2	Bp20Plus
27	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135472.131	135474.223	2411073	2413165	2015/3/22  0:40:11.131	2.092	12.2	94.3	0.8	16.6	31.2	Bp20Plus
28	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135488.868	135490.96	2427810	2429902	2015/3/22  0:40:27.868	2.092	12.0	96.9	0.9	15.6	32.2	Bp20Plus
29	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135510.013	135512.629	2448955	2451571	2015/3/22  0:40:48.013	2.616	12.0	91.7	0.8	15.6	30.3	Bp20Plus
30	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135536.383	135538.849	2475325	2477791	2015/3/22  0:41:15.383	2.466	12.8	92.2	0.9	15.6	31.2	Bp20Plus
31	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135551.476	135554.091	2490418	2493033	2015/3/22  0:41:30.476	2.615	11.7	92.4	0.8	15.6	34.2	Bp20Plus
32	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135646.251	135648.791	2585193	2587733	2015/3/22  0:43:05.251	2.54	13.5	94.0	0.8	15.6	32.2	Bp20Plus
33	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135663.287	135666.051	2602229	2604993	2015/3/22  0:43:22.287	2.764	13.0	90.4	0.8	16.6	31.2	Bp20Plus
34	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135680.098	135682.49	2619040	2621432	2015/3/22  0:43:39.098	2.392	12.6	91.5	0.8	16.6	30.3	Bp20Plus
35	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135844.618	135847.083	2783560	2786025	2015/3/22  0:46:23.618	2.465	13.0	94.3	0.8	16.6	47.9	Bp20Plus
36	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135873.609	135875.626	2812551	2814568	2015/3/22  0:46:52.609	2.017	11.7	95.6	0.8	16.6	33.2	Bp20Plus
37	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135900.881	135903.646	2839823	2842588	2015/3/22  0:47:19.881	2.765	12.0	95.1	0.8	16.6	85.0	Bp20Plus
38	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135927.96	135930.874	2866902	2869816	2015/3/22  0:47:46.960	2.914	13.0	92.2	0.8	15.6	33.2	Bp20Plus
39	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135946.267	135948.882	2885209	2887824	2015/3/22  0:48:05.267	2.615	13.3	90.6	0.9	15.6	32.2	Bp20Plus
40	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136059.684	136062.299	2998626	3001241	2015/3/22  0:49:58.684	2.615	12.2	98.4	0.8	15.6	33.2	Bp20Plus
41	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136098.313	136100.779	3037255	3039721	2015/3/22  0:50:37.313	2.466	12.0	93.8	0.9	16.6	41.0	Bp20Plus
42	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136115.723	136117.591	3054665	3056533	2015/3/22  0:50:54.723	1.868	13.3	90.1	0.9	15.6	31.2	Bp20Plus
43	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136133.917	136136.084	3072859	3075026	2015/3/22  0:51:12.917	2.167	12.5	95.8	0.8	15.6	33.2	Bp20Plus
44	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136146.32	136148.487	3085262	3087429	2015/3/22  0:51:25.320	2.167	12.8	94.0	0.9	15.6	32.2	Bp20Plus
45	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136164.85	136167.167	3103792	3106109	2015/3/22  0:51:43.850	2.317	12.8	90.4	0.8	15.6	33.2	Bp20Plus
46	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136186.743	136188.91	3125685	3127852	2015/3/22  0:52:05.743	2.167	12.2	92.4	0.8	15.6	38.1	Bp20Plus
47	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136206.425	136208.293	3145367	3147235	2015/3/22  0:52:25.425	1.868	12.2	94.0	0.8	15.6	33.2	Bp20Plus
48	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136226.3	136228.766	3165242	3167708	2015/3/22  0:52:45.300	2.466	13.3	91.1	1.2	15.6	43.0	Bp20Plus
49	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136305.683	136307.701	3244625	3246643	2015/3/22  0:54:04.683	2.018	13.3	91.7	0.9	15.6	35.2	Bp20Plus
50	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136340.727	136342.744	3279669	3281686	2015/3/22  0:54:39.727	2.017	13.3	95.1	0.8	16.6	32.2	Bp20Plus
51	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136359.108	136361.274	3298050	3300216	2015/3/22  0:54:58.108	2.166	13.3	90.4	0.8	15.6	32.2	Bp20Plus
52	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136412.674	136414.841	3351616	3353783	2015/3/22  0:55:51.674	2.167	10.9	94.3	0.8	15.6	31.2	Bp20Plus
53	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136431.504	136433.671	3370446	3372613	2015/3/22  0:56:10.504	2.167	13.3	102.1	0.9	16.6	57.6	Bp20Plus
