Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150323_180000.wav	20150323_180000.wav	136815.534	136817.178	154474	156118	2015/3/23  18:02:34.534	1.644	29.4	73.2	1.1	33.2	67.4	BpDwnswp
2	Spectrogram 1	1	20150323_180000.wav	20150323_180000.wav	138103.688	138105.257	1442628	1444197	2015/3/23  18:24:02.688	1.569	46.1	82.0	0.5	51.8	77.1	BpDwnswp
3	Spectrogram 1	1	20150323_180000.wav	20150323_180000.wav	138292.266	138294.06	1631206	1633000	2015/3/23  18:27:11.266	1.794	39.8	66.1	1.4	42.0	64.5	BpDwnswp
4	Spectrogram 1	1	20150323_180000.wav	20150323_180000.wav	139018.572	139020.365	2357512	2359305	2015/3/23  18:39:17.572	1.793	40.4	71.4	0.5	45.9	64.5	BpDwnswp
5	Spectrogram 1	1	20150323_180000.wav	20150323_180000.wav	139027.538	139029.108	2366478	2368048	2015/3/23  18:39:26.538	1.57	38.0	58.9	0.8	40.0	54.7	BpDwnswp
6	Spectrogram 1	1	20150323_180000.wav	20150323_180000.wav	139054.587	139056.081	2393527	2395021	2015/3/23  18:39:53.587	1.494	33.3	57.3	1.1	35.2	55.7	BpDwnswp
7	Spectrogram 1	1	20150323_180000.wav	20150323_180000.wav	139143.533	139145.327	2482473	2484267	2015/3/23  18:41:22.533	1.794	39.6	72.1	1.1	42.0	69.3	BpDwnswp
8	Spectrogram 1	1	20150323_180000.wav	20150323_180000.wav	139159.897	139161.765	2498837	2500705	2015/3/23  18:41:38.897	1.868	30.5	59.6	1.4	32.2	54.7	BpDwnswp
9	Spectrogram 1	1	20150323_180000.wav	20150323_180000.wav	139390.797	139392.216	2729737	2731156	2015/3/23  18:45:29.797	1.419	40.4	58.9	0.6	43.9	55.7	BpDwnswp
10	Spectrogram 1	1	20150323_180000.wav	20150323_180000.wav	139520.166	139521.96	2859106	2860900	2015/3/23  18:47:39.166	1.794	38.0	75.0	0.5	44.9	64.5	BpDwnswp
11	Spectrogram 1	1	20150323_180000.wav	20150323_180000.wav	139607.768	139609.786	2946708	2948726	2015/3/23  18:49:06.768	2.018	49.0	76.3	0.6	56.6	73.2	BpDwnswp
12	Spectrogram 1	1	20150323_180000.wav	20150323_180000.wav	140226.597	140228.017	3565537	3566957	2015/3/23  18:59:25.597	1.42	37.2	74.7	0.5	43.9	62.5	BpDwnswp
