Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133079.469	133081.038	18411	19980	2015/3/22  0:00:18.469	1.569	14.6	80.2	1.4	15.6	76.2	BpHigherCall
2	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133100.465	133102.483	39407	41425	2015/3/22  0:00:39.465	2.018	12.8	82.8	1.7	14.6	78.1	BpHigherCall
3	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133231.254	133232.674	170196	171616	2015/3/22  0:02:50.254	1.42	14.8	82.3	0.9	16.6	78.1	BpHigherCall
4	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133264.386	133265.805	203328	204747	2015/3/22  0:03:23.386	1.419	14.6	82.3	1.1	15.6	77.1	BpHigherCall
5	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133540.042	133541.387	478984	480329	2015/3/22  0:07:58.042	1.345	16.4	82.6	1.2	17.6	79.1	BpHigherCall
6	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133588.311	133589.656	527253	528598	2015/3/22  0:08:47.311	1.345	14.3	81.5	0.8	16.6	78.1	BpHigherCall
7	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133780.55	133782.343	719492	721285	2015/3/22  0:11:59.550	1.793	16.7	80.2	1.4	17.6	77.1	BpHigherCall
8	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133808.271	133809.84	747213	748782	2015/3/22  0:12:27.271	1.569	16.9	80.5	1.2	17.6	76.2	BpHigherCall
9	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133826.727	133828.744	765669	767686	2015/3/22  0:12:45.727	2.017	15.1	81.5	1.5	16.6	78.1	BpHigherCall
10	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133953.705	133954.826	892647	893768	2015/3/22  0:14:52.705	1.121	14.8	82.0	1.1	16.6	77.1	BpHigherCall
11	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	133993.263	133994.383	932205	933325	2015/3/22  0:15:32.263	1.12	16.4	82.3	0.9	17.6	79.1	BpHigherCall
12	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134013.885	134015.379	952827	954321	2015/3/22  0:15:52.885	1.494	14.8	80.5	1.4	17.6	76.2	BpHigherCall
13	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134033.686	134035.031	972628	973973	2015/3/22  0:16:12.686	1.345	15.1	81.8	1.1	16.6	77.1	BpHigherCall
14	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134058.717	134059.987	997659	998929	2015/3/22  0:16:37.717	1.27	15.1	81.2	1.1	16.6	77.1	BpHigherCall
15	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134084.943	134086.512	1023885	1025454	2015/3/22  0:17:03.943	1.569	16.4	83.9	1.2	17.6	80.1	BpHigherCall
16	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134111.275	134112.695	1050217	1051637	2015/3/22  0:17:30.275	1.42	15.9	82.0	1.2	17.6	78.1	BpHigherCall
17	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134246.622	134248.191	1185564	1187133	2015/3/22  0:19:45.622	1.569	15.4	79.4	1.5	16.6	77.1	BpHigherCall
18	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134262.537	134263.583	1201479	1202525	2015/3/22  0:20:01.537	1.046	14.6	80.5	0.9	16.6	77.1	BpHigherCall
19	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134281.665	134282.936	1220607	1221878	2015/3/22  0:20:20.665	1.271	15.6	82.3	0.8	17.6	79.1	BpHigherCall
20	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134326.154	134327.798	1265096	1266740	2015/3/22  0:21:05.154	1.644	15.4	79.7	1.2	17.6	71.3	BpHigherCall
21	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134346.029	134347.15	1284971	1286092	2015/3/22  0:21:24.029	1.121	14.8	79.9	0.9	16.6	76.2	BpHigherCall
22	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134364.784	134366.278	1303726	1305220	2015/3/22  0:21:43.784	1.494	14.8	81.8	1.2	16.6	78.1	BpHigherCall
23	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134384.584	134385.78	1323526	1324722	2015/3/22  0:22:03.584	1.196	14.8	80.7	0.9	16.6	77.1	BpHigherCall
24	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134525.94	134527.434	1464882	1466376	2015/3/22  0:24:24.940	1.494	15.1	80.7	1.1	17.6	77.1	BpHigherCall
25	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	134553.81	134555.379	1492752	1494321	2015/3/22  0:24:52.810	1.569	14.6	82.3	1.2	14.6	78.1	BpHigherCall
26	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135120.485	135123.1	2059427	2062042	2015/3/22  0:34:19.485	2.615	9.4	84.9	1.1	13.7	78.1	BpHigherCall
27	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135140.883	135143.349	2079825	2082291	2015/3/22  0:34:39.883	2.466	8.1	85.2	0.8	13.7	78.1	BpHigherCall
28	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135174.239	135175.509	2113181	2114451	2015/3/22  0:35:13.239	1.27	11.7	84.1	0.8	13.7	77.1	BpHigherCall
29	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135193.815	135195.907	2132757	2134849	2015/3/22  0:35:32.815	2.092	13.0	82.3	0.6	14.6	62.5	BpHigherCall
30	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135215.26	135217.427	2154202	2156369	2015/3/22  0:35:54.260	2.167	10.7	81.5	0.8	13.7	75.2	BpHigherCall
31	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135235.21	135237.227	2174152	2176169	2015/3/22  0:36:14.210	2.017	12.0	84.4	0.9	14.6	77.1	BpHigherCall
32	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135337.008	135338.652	2275950	2277594	2015/3/22  0:37:55.008	1.644	11.5	83.9	0.8	13.7	78.1	BpHigherCall
33	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135355.613	135357.182	2294555	2296124	2015/3/22  0:38:14.613	1.569	13.0	83.6	0.6	16.6	36.1	BpHigherCall
34	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135379.299	135380.495	2318241	2319437	2015/3/22  0:38:38.299	1.196	14.6	83.6	0.6	15.6	77.1	BpHigherCall
35	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135405.78	135407.2	2344722	2346142	2015/3/22  0:39:04.780	1.42	12.2	83.3	0.8	13.7	78.1	BpHigherCall
36	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135423.713	135425.581	2362655	2364523	2015/3/22  0:39:22.713	1.868	13.8	84.4	0.6	16.6	78.1	BpHigherCall
37	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135441.646	135442.841	2380588	2381783	2015/3/22  0:39:40.646	1.195	12.2	84.6	0.6	15.6	66.4	BpHigherCall
38	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135463.389	135464.883	2402331	2403825	2015/3/22  0:40:02.389	1.494	14.1	83.6	0.6	17.6	78.1	BpHigherCall
39	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135500.705	135502.573	2439647	2441515	2015/3/22  0:40:39.705	1.868	13.8	85.9	0.6	16.6	78.1	BpHigherCall
40	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135522.448	135523.643	2461390	2462585	2015/3/22  0:41:01.448	1.195	14.3	82.6	0.6	16.6	78.1	BpHigherCall
41	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135545.312	135547.255	2484254	2486197	2015/3/22  0:41:24.312	1.943	15.4	82.6	0.8	16.6	78.1	BpHigherCall
42	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135568.774	135569.895	2507716	2508837	2015/3/22  0:41:47.774	1.121	14.8	81.5	0.6	16.6	77.1	BpHigherCall
43	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135637.098	135639.115	2576040	2578057	2015/3/22  0:42:56.098	2.017	13.3	83.6	0.9	14.6	78.1	BpHigherCall
44	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135654.956	135656.824	2593898	2595766	2015/3/22  0:43:13.956	1.868	13.5	82.8	1.1	14.6	77.1	BpHigherCall
45	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135671.618	135673.337	2610560	2612279	2015/3/22  0:43:30.618	1.719	14.8	84.6	0.6	17.6	35.2	BpHigherCall
46	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135702.552	135704.345	2641494	2643287	2015/3/22  0:44:01.552	1.793	11.7	81.8	0.6	16.6	75.2	BpHigherCall
47	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135835.389	135837.257	2774331	2776199	2015/3/22  0:46:14.389	1.868	14.6	84.9	0.8	14.6	78.1	BpHigherCall
48	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135863.932	135865.352	2802874	2804294	2015/3/22  0:46:42.932	1.42	13.5	82.8	0.8	14.6	78.1	BpHigherCall
49	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135891.877	135893.446	2830819	2832388	2015/3/22  0:47:10.877	1.569	14.6	84.4	0.8	15.6	79.1	BpHigherCall
50	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135918.253	135920.345	2857195	2859287	2015/3/22  0:47:37.253	2.092	13.8	83.1	0.9	16.6	79.1	BpHigherCall
51	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135937.337	135938.757	2876279	2877699	2015/3/22  0:47:56.337	1.42	14.1	84.4	0.9	16.6	78.1	BpHigherCall
52	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	135955.195	135957.138	2894137	2896080	2015/3/22  0:48:14.195	1.943	14.6	82.8	0.9	15.6	78.1	BpHigherCall
53	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136038.837	136040.555	2977779	2979497	2015/3/22  0:49:37.837	1.718	13.5	80.5	1.2	13.7	76.2	BpHigherCall
54	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136051.091	136053.108	2990033	2992050	2015/3/22  0:49:50.091	2.017	14.8	82.6	1.2	16.6	78.1	BpHigherCall
55	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136068.724	136070.518	3007666	3009460	2015/3/22  0:50:07.724	1.794	14.1	83.3	1.1	16.6	61.5	BpHigherCall
56	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136089.197	136090.991	3028139	3029933	2015/3/22  0:50:28.197	1.794	14.6	84.9	1.2	16.6	79.1	BpHigherCall
57	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136107.578	136108.849	3046520	3047791	2015/3/22  0:50:46.578	1.271	14.8	85.2	0.8	17.6	80.1	BpHigherCall
58	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136124.764	136126.408	3063706	3065350	2015/3/22  0:51:03.764	1.644	14.1	84.4	0.8	16.6	77.1	BpHigherCall
59	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136155.28	136157.447	3094222	3096389	2015/3/22  0:51:34.280	2.167	14.8	83.3	1.1	16.6	78.1	BpHigherCall
60	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136174.109	136175.753	3113051	3114695	2015/3/22  0:51:53.109	1.644	15.4	82.6	0.8	16.6	78.1	BpHigherCall
61	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136196.6	136198.617	3135542	3137559	2015/3/22  0:52:15.600	2.017	14.6	82.6	1.2	15.6	78.1	BpHigherCall
62	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136216.849	136218.791	3155791	3157733	2015/3/22  0:52:35.849	1.942	14.3	82.3	1.2	16.6	78.1	BpHigherCall
63	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136235.155	136236.873	3174097	3175815	2015/3/22  0:52:54.155	1.718	16.4	80.5	1.2	16.6	78.1	BpHigherCall
64	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136301.461	136303.105	3240403	3242047	2015/3/22  0:54:00.461	1.644	15.6	81.5	1.2	17.6	78.1	BpHigherCall
65	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136336.056	136337.999	3274998	3276941	2015/3/22  0:54:34.056	1.943	14.3	82.0	0.9	16.6	78.1	BpHigherCall
66	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136350.776	136352.793	3289718	3291735	2015/3/22  0:54:49.776	2.017	14.6	82.8	1.1	16.6	78.1	BpHigherCall
67	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136369.487	136371.13	3308429	3310072	2015/3/22  0:55:08.487	1.643	15.6	83.6	0.8	16.6	78.1	BpHigherCall
68	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136403.11	136405.202	3342052	3344144	2015/3/22  0:55:42.110	2.092	15.6	84.6	1.1	17.6	78.1	BpHigherCall
69	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136421.865	136423.434	3360807	3362376	2015/3/22  0:56:00.865	1.569	16.4	85.9	0.8	17.6	78.1	BpHigherCall
70	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136439.872	136442.039	3378814	3380981	2015/3/22  0:56:18.872	2.167	12.5	84.9	1.2	13.7	79.1	BpHigherCall
71	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136459.374	136461.541	3398316	3400483	2015/3/22  0:56:38.374	2.167	15.4	82.3	1.5	16.6	78.1	BpHigherCall
72	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136478.906	136480.102	3417848	3419044	2015/3/22  0:56:57.906	1.196	14.6	82.3	0.8	16.6	76.2	BpHigherCall
73	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136517.088	136518.956	3456030	3457898	2015/3/22  0:57:36.088	1.868	14.8	83.3	1.1	17.6	79.1	BpHigherCall
74	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136535.394	136537.262	3474336	3476204	2015/3/22  0:57:54.394	1.868	15.1	81.5	1.2	15.6	78.1	BpHigherCall
75	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136549.964	136551.683	3488906	3490625	2015/3/22  0:58:08.964	1.719	14.8	84.1	1.4	17.6	80.1	BpHigherCall
76	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136630.991	136632.41	3569933	3571352	2015/3/22  0:59:29.991	1.419	14.8	81.5	1.2	16.6	78.1	BpHigherCall
77	Spectrogram 1	1	20150322_000000.wav	20150322_000000.wav	136642.722	136644.814	3581664	3583756	2015/3/22  0:59:41.722	2.092	14.3	81.0	1.5	16.6	76.2	BpHigherCall
78	Spectrogram 1	1	20150327_070000.wav	20150327_070000.wav	144811.195	144813.138	950132	952075	2015/3/27  7:15:50.195	1.943	14.3	78.9	1.5	15.6	75.2	BpHigherCall
79	Spectrogram 1	1	20150327_070000.wav	20150327_070000.wav	145364.271	145365.84	1503208	1504777	2015/3/27  7:25:03.271	1.569	15.1	82.0	1.2	16.6	77.1	BpHigherCall
80	Spectrogram 1	1	20150327_070000.wav	20150327_070000.wav	145393.934	145395.578	1532871	1534515	2015/3/27  7:25:32.934	1.644	15.6	81.2	1.4	16.6	78.1	BpHigherCall
81	Spectrogram 1	1	20150327_070000.wav	20150327_070000.wav	146946.687	146948.555	3085624	3087492	2015/3/27  7:51:25.687	1.868	14.8	82.6	1.8	16.6	78.1	BpHigherCall
82	Spectrogram 1	1	20150327_070000.wav	20150327_070000.wav	146988.156	146989.576	3127093	3128513	2015/3/27  7:52:07.156	1.42	14.6	78.9	1.2	14.6	77.1	BpHigherCall
83	Spectrogram 1	1	20150419_060000.wav	20150419_060000.wav	190748.226	190749.197	171139	172110	2015/4/19  6:02:51.226	0.971	15.4	83.9	0.8	17.6	78.1	BpHigherCall
84	Spectrogram 1	1	20150419_060000.wav	20150419_060000.wav	190776.843	190777.815	199756	200728	2015/4/19  6:03:19.843	0.972	15.6	81.2	0.8	16.6	78.1	BpHigherCall
85	Spectrogram 1	1	20150419_060000.wav	20150419_060000.wav	190805.984	190807.03	228897	229943	2015/4/19  6:03:48.984	1.046	15.9	81.2	0.8	16.6	79.1	BpHigherCall
86	Spectrogram 1	1	20150419_060000.wav	20150419_060000.wav	190834.483	190836.126	257396	259039	2015/4/19  6:04:17.483	1.643	15.6	82.8	1.5	16.6	80.1	BpHigherCall
