Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Floor	Cieling	NOTES	From	Tags
1	Spectrogram 1	1	20150306_030000.wav	20150306_030000.wav	103091.663	103133.058	2430618	2472013	2015/3/6  3:40:30.663	41.395	8.9	76.6	37.7	10.7	65.4				unid	humpback
2	Spectrogram 1	1	20150306_030000.wav	20150306_030000.wav	103315.808	103408.385	2654763	2747340	2015/3/6  3:44:14.808	92.577	8.3	65.9	85.0	9.8	56.6				unid	humpback
3	Spectrogram 1	1	20150428_020000.wav	20150428_020000.wav	208710.425	208886.472	133329	309376	2015/4/28  2:02:13.425	176.047	38.5	484.4	158.9	53.7	387.7				unid	humpback
4	Spectrogram 1	1	20150428_020000.wav	20150428_020000.wav	209214.445	209277.433	637349	700337	2015/4/28  2:10:37.445	62.988	34.1	444.8	57.3	48.8	379.9				unid	humpback
5	Spectrogram 1	1	20150428_020000.wav	20150428_020000.wav	209304.363	209399.219	727267	822123	2015/4/28  2:12:07.363	94.856	37.9	468.8	86.4	51.8	381.8				unid	humpback
6	Spectrogram 1	1	20150428_020000.wav	20150428_020000.wav	209641.065	209668.039	1063969	1090943	2015/4/28  2:17:43.065	26.974	290.1	393.2	22.8	297.9	385.7				unid	humpback
7	Spectrogram 1	1	20150428_020000.wav	20150428_020000.wav	210116.315	210166.034	1539219	1588938	2015/4/28  2:25:39.315	49.719	40.1	221.9	44.0	46.9	211.9				unid	humpback
8	Spectrogram 1	1	20150428_020000.wav	20150428_020000.wav	211868.443	211931.768	3291347	3354672	2015/4/28  2:54:51.443	63.325	58.6	383.3	57.1	71.3	365.2				unid	humpback
9	Spectrogram 1	1	20150429_200000.wav	20150429_200000.wav	212506.811	212509.949	329714	332852	2015/4/29  20:05:29.811	3.138	49.0	115.4	1.8	53.7	108.4			whoop	unid	humpback
10	Spectrogram 1	1	20150429_200000.wav	20150429_200000.wav	213303.277	213306.266	1126180	1129169	2015/4/29  20:18:46.277	2.989	40.6	219.6	2.0	47.9	207.0			whoop upsweep	unid	humpback
11	Spectrogram 1	1	20150429_200000.wav	20150429_200000.wav	213313.364	213316.204	1136267	1139107	2015/4/29  20:18:56.364	2.84	41.4	268.5	2.3	46.9	252.0			whoop	unid	humpback
12	Spectrogram 1	1	20150429_200000.wav	20150429_200000.wav	213366.564	213369.628	1189467	1192531	2015/4/29  20:19:49.564	3.064	47.2	387.9	2.3	57.6	346.7			whoop	unid	humpback
13	Spectrogram 1	1	20150429_200000.wav	20150429_200000.wav	213382.405	213384.871	1205308	1207774	2015/4/29  20:20:05.405	2.466	38.5	214.3	1.7	44.9	204.1			whoop	unid	humpback
14	Spectrogram 1	1	20150429_200000.wav	20150429_200000.wav	213405.231	213407.622	1228134	1230525	2015/4/29  20:20:28.231	2.391	28.6	110.2	2.0	32.2	103.5			whoop	unid	humpback
15	Spectrogram 1	1	20150429_200000.wav	20150429_200000.wav	213415.02	213417.186	1237923	1240089	2015/4/29  20:20:37.020	2.166	23.4	100.8	1.7	24.4	93.8			whoop	unid	humpback
16	Spectrogram 1	1	20150429_200000.wav	20150429_200000.wav	213981.576	213984.191	1804479	1807094	2015/4/29  20:30:04.576	2.615	48.9	313.0	1.8	58.6	280.3			whoop	unid	humpback
17	Spectrogram 1	1	20150429_200000.wav	20150429_200000.wav	214195.453	214198.367	2018356	2021270	2015/4/29  20:33:38.453	2.914	44.8	159.1	2.2	46.9	143.6			whoop	unid	humpback
18	Spectrogram 1	1	20150429_200000.wav	20150429_200000.wav	214205.272	214207.737	2028175	2030640	2015/4/29  20:33:48.272	2.465	39.1	91.7	1.5	44.9	87.9				unid	humpback
19	Spectrogram 1	1	20150429_200000.wav	20150429_200000.wav	214311.777	214315.439	2134680	2138342	2015/4/29  20:35:34.777	3.662	51.3	224.5	2.9	60.5	211.9			whoop	unid	humpback
20	Spectrogram 1	1	20150429_200000.wav	20150429_200000.wav	215296.031	215298.273	3118934	3121176	2015/4/29  20:51:58.031	2.242	48.0	192.3	1.8	57.6	180.7			whoop	unid	humpback
