Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Floor	Cieling	NOTES	Tags
1	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	342977.962	343079.349	413807	515194	2015/7/4  3:06:53.962	101.387	102.4	172.7	86.2	105.5	165.0				minke
2	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	343133.368	343278.279	569213	714124	2015/7/4  3:09:29.368	144.911	99.8	173.8	120.4	104.5	162.1				minke
3	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	343336.217	343542.653	772062	978498	2015/7/4  3:12:52.217	206.436	91.0	173.1	177.3	99.6	165.0				minke
4	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	343593.496	343758.656	1029341	1194501	2015/7/4  3:17:09.496	165.16	82.0	153.9	141.1	89.8	143.6				minke
5	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	343812.47	343949.386	1248315	1385231	2015/7/4  3:20:48.470	136.916	96.0	163.8	117.7	102.5	154.3				minke
6	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	344017.262	344107.852	1453107	1543697	2015/7/4  3:24:13.262	90.59	94.5	174.2	77.3	101.6	167.0				minke
7	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	344161.516	344314.423	1597361	1750268	2015/7/4  3:26:37.516	152.907	91.7	170.5	134.8	100.6	163.1				minke
8	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	344403.593	344527.359	1839438	1963204	2015/7/4  3:30:39.593	123.766	96.1	173.8	104.1	103.5	166.0				minke
9	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	344600.151	344769.003	2035996	2204848	2015/7/4  3:33:55.151	168.852	95.8	159.8	146.1	102.5	152.3				minke
10	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	344806.774	344920.004	2242619	2355849	2015/7/4  3:37:22.774	113.23	96.5	156.9	98.3	102.5	150.4				minke
11	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	345048.605	345195.833	2484450	2631678	2015/7/4  3:41:24.605	147.228	95.8	171.3	130.0	102.5	166.0				minke
12	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	345301.83	345457.202	2737675	2893047	2015/7/4  3:45:37.830	155.372	91.0	172.4	138.9	98.6	167.0				minke
13	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	345538.132	345592.528	2973977	3028373	2015/7/4  3:49:33.132	54.396	101.3	174.2	48.7	105.5	169.9				minke
14	Spectrogram 1	1	20150704_030000.wav	20150704_030000.wav	345947.312	345998.899	3383157	3434744	2015/7/4  3:56:23.312	51.587	102.3	193.4	45.9	107.4	186.5				minke
15	Spectrogram 1	1	20150808_110000.wav	20150808_110000.wav	414599.857	414736.132	148666	284941	2015/8/8  11:02:28.857	136.275	94.3	241.6	119.5	103.5	230.5				minke
16	Spectrogram 1	1	20150808_110000.wav	20150808_110000.wav	414850.072	415083.93	398881	632739	2015/8/8  11:06:38.072	233.858	93.5	249.7	203.3	103.5	231.4				minke
17	Spectrogram 1	1	20150808_110000.wav	20150808_110000.wav	415207.882	415407.294	756691	956103	2015/8/8  11:12:36.882	199.412	92.8	217.3	172.6	102.5	202.1				minke
18	Spectrogram 1	1	20150808_110000.wav	20150808_110000.wav	415543.389	415837.726	1092198	1386535	2015/8/8  11:18:12.389	294.337	94.8	228.1	254.1	102.5	208.0				minke
19	Spectrogram 1	1	20150808_110000.wav	20150808_110000.wav	415964.57	416139.295	1513379	1688104	2015/8/8  11:25:13.570	174.725	90.6	205.7	152.5	100.6	192.4				minke
20	Spectrogram 1	1	20150808_110000.wav	20150808_110000.wav	416251.569	416398.049	1800378	1946858	2015/8/8  11:30:00.569	146.48	90.1	200.5	129.5	99.6	193.4				minke
21	Spectrogram 1	1	20150808_110000.wav	20150808_110000.wav	416538.344	416677.278	2087153	2226087	2015/8/8  11:34:47.344	138.934	93.7	212.0	122.6	101.6	203.1				minke
22	Spectrogram 1	1	20150808_110000.wav	20150808_110000.wav	416920.453	417042.874	2469262	2591683	2015/8/8  11:41:09.453	122.421	95.8	205.7	110.6	102.5	198.2				minke
23	Spectrogram 1	1	20150829_150000.wav	20150829_150000.wav	457585.629	457691.611	108419	214401	2015/8/29  15:01:48.629	105.982	99.0	222.9	93.6	106.4	215.8				minke
24	Spectrogram 1	1	20150829_150000.wav	20150829_150000.wav	458144.323	458263.457	667113	786247	2015/8/29  15:11:07.323	119.134	102.6	234.4	105.8	109.4	224.6				minke
25	Spectrogram 1	1	20150829_150000.wav	20150829_150000.wav	458400.836	458567.341	923626	1090131	2015/8/29  15:15:23.836	166.505	100.5	199.0	148.0	106.4	191.4				minke
26	Spectrogram 1	1	20150829_150000.wav	20150829_150000.wav	458780.965	458879.85	1303755	1402640	2015/8/29  15:21:43.965	98.885	95.3	197.4	88.7	101.6	191.4				minke
27	Spectrogram 1	1	20150829_150000.wav	20150829_150000.wav	459204.65	459299.244	1727440	1822034	2015/8/29  15:28:47.650	94.594	101.0	212.5	84.4	107.4	204.1				minke
28	Spectrogram 1	1	20150919_190000.wav	20150919_190000.wav	503307.354	503568.41	2659124	2920180	2015/9/19  19:44:19.354	261.056	101.0	268.0	228.1	115.2	242.2				minke
29	Spectrogram 1	1	20150919_190000.wav	20150919_190000.wav	503677.044	503788.855	3028814	3140625	2015/9/19  19:50:28.044	111.811	98.4	264.8	86.5	119.1	228.5				minke
30	Spectrogram 1	1	20150919_190000.wav	20150919_190000.wav	503978.09	504077.423	3329860	3429193	2015/9/19  19:55:29.090	99.333	91.9	254.9	81.0	106.4	231.4				minke
