Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Floor	Cieling	NOTES	Tags
1	Spectrogram 1	1	20150115_170000.wav	20150115_170000.wav	3.063	5.753	3063	5753	2015/1/15  17:00:03.063	2.69	36.2	76.6	2.0	40.0	71.3	35.0	74.0	poss D	unid
2	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	4403.94	4405.733	803938	805731	2015/1/17  11:13:23.940	1.793	36.1	85.4	1.2	39.1	76.2			poss Bpdown	unid
3	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	4447.203	4449.295	847201	849293	2015/1/17  11:14:07.203	2.092	42.2	82.6	1.1	45.9	78.1	54.0	81.0	poss Bpdown	unid
4	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	4488.224	4490.316	888222	890314	2015/1/17  11:14:48.224	2.092	40.4	80.5	1.1	44.9	77.1	54.0	81.0	poss Bpdown	unid
5	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	4531.038	4532.906	931036	932904	2015/1/17  11:15:31.038	1.868	38.0	91.7	1.2	43.0	82.0	54.0	81.0	poss Bpdown	unid
6	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	4634.256	4636.198	1034254	1036196	2015/1/17  11:17:14.256	1.942	37.5	83.1	0.9	43.0	76.2	54.0	81.0	poss Bpdown	unid
7	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	5080.452	5082.32	1480450	1482318	2015/1/17  11:24:40.452	1.868	41.9	81.5	0.9	46.9	77.1	54.0	81.0	poss Bpdown	unid
8	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	5139.511	5140.931	1539509	1540929	2015/1/17  11:25:39.511	1.42	40.4	76.6	0.9	43.9	73.2	54.0	81.0	poss Bpdown	unid
9	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	5197.561	5199.28	1597559	1599278	2015/1/17  11:26:37.561	1.719	37.5	93.8	0.8	47.9	83.0			poss Bpdown	unid
10	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	5216.727	5218.52	1616725	1618518	2015/1/17  11:26:56.727	1.793	43.0	90.4	0.8	48.8	83.0	54.0	81.0	poss Bpdown	unid
11	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	5241.384	5242.953	1641382	1642951	2015/1/17  11:27:21.384	1.569	43.7	88.3	0.8	47.9	82.0	54.0	81.0	poss Bpdown	unid
12	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	5264.099	5265.519	1664097	1665517	2015/1/17  11:27:44.099	1.42	43.2	86.7	1.1	47.9	81.1				unid
13	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	5385.1	5386.819	1785098	1786817	2015/1/17  11:29:45.100	1.719	41.1	84.4	1.5	43.0	82.0				unid
14	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	5424.06	5425.33	1824058	1825328	2015/1/17  11:30:24.060	1.27	46.4	89.3	0.9	48.8	82.0				unid
15	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	5436.314	5437.808	1836312	1837806	2015/1/17  11:30:36.314	1.494	27.6	65.4	1.1	30.3	62.5				unid
16	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	5693.596	5695.315	2093594	2095313	2015/1/17  11:34:53.596	1.719	46.4	73.4	1.2	48.8	70.3				unid
17	Spectrogram 1	1	20150117_110000.wav	20150117_110000.wav	5741.79	5743.434	2141788	2143432	2015/1/17  11:35:41.790	1.644	42.7	82.0	1.4	45.9	79.1				unid
18	Spectrogram 1	1	20150604_030000.wav	20150604_030000.wav	284160.694	284370.948	68567	278821	2015/6/4  3:01:08.694	210.254	53.0	303.5	174.2	70.3	277.3				unid
