Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Notes	Tags
1	Spectrogram 1	1	20130116_160000_AWI251-01_AU0231_250Hz.wav	20130116_160000_AWI251-01_AU0231_250Hz.wav	29839.09768	29844.43558	34774	36109	2013/1/16  16:02:19.098	5.338	23.3	29.0	4.5	23.9	27.8		Bm.Ant-A.
3	Spectrogram 1	1	20130116_160000_AWI251-01_AU0231_250Hz.wav	20130116_160000_AWI251-01_AU0231_250Hz.wav	29925.4631	29931.22804	56366	57807	2013/1/16  16:03:45.463	5.765	24.7	29.7	4.8	25.4	28.3		Bm.Ant-A.
4	Spectrogram 1	1	20130116_160000_AWI251-01_AU0231_250Hz.wav	20130116_160000_AWI251-01_AU0231_250Hz.wav	29902.29662	29907.74127	50574	51935	2013/1/16  16:03:22.297	5.445	23.3	29.0	4.4	23.9	28.3		Bm.Ant-A.
5	Spectrogram 1	1	20130116_220000_AWI251-01_AU0231_250Hz.wav	20130116_220000_AWI251-01_AU0231_250Hz.wav	31558.99407	31566.36038	14749	16590	2013/1/16  22:00:58.994	7.366	24.5	28.1	5.8	25.4	27.3		Bm.Ant-A.
6	Spectrogram 1	1	20130116_220000_AWI251-01_AU0231_250Hz.wav	20130116_220000_AWI251-01_AU0231_250Hz.wav	31630.6327	31638.10576	32658	34526	2013/1/16  22:02:10.633	7.473	22.8	28.1	5.3	24.9	26.9		Bm.Ant-A.
7	Spectrogram 1	1	20130116_220000_AWI251-01_AU0231_250Hz.wav	20130116_220000_AWI251-01_AU0231_250Hz.wav	31697.35645	31704.616	49339	51154	2013/1/16  22:03:17.356	7.26	23.8	28.6	5.8	24.9	27.3		Bm.Ant-A.
8	Spectrogram 1	1	20130116_230000_AWI251-01_AU0231_250Hz.wav	20130116_230000_AWI251-01_AU0231_250Hz.wav	32070.55334	32075.78448	67638	68946	2013/1/16  23:04:30.553	5.231	23.8	28.5	3.7	24.4	27.3		Bm.Ant-A.
9	Spectrogram 1	1	20130117_000000_AWI251-01_AU0231_250Hz.wav	20130117_000000_AWI251-01_AU0231_250Hz.wav	32119.61606	32125.40841	4904	6352	2013/1/17  0:00:19.616	5.792	24.3	27.8	4.1	24.9	27.3		Bm.Ant-A.
10	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32409.67188	32416.7179	2418	4179	2013/1/17  1:00:09.672	7.046	24.9	28.1	5.1	25.9	27.8		Bm.Ant-A.
11	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32432.30457	32437.53572	8076	9384	2013/1/17  1:00:32.305	5.231	24.9	28.6	3.9	25.9	27.8		Bm.Ant-A.
