Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
2	Spectrogram 1	1	20130118_110000_AWI251-01_AU0231_250Hz.wav	20130118_110000_AWI251-01_AU0231_250Hz.wav	42623.71303	42631.07933	5928	7770	2013/1/18  11:00:23.713	7.366	16.2	30.1	5.9	17.6	28.3	Bm.Ant-B
3	Spectrogram 1	1	20130118_210000_AWI251-01_AU0231_250Hz.wav	20130118_210000_AWI251-01_AU0231_250Hz.wav	45609.92849	45619.3232	2482	4831	2013/1/18  21:00:09.928	9.395	15.4	29.1	8.0	16.1	27.3	Bm.Ant-B
4	Spectrogram 1	1	20130121_080000_AWI251-01_AU0231_250Hz.wav	20130121_080000_AWI251-01_AU0231_250Hz.wav	63362.53975	63369.7993	15635	17450	2013/1/21  8:01:02.540	7.26	14.5	28.5	6.6	16.1	27.3	Bm.Ant-B
5	Spectrogram 1	1	20130123_230000_AWI251-01_AU0231_250Hz.wav	20130123_230000_AWI251-01_AU0231_250Hz.wav	82388.00485	82395.05088	47001	48763	2013/1/23  23:03:08.005	7.046	13.7	28.6	6.2	14.6	27.3	Bm.Ant-B
7	Spectrogram 1	1	20130131_200000_AWI251-01_AU0231_250Hz.wav	20130131_200000_AWI251-01_AU0231_250Hz.wav	138986.6272	138996.3043	21656	24075	2013/1/31  20:01:26.627	9.677	15.2	28.8	8.6	16.1	27.8	Bm.Ant-B
9	Spectrogram 1	1	20130202_040000_AWI251-01_AU0231_250Hz.wav	20130202_040000_AWI251-01_AU0231_250Hz.wav	148543.5549	148549.4687	10887	12365	2013/2/2  4:00:43.555	5.914	14.4	28.2	4.7	15.1	27.3	Bm.Ant-B
10	Spectrogram 1	1	20130202_090000_AWI251-01_AU0231_250Hz.wav	20130202_090000_AWI251-01_AU0231_250Hz.wav	150282.1763	150289.703	70542	72424	2013/2/2  9:04:42.176	7.527	13.3	28.7	6.6	15.6	27.3	Bm.Ant-B
11	Spectrogram 1	1	20130202_100000_AWI251-01_AU0231_250Hz.wav	20130202_100000_AWI251-01_AU0231_250Hz.wav	150491.9634	150502.7157	47989	50677	2013/2/2  10:03:11.963	10.752	13.8	28.2	9.7	15.1	26.9	Bm.Ant-B
12	Spectrogram 1	1	20130202_100000_AWI251-01_AU0231_250Hz.wav	20130202_100000_AWI251-01_AU0231_250Hz.wav	150558.2444	150566.2011	64559	66548	2013/2/2  10:04:18.244	7.957	12.8	28.7	6.2	15.6	26.9	Bm.Ant-B
13	Spectrogram 1	1	20130202_220000_AWI251-01_AU0231_250Hz.wav	20130202_220000_AWI251-01_AU0231_250Hz.wav	153943.0599	153950.9091	10763	12725	2013/2/2  22:00:43.060	7.849	13.8	28.7	7.2	15.1	27.3	Bm.Ant-B
14	Spectrogram 1	1	20130203_100000_AWI251-01_AU0231_250Hz.wav	20130203_100000_AWI251-01_AU0231_250Hz.wav	157714.1538	157722.003	53536	55499	2013/2/3  10:03:34.154	7.849	14.4	27.7	6.6	16.1	26.9	Bm.Ant-B
15	Spectrogram 1	1	20130203_100000_AWI251-01_AU0231_250Hz.wav	20130203_100000_AWI251-01_AU0231_250Hz.wav	157779.4204	157787.1621	69853	71789	2013/2/3  10:04:39.420	7.742	15.2	28.2	6.2	17.1	26.9	Bm.Ant-B
16	Spectrogram 1	1	20130203_190000_AWI251-01_AU0231_250Hz.wav	20130203_190000_AWI251-01_AU0231_250Hz.wav	160294.9937	160302.3053	23746	25574	2013/2/3  19:01:34.994	7.312	16.3	28.0	6.4	17.6	27.3	Bm.Ant-B
17	Spectrogram 1	1	20130203_200000_AWI251-01_AU0231_250Hz.wav	20130203_200000_AWI251-01_AU0231_250Hz.wav	160536.6957	160544.2224	9172	11054	2013/2/3  20:00:36.696	7.527	15.1	28.6	6.9	16.6	27.3	Bm.Ant-B
19	Spectrogram 1	1	20130204_080000_AWI251-01_AU0231_250Hz.wav	20130204_080000_AWI251-01_AU0231_250Hz.wav	164123.2756	164130.6947	5817	7672	2013/2/4  8:00:23.276	7.419	12.7	29.0	6.1	15.6	27.8	Bm.Ant-B
20	Spectrogram 1	1	20130204_080000_AWI251-01_AU0231_250Hz.wav	20130204_080000_AWI251-01_AU0231_250Hz.wav	164216.5449	164223.6415	29134	30908	2013/2/4  8:01:56.545	7.097	15.7	28.0	6.1	16.6	26.9	Bm.Ant-B
21	Spectrogram 1	1	20130204_100000_AWI251-01_AU0231_250Hz.wav	20130204_100000_AWI251-01_AU0231_250Hz.wav	164707.2121	164717.4268	1801	4355	2013/2/4  10:00:07.212	10.215	15.8	27.4	7.8	17.1	26.9	Bm.Ant-B
22	Spectrogram 1	1	20130204_130000_AWI251-01_AU0231_250Hz.wav	20130204_130000_AWI251-01_AU0231_250Hz.wav	165809.5769	165816.3509	52392	54086	2013/2/4  13:03:29.577	6.774	16.4	28.0	5.9	17.6	26.9	Bm.Ant-B
23	Spectrogram 1	1	20130204_130000_AWI251-01_AU0231_250Hz.wav	20130204_130000_AWI251-01_AU0231_250Hz.wav	165846.5649	165853.1238	61639	63279	2013/2/4  13:04:06.565	6.559	16.9	28.5	5.6	18.6	27.3	Bm.Ant-B
24	Spectrogram 1	1	20130204_140000_AWI251-01_AU0231_250Hz.wav	20130204_140000_AWI251-01_AU0231_250Hz.wav	166123.0396	166130.0286	55758	57505	2013/2/4  14:03:43.040	6.989	15.8	28.0	5.9	16.6	26.9	Bm.Ant-B
25	Spectrogram 1	1	20130204_170000_AWI251-01_AU0231_250Hz.wav	20130204_170000_AWI251-01_AU0231_250Hz.wav	167071.7477	167080.242	67935	70059	2013/2/4  17:04:31.748	8.494	16.2	28.5	7.8	17.1	27.3	Bm.Ant-B
26	Spectrogram 1	1	20130204_230000_AWI251-01_AU0231_250Hz.wav	20130204_230000_AWI251-01_AU0231_250Hz.wav	168732.1333	168739.4996	33031	34873	2013/2/4  23:02:12.133	7.366	15.6	29.6	6.1	16.6	27.8	Bm.Ant-B
27	Spectrogram 1	1	20130204_230000_AWI251-01_AU0231_250Hz.wav	20130204_230000_AWI251-01_AU0231_250Hz.wav	168664.9825	168672.6691	16244	18165	2013/2/4  23:01:04.983	7.687	15.6	28.6	6.2	16.1	27.3	Bm.Ant-B
28	Spectrogram 1	1	20130205_070000_AWI251-01_AU0231_250Hz.wav	20130205_070000_AWI251-01_AU0231_250Hz.wav	171266.043	171271.1674	66509	67790	2013/2/5  7:04:26.043	5.124	16.7	27.5	4.4	17.6	26.9	Bm.Ant-B
29	Spectrogram 1	1	20130205_090000_AWI251-01_AU0231_250Hz.wav	20130205_090000_AWI251-01_AU0231_250Hz.wav	171846.3273	171852.199	61580	63048	2013/2/5  9:04:06.327	5.872	14.5	28.0	5.1	15.1	26.9	Bm.Ant-B
30	Spectrogram 1	1	20130205_130000_AWI251-01_AU0231_250Hz.wav	20130205_130000_AWI251-01_AU0231_250Hz.wav	172823.4477	172833.0559	5860	8262	2013/2/5  13:00:23.448	9.608	13.5	28.0	8.1	15.1	26.9	Bm.Ant-B
31	Spectrogram 1	1	20130205_130000_AWI251-01_AU0231_250Hz.wav	20130205_130000_AWI251-01_AU0231_250Hz.wav	172893.9079	172902.0216	23475	25503	2013/2/5  13:01:33.908	8.114	12.4	28.6	6.7	13.7	26.9	Bm.Ant-B
32	Spectrogram 1	1	20130205_140000_AWI251-01_AU0231_250Hz.wav	20130205_140000_AWI251-01_AU0231_250Hz.wav	173294.1372	173301.9305	48532	50481	2013/2/5  14:03:14.137	7.793	16.2	28.6	6.7	17.1	27.3	Bm.Ant-B
33	Spectrogram 1	1	20130205_180000_AWI251-01_AU0231_250Hz.wav	20130205_180000_AWI251-01_AU0231_250Hz.wav	174408.0067	174415.4798	27000	28868	2013/2/5  18:01:48.007	7.473	15.9	28.4	6.9	16.6	27.3	Bm.Ant-B
