Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20130117_000000_AWI251-01_AU0231_250Hz.wav	20130117_000000_AWI251-01_AU0231_250Hz.wav	32354.21937	32368.41818	63555	67105	2013/1/17  0:04:14.219	14.199	15.8	28.1	11.5	17.6	26.9	Bm.Ant-Z
2	Spectrogram 1	1	20130117_090000_AWI251-01_AU0231_250Hz.wav	20130117_090000_AWI251-01_AU0231_250Hz.wav	34971.3531	34985.97895	42838	46495	2013/1/17  9:02:51.353	14.626	16.9	28.4	10.0	18.6	26.9	Bm.Ant-Z
3	Spectrogram 1	1	20130117_140000_AWI251-01_AU0231_250Hz.wav	20130117_140000_AWI251-01_AU0231_250Hz.wav	36347.7379	36361.7232	11934	15431	2013/1/17  14:00:47.738	13.985	16.6	28.4	9.4	19.0	27.3	Bm.Ant-Z
4	Spectrogram 1	1	20130126_230000_AWI251-01_AU0231_250Hz.wav	20130126_230000_AWI251-01_AU0231_250Hz.wav	104019.2204	104030.1097	54805	57527	2013/1/26  23:03:39.220	10.889	16.0	28.2	9.2	16.6	26.9	Bm.Ant-Z
5	Spectrogram 1	1	20130203_100000_AWI251-01_AU0231_250Hz.wav	20130203_100000_AWI251-01_AU0231_250Hz.wav	157586.0652	157594.5596	21514	23638	2013/2/3  10:01:26.065	8.494	15.4	28.2	7.5	16.6	26.9	Bm.Ant-Z
6	Spectrogram 1	1	20130203_220000_AWI251-01_AU0231_250Hz.wav	20130203_220000_AWI251-01_AU0231_250Hz.wav	161277.7985	161289.0885	44448	47270	2013/2/3  22:02:57.799	11.29	15.4	28.5	9.5	16.1	26.9	Bm.Ant-Z
7	Spectrogram 1	1	20130204_000000_AWI251-01_AU0231_250Hz.wav	20130204_000000_AWI251-01_AU0231_250Hz.wav	161871.2743	161882.1342	42817	45532	2013/2/4  0:02:51.274	10.86	14.2	27.8	9.2	15.6	26.9	Bm.Ant-Z
8	Spectrogram 1	1	20130206_070000_AWI251-01_AU0231_250Hz.wav	20130206_070000_AWI251-01_AU0231_250Hz.wav	178347.9786	178359.8287	36993	39955	2013/2/6  7:02:27.979	11.85	16.5	28.4	5.8	21.5	26.9	Bm.Ant-Z
9	Spectrogram 1	1	20130206_070000_AWI251-01_AU0231_250Hz.wav	20130206_070000_AWI251-01_AU0231_250Hz.wav	178410.9658	178423.243	52739	55809	2013/2/6  7:03:30.966	12.277	16.5	28.4	7.0	18.6	26.9	Bm.Ant-Z
10	Spectrogram 1	1	20130206_070000_AWI251-01_AU0231_250Hz.wav	20130206_070000_AWI251-01_AU0231_250Hz.wav	178473.4869	178483.2019	68370	70798	2013/2/6  7:04:33.487	9.715	16.5	28.4	7.3	18.6	26.9	Bm.Ant-Z
11	Spectrogram 1	1	20130206_170000_AWI251-01_AU0231_250Hz.wav	20130206_170000_AWI251-01_AU0231_250Hz.wav	181415.195	181429.1803	53797	57293	2013/2/6  17:03:35.195	13.985	16.7	28.9	7.3	21.5	26.9	Bm.Ant-Z
12	Spectrogram 1	1	20130206_200000_AWI251-01_AU0231_250Hz.wav	20130206_200000_AWI251-01_AU0231_250Hz.wav	182304.624	182315.0863	51154	53770	2013/2/6  20:03:24.624	10.462	14.5	28.6	8.6	15.6	26.9	Bm.Ant-Z
13	Spectrogram 1	1	20130207_070000_AWI251-01_AU0231_250Hz.wav	20130207_070000_AWI251-01_AU0231_250Hz.wav	185416.5017	185429.512	4123	7376	2013/2/7  7:00:16.502	13.01	15.8	27.7	11.5	16.6	26.4	Bm.Ant-Z
14	Spectrogram 1	1	20130207_090000_AWI251-01_AU0231_250Hz.wav	20130207_090000_AWI251-01_AU0231_250Hz.wav	186116.8026	186127.77	29199	31941	2013/2/7  9:01:56.803	10.967	14.5	27.9	9.7	15.6	26.9	Bm.Ant-Z
15	Spectrogram 1	1	20130207_180000_AWI251-01_AU0231_250Hz.wav	20130207_180000_AWI251-01_AU0231_250Hz.wav	188930.0023	188941.3998	57499	60348	2013/2/7  18:03:49.002	11.398	17.8	28.2	10.0	18.1	27.3	Bm.Ant-Z
16	Spectrogram 1	1	20130208_200000_AWI251-01_AU0231_250Hz.wav	20130208_200000_AWI251-01_AU0231_250Hz.wav	196771.5752	196780.1771	67892	70042	2013/2/8  20:04:31.575	8.602	15.6	29.0	7.6	16.6	27.8	Bm.Ant-Z
17	Spectrogram 1	1	20130209_070000_AWI251-01_AU0231_250Hz.wav	20130209_070000_AWI251-01_AU0231_250Hz.wav	199825.0649	199836.2474	6263	9059	2013/2/9  7:00:25.065	11.182	16.7	27.8	8.6	18.1	26.9	Bm.Ant-Z
18	Spectrogram 1	1	20130209_070000_AWI251-01_AU0231_250Hz.wav	20130209_070000_AWI251-01_AU0231_250Hz.wav	200005.1055	200016.7181	51273	54177	2013/2/9  7:03:25.106	11.613	16.9	28.4	9.4	18.1	27.3	Bm.Ant-Z
19	Spectrogram 1	1	20130209_170000_AWI251-01_AU0231_250Hz.wav	20130209_170000_AWI251-01_AU0231_250Hz.wav	202810.3545	202828.6335	2586	7155	2013/2/9  17:00:10.354	18.279	16.1	28.6	15.4	16.6	27.3	Bm.Ant-Z
20	Spectrogram 1	1	20130209_170000_AWI251-01_AU0231_250Hz.wav	20130209_170000_AWI251-01_AU0231_250Hz.wav	203014.4195	203030.4404	53602	57607	2013/2/9  17:03:34.419	16.021	15.7	28.4	15.1	16.6	26.9	Bm.Ant-Z
22	Spectrogram 1	1	20130209_180000_AWI251-01_AU0231_250Hz.wav	20130209_180000_AWI251-01_AU0231_250Hz.wav	203178.224	203192.6322	19553	23155	2013/2/9  18:01:18.224	14.408	16.7	27.9	13.1	17.6	27.3	Bm.Ant-Z
23	Spectrogram 1	1	20130210_110000_AWI251-01_AU0231_250Hz.wav	20130210_110000_AWI251-01_AU0231_250Hz.wav	208310.9417	208320.9414	27731	30231	2013/2/10  11:01:50.942	10.0	15.6	27.6	8.9	16.1	26.9	Bm.Ant-Z
24	Spectrogram 1	1	20130210_210000_AWI251-01_AU0231_250Hz.wav	20130210_210000_AWI251-01_AU0231_250Hz.wav	211445.518	211461.0013	61376	65246	2013/2/10  21:04:05.518	15.483	16.5	27.6	13.1	17.1	26.9	Bm.Ant-Z
25	Spectrogram 1	1	20130210_220000_AWI251-01_AU0231_250Hz.wav	20130210_220000_AWI251-01_AU0231_250Hz.wav	211516.3149	211532.766	4075	8188	2013/2/10  22:00:16.315	16.451	16.5	28.6	12.9	17.6	27.3	Bm.Ant-Z
26	Spectrogram 1	1	20130210_220000_AWI251-01_AU0231_250Hz.wav	20130210_220000_AWI251-01_AU0231_250Hz.wav	211610.487	211630.1638	27618	32537	2013/2/10  22:01:50.487	19.677	16.5	28.6	16.7	17.1	26.9	Bm.Ant-Z
27	Spectrogram 1	1	20130211_210000_AWI251-01_AU0231_250Hz.wav	20130211_210000_AWI251-01_AU0231_250Hz.wav	218578.3665	218593.9574	44586	48483	2013/2/11  21:02:58.367	15.591	16.5	27.9	13.4	17.1	26.9	Bm.Ant-Z
28	Spectrogram 1	1	20130211_220000_AWI251-01_AU0231_250Hz.wav	20130211_220000_AWI251-01_AU0231_250Hz.wav	218734.6465	218747.5493	8656	11881	2013/2/11  22:00:34.647	12.903	15.4	28.5	11.5	16.1	26.9	Bm.Ant-Z
29	Spectrogram 1	1	20130212_080000_AWI251-01_AU0231_250Hz.wav	20130212_080000_AWI251-01_AU0231_250Hz.wav	221904.9268	221916.7544	51226	54183	2013/2/12  8:03:24.927	11.828	16.3	27.8	10.5	17.1	26.9	Bm.Ant-Z
30	Spectrogram 1	1	20130212_110000_AWI251-01_AU0231_250Hz.wav	20130212_110000_AWI251-01_AU0231_250Hz.wav	222640.7104	222655.7637	10172	13935	2013/2/12  11:00:40.710	15.053	17.1	28.3	12.6	18.1	27.3	Bm.Ant-Z
31	Spectrogram 1	1	20130212_110000_AWI251-01_AU0231_250Hz.wav	20130212_110000_AWI251-01_AU0231_250Hz.wav	222706.1312	222720.2167	26527	30048	2013/2/12  11:01:46.131	14.085	17.1	27.8	11.2	18.1	26.9	Bm.Ant-Z
32	Spectrogram 1	1	20130212_200000_AWI251-01_AU0231_250Hz.wav	20130212_200000_AWI251-01_AU0231_250Hz.wav	225484.5806	225493.505	46139	48370	2013/2/12  20:03:04.581	8.924	17.7	27.6	7.5	18.6	26.9	Bm.Ant-Z
33	Spectrogram 1	1	20130212_210000_AWI251-01_AU0231_250Hz.wav	20130212_210000_AWI251-01_AU0231_250Hz.wav	225716.0398	225729.2651	29004	32310	2013/2/12  21:01:56.040	13.225	17.4	28.6	11.1	18.1	26.9	Bm.Ant-Z
