Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Notes	Tags
1	Spectrogram 1	1	20130117_030000_AWI251-01_AU0231_250Hz.wav	20130117_030000_AWI251-01_AU0231_250Hz.wav	33094.22774	33096.78993	23557	24197	2013/1/17  3:01:34.228	2.562	35.2	73.0	1.9	36.1	69.8		Bm.D
2	Spectrogram 1	1	20130117_120000_AWI251-01_AU0231_250Hz.wav	20130117_120000_AWI251-01_AU0231_250Hz.wav	35870.45594	35871.63027	42614	42908	2013/1/17  12:02:50.456	1.174	59.5	105.2	0.9	62.0	98.6		Bm.D
3	Spectrogram 1	1	20130117_120000_AWI251-01_AU0231_250Hz.wav	20130117_120000_AWI251-01_AU0231_250Hz.wav	35892.02105	35893.40891	48005	48352	2013/1/17  12:03:12.021	1.388	37.0	64.9	0.9	40.0	61.5		Bm.D
4	Spectrogram 1	1	20130117_130000_AWI251-01_AU0231_250Hz.wav	20130117_130000_AWI251-01_AU0231_250Hz.wav	36001.70813	36002.88247	427	721	2013/1/17  13:00:01.708	1.174	46.7	79.4	0.6	51.8	71.3		Bm.D
5	Spectrogram 1	1	20130117_130000_AWI251-01_AU0231_250Hz.wav	20130117_130000_AWI251-01_AU0231_250Hz.wav	36028.50439	36029.67873	7126	7420	2013/1/17  13:00:28.504	1.174	62.2	97.6	0.8	66.4	85.9		Bm.D
6	Spectrogram 1	1	20130117_130000_AWI251-01_AU0231_250Hz.wav	20130117_130000_AWI251-01_AU0231_250Hz.wav	36075.90494	36077.2928	18976	19323	2013/1/17  13:01:15.905	1.388	55.3	85.3	0.8	62.0	79.1		Bm.D
7	Spectrogram 1	1	20130117_130000_AWI251-01_AU0231_250Hz.wav	20130117_130000_AWI251-01_AU0231_250Hz.wav	36117.22029	36118.39463	29305	29599	2013/1/17  13:01:57.220	1.174	55.3	89.1	0.9	58.6	81.5		Bm.D
8	Spectrogram 1	1	20130117_130000_AWI251-01_AU0231_250Hz.wav	20130117_130000_AWI251-01_AU0231_250Hz.wav	36168.6862	36170.18081	42172	42545	2013/1/17  13:02:48.686	1.495	44.5	78.3	0.6	51.8	73.2		Bm.D
9	Spectrogram 1	1	20130117_130000_AWI251-01_AU0231_250Hz.wav	20130117_130000_AWI251-01_AU0231_250Hz.wav	36255.86839	36257.04273	63967	64261	2013/1/17  13:04:15.868	1.174	55.3	90.1	0.6	56.2	78.6		Bm.D
10	Spectrogram 1	1	20130117_150000_AWI251-01_AU0231_250Hz.wav	20130117_150000_AWI251-01_AU0231_250Hz.wav	36678.01407	36679.29517	19504	19824	2013/1/17  15:01:18.014	1.281	62.8	103.5	0.6	64.5	98.1		Bm.D
