Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20130126_080000_AWI251-01_AU0231_250Hz.wav	20130126_080000_AWI251-01_AU0231_250Hz.wav	99436.07736	99437.03818	34019	34260	2013/1/26  8:02:16.077	0.961	14.2	29.0	0.8	16.6	26.9	Bp-20Hz
2	Spectrogram 1	1	20130126_080000_AWI251-01_AU0231_250Hz.wav	20130126_080000_AWI251-01_AU0231_250Hz.wav	99430.31242	99431.38	32578	32845	2013/1/26  8:02:10.312	1.068	14.7	27.9	0.9	15.6	25.9	Bp-20Hz
3	Spectrogram 1	1	20130126_080000_AWI251-01_AU0231_250Hz.wav	20130126_080000_AWI251-01_AU0231_250Hz.wav	99418.35553	99419.42311	29589	29856	2013/1/26  8:01:58.356	1.068	15.2	30.0	0.8	16.6	27.3	Bp-20Hz
4	Spectrogram 1	1	20130126_080000_AWI251-01_AU0231_250Hz.wav	20130126_080000_AWI251-01_AU0231_250Hz.wav	99385.08613	99385.9402	21272	21485	2013/1/26  8:01:25.086	0.854	13.2	27.9	0.8	15.1	26.4	Bp-20Hz
5	Spectrogram 1	1	20130126_080000_AWI251-01_AU0231_250Hz.wav	20130126_080000_AWI251-01_AU0231_250Hz.wav	99550.42969	99552.03106	62607	63008	2013/1/26  8:04:10.430	1.601	13.6	30.5	0.9	16.6	28.3	Bp-20Hz
6	Spectrogram 1	1	20130126_090000_AWI251-01_AU0231_250Hz.wav	20130126_090000_AWI251-01_AU0231_250Hz.wav	99603.68338	99604.96448	921	1241	2013/1/26  9:00:03.683	1.281	13.6	32.9	0.8	17.1	27.3	Bp-20Hz
7	Spectrogram 1	1	20130126_090000_AWI251-01_AU0231_250Hz.wav	20130126_090000_AWI251-01_AU0231_250Hz.wav	99607.41991	99608.38074	1855	2095	2013/1/26  9:00:07.420	0.961	14.1	25.7	0.8	15.6	23.9	Bp-20Hz
8	Spectrogram 1	1	20130126_090000_AWI251-01_AU0231_250Hz.wav	20130126_090000_AWI251-01_AU0231_250Hz.wav	99654.28668	99655.46102	13572	13865	2013/1/26  9:00:54.287	1.174	14.1	26.6	0.6	16.6	24.4	Bp-20Hz
9	Spectrogram 1	1	20130126_090000_AWI251-01_AU0231_250Hz.wav	20130126_090000_AWI251-01_AU0231_250Hz.wav	99807.72649	99809.2211	51932	52305	2013/1/26  9:03:27.726	1.495	17.5	41.8	1.1	18.6	38.6	Bp-20Hz
10	Spectrogram 1	1	20130126_090000_AWI251-01_AU0231_250Hz.wav	20130126_090000_AWI251-01_AU0231_250Hz.wav	99820.32393	99821.71179	55081	55428	2013/1/26  9:03:40.324	1.388	14.1	37.5	0.8	17.1	29.8	Bp-20Hz
11	Spectrogram 1	1	20130126_090000_AWI251-01_AU0231_250Hz.wav	20130126_090000_AWI251-01_AU0231_250Hz.wav	99883.84495	99884.80577	70961	71201	2013/1/26  9:04:43.845	0.961	15.6	27.7	0.6	16.6	25.9	Bp-20Hz
12	Spectrogram 1	1	20130126_090000_AWI251-01_AU0231_250Hz.wav	20130126_090000_AWI251-01_AU0231_250Hz.wav	99824.16722	99825.66183	56042	56415	2013/1/26  9:03:44.167	1.495	14.6	28.2	0.9	15.6	25.9	Bp-20Hz
13	Spectrogram 1	1	20130126_190000_AWI251-01_AU0231_250Hz.wav	20130126_190000_AWI251-01_AU0231_250Hz.wav	102852.9383	102854.5396	63235	63635	2013/1/26  19:04:12.938	1.601	13.8	32.8	0.9	17.1	29.8	Bp-20Hz
14	Spectrogram 1	1	20130126_220000_AWI251-01_AU0231_250Hz.wav	20130126_220000_AWI251-01_AU0231_250Hz.wav	103650.6395	103651.9206	37660	37980	2013/1/26  22:02:30.640	1.281	13.8	28.2	1.1	16.1	24.4	Bp-20Hz
15	Spectrogram 1	1	20130126_220000_AWI251-01_AU0231_250Hz.wav	20130126_220000_AWI251-01_AU0231_250Hz.wav	103665.5857	103666.6532	41396	41663	2013/1/26  22:02:45.586	1.068	14.9	28.2	0.6	17.6	25.4	Bp-20Hz
16	Spectrogram 1	1	20130127_090000_AWI251-01_AU0231_250Hz.wav	20130127_090000_AWI251-01_AU0231_250Hz.wav	106963.94	106964.9008	40984	41224	2013/1/27  9:02:43.940	0.961	13.3	26.1	0.8	16.1	24.9	Bp-20Hz
17	Spectrogram 1	1	20130127_090000_AWI251-01_AU0231_250Hz.wav	20130127_090000_AWI251-01_AU0231_250Hz.wav	106969.4914	106970.559	42372	42639	2013/1/27  9:02:49.491	1.068	12.8	26.1	0.9	15.6	24.9	Bp-20Hz
18	Spectrogram 1	1	20130127_090000_AWI251-01_AU0231_250Hz.wav	20130127_090000_AWI251-01_AU0231_250Hz.wav	107029.3435	107030.8381	57335	57709	2013/1/27  9:03:49.344	1.495	13.8	27.1	0.9	15.6	25.9	Bp-20Hz
19	Spectrogram 1	1	20130127_090000_AWI251-01_AU0231_250Hz.wav	20130127_090000_AWI251-01_AU0231_250Hz.wav	106827.2067	106828.4878	6801	7121	2013/1/27  9:00:27.207	1.281	14.9	25.5	0.9	16.1	24.4	Bp-20Hz
20	Spectrogram 1	1	20130127_090000_AWI251-01_AU0231_250Hz.wav	20130127_090000_AWI251-01_AU0231_250Hz.wav	106907.7023	106908.9834	26925	27245	2013/1/27  9:01:47.702	1.281	14.9	29.3	0.8	15.6	26.4	Bp-20Hz
21	Spectrogram 1	1	20130127_090000_AWI251-01_AU0231_250Hz.wav	20130127_090000_AWI251-01_AU0231_250Hz.wav	106921.6876	106922.7552	30421	30688	2013/1/27  9:02:01.688	1.068	13.3	27.1	0.8	15.6	24.4	Bp-20Hz
22	Spectrogram 1	1	20130127_090000_AWI251-01_AU0231_250Hz.wav	20130127_090000_AWI251-01_AU0231_250Hz.wav	106983.3546	106984.3154	45838	46078	2013/1/27  9:03:03.355	0.961	11.2	26.6	0.8	13.7	24.4	Bp-20Hz
23	Spectrogram 1	1	20130129_080000_AWI251-01_AU0231_250Hz.wav	20130129_080000_AWI251-01_AU0231_250Hz.wav	120989.9544	120991.4597	22488	22864	2013/1/29  8:01:29.954	1.505	13.2	27.5	1.1	15.6	25.4	Bp-20Hz
24	Spectrogram 1	1	20130129_080000_AWI251-01_AU0231_250Hz.wav	20130129_080000_AWI251-01_AU0231_250Hz.wav	121001.4594	121002.8572	25364	25713	2013/1/29  8:01:41.459	1.398	12.6	26.9	1.2	14.6	24.4	Bp-20Hz
25	Spectrogram 1	1	20130129_080000_AWI251-01_AU0231_250Hz.wav	20130129_080000_AWI251-01_AU0231_250Hz.wav	121173.9124	121175.3103	68477	68827	2013/1/29  8:04:33.912	1.398	13.2	26.3	1.1	15.1	24.9	Bp-20Hz
26	Spectrogram 1	1	20130129_080000_AWI251-01_AU0231_250Hz.wav	20130129_080000_AWI251-01_AU0231_250Hz.wav	121191.8688	121192.729	72966	73181	2013/1/29  8:04:51.869	0.86	14.4	26.9	0.6	17.6	25.9	Bp-20Hz
27	Spectrogram 1	1	20130131_230000_AWI251-01_AU0231_250Hz.wav	20130131_230000_AWI251-01_AU0231_250Hz.wav	139962.776	139964.3888	40693	41096	2013/1/31  23:02:42.776	1.613	11.4	26.6	1.1	14.2	25.4	Bp-20Hz
28	Spectrogram 1	1	20130131_230000_AWI251-01_AU0231_250Hz.wav	20130131_230000_AWI251-01_AU0231_250Hz.wav	140045.9381	140047.5509	61484	61887	2013/1/31  23:04:05.938	1.613	12.5	25.5	1.1	14.6	24.9	Bp-20Hz
