Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207357.2395	207358.9599	14306	14736	2013/2/10  8:00:57.239	1.72	10.9	92.4	0.9	15.1	24.9	Bp-20Plus
2	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207361.5405	207362.9383	15381	15731	2013/2/10  8:01:01.541	1.398	13.3	91.8	0.9	15.6	59.1	Bp-20Plus
3	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207370.4649	207371.8627	17612	17962	2013/2/10  8:01:10.465	1.398	15.1	92.4	1.1	16.6	25.9	Bp-20Plus
4	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207381.7548	207383.2602	20435	20811	2013/2/10  8:01:21.755	1.505	13.3	94.8	0.9	17.1	29.8	Bp-20Plus
5	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207332.9393	207334.0145	8231	8500	2013/2/10  8:00:32.939	1.075	10.9	87.4	0.8	14.2	63.5	Bp-20Plus
6	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207397.863	207399.0458	24462	24757	2013/2/10  8:01:37.863	1.183	15.7	98.6	0.6	20.5	32.2	Bp-20Plus
7	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207411.3034	207412.7012	27822	28171	2013/2/10  8:01:51.303	1.398	14.5	97.2	0.9	18.1	43.5	Bp-20Plus
8	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207423.8837	207425.604	30967	31397	2013/2/10  8:02:03.884	1.72	16.3	96.4	0.8	19.5	32.2	Bp-20Plus
9	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207435.9729	207437.5857	33989	34392	2013/2/10  8:02:15.973	1.613	12.7	90.0	1.1	16.1	24.4	Bp-20Plus
10	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207461.0258	207462.4236	40252	40602	2013/2/10  8:02:41.026	1.398	13.3	93.6	0.9	17.1	41.5	Bp-20Plus
11	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207470.3803	207472.3158	42591	43075	2013/2/10  8:02:50.380	1.936	12.7	93.0	0.9	17.1	31.2	Bp-20Plus
12	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207502.7449	207504.3577	50682	51085	2013/2/10  8:03:22.745	1.613	12.1	94.2	1.1	15.1	41.5	Bp-20Plus
13	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207526.0774	207527.7978	56515	56945	2013/2/10  8:03:46.077	1.72	12.1	91.8	1.2	15.1	24.4	Bp-20Plus
14	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207554.6177	207556.3381	63650	64081	2013/2/10  8:04:14.618	1.72	12.1	88.2	1.1	15.1	29.3	Bp-20Plus
15	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207566.2302	207567.8431	66554	66957	2013/2/10  8:04:26.230	1.613	10.9	93.0	1.1	14.6	25.4	Bp-20Plus
16	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207580.2082	207581.7136	70048	70424	2013/2/10  8:04:40.208	1.505	12.1	88.2	0.9	15.1	25.9	Bp-20Plus
17	Spectrogram 1	1	20130210_080000_AWI251-01_AU0231_250Hz.wav	20130210_080000_AWI251-01_AU0231_250Hz.wav	207592.1433	207593.8637	73032	73462	2013/2/10  8:04:52.143	1.72	13.9	87.6	0.9	16.1	32.2	Bp-20Plus
18	Spectrogram 1	1	20130221_160000_AWI251-01_AU0231_250Hz.wav	20130221_160000_AWI251-01_AU0231_250Hz.wav	289193.5804	289194.9137	73389	73722	2013/2/21  16:04:53.580	1.333	12.6	91.9	1.1	17.1	87.4	Bp-20Plus
19	Spectrogram 1	1	20130224_190000_AWI251-01_AU0231_250Hz.wav	20130224_190000_AWI251-01_AU0231_250Hz.wav	311612.8264	311613.7787	53201	53439	2013/2/24  19:03:32.826	0.952	14.2	94.8	0.8	17.1	83.0	Bp-20Plus
20	Spectrogram 1	1	20130224_200000_AWI251-01_AU0231_250Hz.wav	20130224_200000_AWI251-01_AU0231_250Hz.wav	311824.35	311825.5881	31082	31391	2013/2/24  20:02:04.350	1.238	14.7	90.6	0.9	17.6	87.9	Bp-20Plus
21	Spectrogram 1	1	20130225_070000_AWI251-01_AU0231_250Hz.wav	20130225_070000_AWI251-01_AU0231_250Hz.wav	315277.9216	315278.9691	69474	69736	2013/2/25  7:04:37.922	1.047	18.6	89.5	0.8	19.5	85.4	Bp-20Plus
22	Spectrogram 1	1	20130225_070000_AWI251-01_AU0231_250Hz.wav	20130225_070000_AWI251-01_AU0231_250Hz.wav	315291.683	315293.0163	72915	73248	2013/2/25  7:04:51.683	1.333	14.5	89.0	0.9	16.6	84.5	Bp-20Plus
23	Spectrogram 1	1	20130226_230000_AWI251-01_AU0231_250Hz.wav	20130226_230000_AWI251-01_AU0231_250Hz.wav	327016.9664	327018.1092	4236	4521	2013/2/26  23:00:16.966	1.143	13.0	89.2	0.9	16.1	85.4	Bp-20Plus
