Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
663	Spectrogram 1	1	20130222_100000_AWI251-01_AU0231_250Hz.wav	20130222_100000_AWI251-01_AU0231_250Hz.wav	294478.1589	294479.6827	44534	44915	2013/2/22  10:02:58.159	1.524	49.9	84.4	0.9	51.8	70.8	Bp-Downsweep
664	Spectrogram 1	1	20130222_100000_AWI251-01_AU0231_250Hz.wav	20130222_100000_AWI251-01_AU0231_250Hz.wav	294500.4439	294501.2058	50105	50295	2013/2/22  10:03:20.444	0.762	46.9	89.3	0.5	52.2	80.1	Bp-Downsweep
665	Spectrogram 1	1	20130222_100000_AWI251-01_AU0231_250Hz.wav	20130222_100000_AWI251-01_AU0231_250Hz.wav	294506.7294	294508.6341	51676	52153	2013/2/22  10:03:26.729	1.905	50.8	93.8	1.4	53.2	88.9	Bp-Downsweep
666	Spectrogram 1	1	20130222_100000_AWI251-01_AU0231_250Hz.wav	20130222_100000_AWI251-01_AU0231_250Hz.wav	294489.7776	294491.968	47438	47986	2013/2/22  10:03:09.778	2.19	45.7	77.4	1.7	46.4	74.2	Bp-Downsweep
667	Spectrogram 1	1	20130222_100000_AWI251-01_AU0231_250Hz.wav	20130222_100000_AWI251-01_AU0231_250Hz.wav	294514.8243	294515.9672	53700	53986	2013/2/22  10:03:34.824	1.143	41.0	83.5	0.9	43.5	74.7	Bp-Downsweep
668	Spectrogram 1	1	20130222_170000_AWI251-01_AU0231_250Hz.wav	20130222_170000_AWI251-01_AU0231_250Hz.wav	296524.921	296526.3495	31224	31581	2013/2/22  17:02:04.921	1.429	41.5	84.4	0.9	44.4	75.2	Bp-Downsweep
669	Spectrogram 1	1	20130222_180000_AWI251-01_AU0231_250Hz.wav	20130222_180000_AWI251-01_AU0231_250Hz.wav	296894.2528	296895.967	48557	48986	2013/2/22  18:03:14.253	1.714	43.8	81.2	0.9	48.3	72.8	Bp-Downsweep
670	Spectrogram 1	1	20130222_180000_AWI251-01_AU0231_250Hz.wav	20130222_180000_AWI251-01_AU0231_250Hz.wav	296927.2041	296929.2993	56795	57319	2013/2/22  18:03:47.204	2.095	52.2	106.8	1.2	56.6	98.6	Bp-Downsweep
671	Spectrogram 1	1	20130222_180000_AWI251-01_AU0231_250Hz.wav	20130222_180000_AWI251-01_AU0231_250Hz.wav	296875.5868	296876.6343	43891	44153	2013/2/22  18:02:55.587	1.047	43.8	69.5	0.9	47.4	66.9	Bp-Downsweep
672	Spectrogram 1	1	20130222_180000_AWI251-01_AU0231_250Hz.wav	20130222_180000_AWI251-01_AU0231_250Hz.wav	296858.9206	296859.7778	39724	39938	2013/2/22  18:02:38.921	0.857	43.4	67.2	0.8	44.4	63.0	Bp-Downsweep
673	Spectrogram 1	1	20130222_180000_AWI251-01_AU0231_250Hz.wav	20130222_190000_AWI251-01_AU0231_250Hz.wav	296999.2537	297000.4918	74807	117	2013/2/22  18:04:59.254	1.238	57.6	94.6	0.8	61.0	87.9	Bp-Downsweep
674	Spectrogram 1	1	20130222_190000_AWI251-01_AU0231_250Hz.wav	20130222_190000_AWI251-01_AU0231_250Hz.wav	297002.7774	297004.5869	688	1141	2013/2/22  19:00:02.777	1.809	29.5	62.3	1.4	34.7	58.1	Bp-Downsweep
675	Spectrogram 1	1	20130222_190000_AWI251-01_AU0231_250Hz.wav	20130222_190000_AWI251-01_AU0231_250Hz.wav	297007.9201	297009.1581	1974	2284	2013/2/22  19:00:07.920	1.238	37.5	87.5	0.9	42.5	80.1	Bp-Downsweep
676	Spectrogram 1	1	20130222_190000_AWI251-01_AU0231_250Hz.wav	20130222_190000_AWI251-01_AU0231_250Hz.wav	297031.0658	297032.1133	7760	8022	2013/2/22  19:00:31.066	1.048	26.2	86.1	0.5	34.7	62.0	Bp-Downsweep
677	Spectrogram 1	1	20130222_190000_AWI251-01_AU0231_250Hz.wav	20130222_190000_AWI251-01_AU0231_250Hz.wav	297076.7785	297078.3975	19189	19593	2013/2/22  19:01:16.779	1.619	40.3	76.8	1.2	41.5	71.8	Bp-Downsweep
678	Spectrogram 1	1	20130222_190000_AWI251-01_AU0231_250Hz.wav	20130222_190000_AWI251-01_AU0231_250Hz.wav	297082.2069	297083.1593	20546	20784	2013/2/22  19:01:22.207	0.952	43.1	68.8	0.8	45.9	66.4	Bp-Downsweep
679	Spectrogram 1	1	20130222_190000_AWI251-01_AU0231_250Hz.wav	20130222_190000_AWI251-01_AU0231_250Hz.wav	297097.5397	297098.9683	24379	24736	2013/2/22  19:01:37.540	1.429	33.7	75.8	0.8	39.1	69.8	Bp-Downsweep
680	Spectrogram 1	1	20130222_190000_AWI251-01_AU0231_250Hz.wav	20130222_190000_AWI251-01_AU0231_250Hz.wav	297115.4439	297117.5391	28855	29379	2013/2/22  19:01:55.444	2.095	36.5	75.8	1.4	39.1	72.3	Bp-Downsweep
681	Spectrogram 1	1	20130222_190000_AWI251-01_AU0231_250Hz.wav	20130222_190000_AWI251-01_AU0231_250Hz.wav	297149.9225	297151.2558	37475	37808	2013/2/22  19:02:29.922	1.333	38.4	90.4	0.9	43.5	81.5	Bp-Downsweep
