Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20130115_020000_AWI251-01_AU0231_250Hz.wav	20130115_020000_AWI251-01_AU0231_250Hz.wav	18300.434686833	18421.670679715	109	30418	2013/1/15  2:00:00.435	121.236	59.5	120.7	110.1	62.5	113.8	MinkeBio
2	Spectrogram 1	1	20130115_020000_AWI251-01_AU0231_250Hz.wav	20130115_020000_AWI251-01_AU0231_250Hz.wav	18425.899896797	18456.219170819	31475	39055	2013/1/15  2:02:05.900	30.319	61.2	117.0	26.7	64.0	115.7	MinkeBio
3	Spectrogram 1	1	20130308_210000_AWI251-01_AU0231_250Hz.wav	20130308_210000_AWI251-01_AU0231_250Hz.wav	398548.93208254	398566.360073016	37224	41581	2013/3/8  21:02:28.932	17.428	89.0	124.1	15.9	90.3	121.6	MinkeBio
4	Spectrogram 1	1	20130902_070000_AWI251-01_AU0231_250Hz.wav	20130902_070000_AWI251-01_AU0231_250Hz.wav	1675800.509593651	1675840.698730159	321	10369	2013/9/2  7:00:01.510	40.189	110.7	125.0	36.7	111.8	124.5	MinkeBio
5	Spectrogram 1	1	20130902_070000_AWI251-01_AU0231_250Hz.wav	20130902_070000_AWI251-01_AU0231_250Hz.wav	1675917.175971429	1676056.032085714	29488	64202	2013/9/2  7:01:57.176	138.856	105.6	125.0	121.4	107.4	124.0	MinkeBio
6	Spectrogram 1	1	20130902_080000_AWI251-01_AU0231_250Hz.wav	20130902_080000_AWI251-01_AU0231_250Hz.wav	1676195.679478559	1676276.877457976	24114	44413	2013/9/2  8:01:36.679	81.198	104.4	124.0	70.2	106.4	122.6	MinkeBio
7	Spectrogram 1	1	20130902_080000_AWI251-01_AU0231_250Hz.wav	20130902_080000_AWI251-01_AU0231_250Hz.wav	1676370.984267581	1676397.124048028	67940	74475	2013/9/2  8:04:31.984	26.14	103.4	124.0	23.9	104.5	122.1	MinkeBio
8	Spectrogram 1	1	20130902_090000_AWI251-01_AU0231_250Hz.wav	20130902_090000_AWI251-01_AU0231_250Hz.wav	1676486.038466552	1676657.329667238	21704	64526	2013/9/2  9:01:26.038	171.291	111.8	125.0	155.5	112.3	124.5	MinkeBio
9	Spectrogram 1	1	20130902_100000_AWI251-01_AU0231_250Hz.wav	20130902_100000_AWI251-01_AU0231_250Hz.wav	1676714.799619211	1676892.368483705	3894	48286	2013/9/2  10:00:15.800	177.569	95.6	125.0	160.1	97.2	124.0	MinkeBio
10	Spectrogram 1	1	20130902_120000_AWI251-01_AU0231_250Hz.wav	20130902_120000_AWI251-01_AU0231_250Hz.wav	1677450.87535506	1677530.220909091	37913	57749	2013/9/2  12:02:31.875	79.346	106.9	124.5	71.8	108.4	123.5	MinkeBio
11	Spectrogram 1	1	20130902_190000_AWI251-01_AU0231_250Hz.wav	20130902_190000_AWI251-01_AU0231_250Hz.wav	1679584.938288165	1679698.222174603	46429	74750	2013/9/2  19:03:05.938	113.284	94.9	125.0	98.7	99.1	123.5	MinkeBio
12	Spectrogram 1	1	20130902_210000_AWI251-01_AU0231_250Hz.wav	20130902_210000_AWI251-01_AU0231_250Hz.wav	1680024.94813036	1680051.293735849	6431	13017	2013/9/2  21:00:25.948	26.346	103.4	125.0	24.3	105.0	123.0	MinkeBio
13	Spectrogram 1	1	20130902_220000_AWI251-01_AU0231_250Hz.wav	20130902_220000_AWI251-01_AU0231_250Hz.wav	1680356.975307032	1680415.635444254	14438	29103	2013/9/2  22:00:57.975	58.66	97.1	124.5	51.0	97.7	121.6	MinkeBio
14	Spectrogram 1	1	20130902_220000_AWI251-01_AU0231_250Hz.wav	20130902_220000_AWI251-01_AU0231_250Hz.wav	1680438.115138937	1680500.994689537	34723	50443	2013/9/2  22:02:18.115	62.88	98.0	124.0	56.8	100.1	122.1	MinkeBio
