Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
32	Spectrogram 1	1	20130116_100000_AWI251-01_AU0231_250Hz.wav	20130116_100000_AWI251-01_AU0231_250Hz.wav	28025.44099	28026.61533	31360	31654	2013/1/16  10:02:05.441	1.174	61.7	86.1	0.8	65.4	82.5	MinkeDS
33	Spectrogram 1	1	20130116_100000_AWI251-01_AU0231_250Hz.wav	20130116_100000_AWI251-01_AU0231_250Hz.wav	28035.583	28036.65058	33896	34163	2013/1/16  10:02:15.583	1.068	62.8	90.0	0.6	65.9	86.9	MinkeDS
34	Spectrogram 1	1	20130116_100000_AWI251-01_AU0231_250Hz.wav	20130116_100000_AWI251-01_AU0231_250Hz.wav	28063.5536	28064.62118	40888	41155	2013/1/16  10:02:43.554	1.068	61.1	104.4	0.9	64.5	102.5	MinkeDS
35	Spectrogram 1	1	20130116_100000_AWI251-01_AU0231_250Hz.wav	20130116_100000_AWI251-01_AU0231_250Hz.wav	28080.63488	28081.91598	45159	45479	2013/1/16  10:03:00.635	1.281	61.7	88.9	0.9	64.0	87.9	MinkeDS
36	Spectrogram 1	1	20130116_100000_AWI251-01_AU0231_250Hz.wav	20130116_100000_AWI251-01_AU0231_250Hz.wav	28085.75926	28087.04036	46440	46760	2013/1/16  10:03:05.759	1.281	61.1	91.1	0.8	64.5	87.4	MinkeDS
37	Spectrogram 1	1	20130116_100000_AWI251-01_AU0231_250Hz.wav	20130116_100000_AWI251-01_AU0231_250Hz.wav	28092.48502	28093.65936	48121	48415	2013/1/16  10:03:12.485	1.174	63.9	96.1	0.8	65.9	91.3	MinkeDS
38	Spectrogram 1	1	20130116_230000_AWI251-01_AU0231_250Hz.wav	20130116_230000_AWI251-01_AU0231_250Hz.wav	31811.9569	31813.34475	2989	3336	2013/1/16  23:00:11.957	1.388	59.3	113.9	0.9	65.4	106.0	MinkeDS
39	Spectrogram 1	1	20130116_230000_AWI251-01_AU0231_250Hz.wav	20130116_230000_AWI251-01_AU0231_250Hz.wav	31824.34083	31825.62192	6085	6405	2013/1/16  23:00:24.341	1.281	65.7	110.2	0.8	70.8	102.1	MinkeDS
40	Spectrogram 1	1	20130116_230000_AWI251-01_AU0231_250Hz.wav	20130116_230000_AWI251-01_AU0231_250Hz.wav	31838.11261	31839.18019	9528	9795	2013/1/16  23:00:38.113	1.068	67.8	112.3	0.8	72.8	102.1	MinkeDS
41	Spectrogram 1	1	20130116_230000_AWI251-01_AU0231_250Hz.wav	20130116_230000_AWI251-01_AU0231_250Hz.wav	31850.38978	31851.56412	12597	12891	2013/1/16  23:00:50.390	1.174	71.5	103.8	0.8	75.2	99.6	MinkeDS
42	Spectrogram 1	1	20130116_230000_AWI251-01_AU0231_250Hz.wav	20130116_230000_AWI251-01_AU0231_250Hz.wav	31860.53179	31861.81289	15133	15453	2013/1/16  23:01:00.532	1.281	69.9	102.2	0.8	75.7	96.7	MinkeDS
43	Spectrogram 1	1	20130116_230000_AWI251-01_AU0231_250Hz.wav	20130116_230000_AWI251-01_AU0231_250Hz.wav	31874.83736	31876.33198	18709	19083	2013/1/16  23:01:14.837	1.495	66.2	109.6	0.9	72.3	99.1	MinkeDS
44	Spectrogram 1	1	20130116_230000_AWI251-01_AU0231_250Hz.wav	20130116_230000_AWI251-01_AU0231_250Hz.wav	31884.55234	31885.61992	21138	21405	2013/1/16  23:01:24.552	1.068	72.0	105.9	0.6	78.1	98.6	MinkeDS
45	Spectrogram 1	1	20130116_230000_AWI251-01_AU0231_250Hz.wav	20130116_230000_AWI251-01_AU0231_250Hz.wav	31892.66595	31893.94705	23166	23487	2013/1/16  23:01:32.666	1.281	63.6	103.8	0.8	69.8	98.6	MinkeDS
46	Spectrogram 1	1	20130116_230000_AWI251-01_AU0231_250Hz.wav	20130116_230000_AWI251-01_AU0231_250Hz.wav	31903.34175	31904.94312	25835	26236	2013/1/16  23:01:43.342	1.601	75.2	103.3	0.8	79.6	98.6	MinkeDS
47	Spectrogram 1	1	20130116_230000_AWI251-01_AU0231_250Hz.wav	20130116_230000_AWI251-01_AU0231_250Hz.wav	31911.13509	31912.41618	27784	28104	2013/1/16  23:01:51.135	1.281	69.4	112.3	0.8	71.8	106.9	MinkeDS
