Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	15.348991379	22.594991379	3883	5717	2015/1/2  14:09:59.349	7.246	23.0	28.2	5.7	24.7	26.7	Bm.Ant-A.
2	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	83.900993317	91.269993317	21227	23091	2015/1/2  14:11:07.901	7.369	23.0	27.4	6.3	23.7	26.7	Bm.Ant-A.
3	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	153.558994085	157.734994085	38850	39907	2015/1/2  14:12:17.559	4.176	23.4	28.2	2.7	24.7	26.7	Bm.Ant-A.
4	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	221.019994095	227.160994095	55918	57472	2015/1/2  14:13:25.020	6.141	23.1	27.4	4.8	24.7	26.7	Bm.Ant-A.
5	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	401.142996177	409.617996177	101489	103633	2015/1/2  14:16:25.143	8.475	21.6	28.3	6.8	24.7	26.7	Bm.Ant-A.
6	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	469.004999846	477.479999846	118658	120802	2015/1/2  14:17:33.005	8.475	21.6	28.3	6.6	23.7	26.7	Bm.Ant-A.
7	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	537.969994918	545.830994918	136106	138095	2015/1/2  14:18:41.970	7.861	22.6	28.7	6.0	24.7	26.7	Bm.Ant-A.
8	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	646.973962074	655.570962074	11335	13510	2015/1/4  12:02:32.974	8.597	22.6	28.6	5.9	23.7	26.7	Bm.Ant-A.
9	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	714.898960774	723.373960774	28520	30665	2015/1/4  12:03:40.899	8.475	22.9	28.2	5.7	24.7	26.7	Bm.Ant-A.
10	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	783.555961137	791.661961137	45891	47941	2015/1/4  12:04:49.556	8.106	22.9	28.6	5.7	24.7	26.7	Bm.Ant-A.
11	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	853.010965621	860.625965621	63463	65389	2015/1/4  12:05:58.011	7.615	23.3	28.2	4.7	24.7	26.7	Bm.Ant-A.
12	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	920.454967132	928.315967132	80526	82515	2015/1/4  12:07:06.455	7.861	22.6	27.8	5.1	23.7	26.7	Bm.Ant-A.
13	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	989.988959318	998.708959318	98118	100324	2015/1/4  12:08:15.989	8.72	22.9	28.6	5.6	24.7	26.7	Bm.Ant-A.
14	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	1056.830962484	1065.182962484	115029	117142	2015/1/4  12:09:22.831	8.352	23.0	27.9	7.2	23.7	26.7	Bm.Ant-A.
15	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	1123.811961075	1131.303961075	131975	133871	2015/1/4  12:10:29.812	7.492	22.6	28.2	5.9	23.7	26.7	Bm.Ant-A.
16	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	1155.14896672	1163.25496672	139904	141955	2015/1/4  12:11:00.149	8.106	23.3	27.8	6.2	23.7	26.7	Bm.Ant-A.
17	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	1190.749960502	1197.873960502	148911	150713	2015/1/4  12:11:36.750	7.124	22.6	27.8	5.6	23.7	26.7	Bm.Ant-A.
18	Spectrogram 1	1	20150106-100356_AWI229-11_SV1057.wav	20150106-100356_AWI229-11_SV1057.wav	1296.420914154	1302.930914154	23296	24944	2015/1/6  10:05:28.421	6.51	23.1	27.1	4.7	23.7	26.7	Bm.Ant-A.
19	Spectrogram 1	1	20150106-100356_AWI229-11_SV1057.wav	20150106-100356_AWI229-11_SV1057.wav	1560.741920616	1567.496920616	90170	91879	2015/1/6  10:09:52.742	6.755	23.5	27.1	5.3	23.7	26.7	Bm.Ant-A.
20	Spectrogram 1	1	20150108-090626_AWI229-11_SV1057.wav	20150108-090626_AWI229-11_SV1057.wav	1957.755882622	1965.124882622	38265	40130	2015/1/8  9:08:57.756	7.369	24.1	27.5	5.7	24.7	26.7	Bm.Ant-A.
21	Spectrogram 1	1	20150108-090626_AWI229-11_SV1057.wav	20150108-090626_AWI229-11_SV1057.wav	1995.355879844	2002.233879844	47778	49518	2015/1/8  9:09:34.356	6.878	23.3	27.5	5.9	23.7	26.7	Bm.Ant-A.
22	Spectrogram 1	1	20150108-090626_AWI229-11_SV1057.wav	20150108-090626_AWI229-11_SV1057.wav	2061.080880419	2068.941880419	64406	66395	2015/1/8  9:10:40.081	7.861	23.3	28.2	6.8	23.7	27.7	Bm.Ant-A.
23	Spectrogram 1	1	20150108-090626_AWI229-11_SV1057.wav	20150108-090626_AWI229-11_SV1057.wav	2378.570880325	2386.799880325	144731	146813	2015/1/8  9:15:58.571	8.229	22.9	27.5	6.9	23.7	26.7	Bm.Ant-A.
