Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150108-090626_AWI229-11_SV1057.wav	20150108-090626_AWI229-11_SV1057.wav	2153.842879788	2162.194879788	87875	89988	2015/1/8  9:12:13.843	8.352	15.0	27.8	7.5	15.8	26.7	Bm.Ant-B
2	Spectrogram 1	1	20150112-050943_AWI229-11_SV1057.wav	20150112-050943_AWI229-11_SV1057.wav	3414.986807656	3422.601807656	102247	104173	2015/1/12  5:16:27.987	7.615	17.3	27.5	6.8	17.8	26.7	Bm.Ant-B
3	Spectrogram 1	1	20150112-050943_AWI229-11_SV1057.wav	20150112-050943_AWI229-11_SV1057.wav	3499.794806716	3507.655806716	123703	125692	2015/1/12  5:17:51.795	7.861	15.8	28.6	7.2	15.8	26.7	Bm.Ant-B
4	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4402.683727465	4410.544727465	47436	49425	2015/1/16  1:06:48.684	7.861	13.2	28.6	6.9	13.8	26.7	Bm.Ant-B
5	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4613.520725094	4623.714725094	100778	103357	2015/1/16  1:10:19.521	10.194	14.7	27.5	8.6	14.8	26.7	Bm.Ant-B
6	Spectrogram 1	1	20150125-150511_AWI229-11_SV1057.wav	20150125-150511_AWI229-11_SV1057.wav	7426.120526541	7435.454526541	50620	52982	2015/1/25  15:08:31.121	9.334	17.0	27.2	7.8	17.8	26.7	Bm.Ant-B
7	Spectrogram 1	1	20150131-100110_AWI229-11_SV1057.wav	20150131-100110_AWI229-11_SV1057.wav	9376.096407106	9385.553407106	86917	89310	2015/1/31  10:06:53.096	9.457	14.0	28.7	8.3	14.8	27.7	Bm.Ant-B
8	Spectrogram 1	1	20150204-060505_AWI229-11_SV1057.wav	20150204-060505_AWI229-11_SV1057.wav	10373.067336158	10380.559336158	34453	36349	2015/2/4  6:07:21.067	7.492	14.7	27.5	6.5	14.8	26.7	Bm.Ant-B
9	Spectrogram 1	1	20150206-040843_AWI229-11_SV1057.wav	20150206-040843_AWI229-11_SV1057.wav	11219.427291787	11229.253291787	96233	98719	2015/2/6  4:15:03.427	9.826	12.3	27.8	8.3	12.8	26.7	Bm.Ant-B
10	Spectrogram 1	1	20150208-021051_AWI229-11_SV1057.wav	20150208-021051_AWI229-11_SV1057.wav	11503.095248189	11511.201248189	15652	17703	2015/2/8  2:11:52.095	8.106	15.5	28.3	7.1	15.8	26.7	Bm.Ant-B
11	Spectrogram 1	1	20150208-021051_AWI229-11_SV1057.wav	20150208-021051_AWI229-11_SV1057.wav	11614.038249325	11622.390249325	43721	45834	2015/2/8  2:13:43.038	8.352	14.0	28.3	7.2	14.8	26.7	Bm.Ant-B
12	Spectrogram 1	1	20150217-170150_AWI229-11_SV1057.wav	20150217-170150_AWI229-11_SV1057.wav	14572.837046557	14580.943046557	30552	32603	2015/2/17  17:03:50.837	8.106	15.6	27.4	7.1	15.8	26.7	Bm.Ant-B
13	Spectrogram 1	1	20150217-170150_AWI229-11_SV1057.wav	20150217-170150_AWI229-11_SV1057.wav	14792.628049128	14800.366049128	86159	88117	2015/2/17  17:07:30.628	7.738	13.1	27.4	6.8	13.8	26.7	Bm.Ant-B
14	Spectrogram 1	1	20150219-150317_AWI229-11_SV1057.wav	20150219-150317_AWI229-11_SV1057.wav	15576.00100985	15586.19500985	132003	134582	2015/2/19  15:11:58.001	10.194	16.9	27.5	8.9	17.8	26.7	Bm.Ant-B
15	Spectrogram 1	1	20150223-110814_AWI229-11_SV1057.wav	20150223-110814_AWI229-11_SV1057.wav	16607.616933042	16615.354933042	88304	90262	2015/2/23  11:14:03.617	7.738	16.1	27.7	6.9	16.8	26.7	Bm.Ant-B
16	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17503.558858682	17513.506858683	10279	12796	2015/2/27  7:02:48.559	9.948	15.2	28.1	8.7	16.8	26.7	Bm.Ant-B
17	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17649.871855055	17657.240855055	47297	49161	2015/2/27  7:05:14.872	7.369	17.0	27.8	6.5	17.8	26.7	Bm.Ant-B
18	Spectrogram 1	1	20150301-050558_AWI229-11_SV1057.wav	20150301-050558_AWI229-11_SV1057.wav	18399.150814424	18405.782814424	84515	86193	2015/3/1  5:11:32.151	6.632	15.8	28.1	5.7	15.8	26.7	Bm.Ant-B
19	Spectrogram 1	1	20150303-030713_AWI229-11_SV1057.wav	20150303-030713_AWI229-11_SV1057.wav	18859.341772318	18867.324772318	48594	50614	2015/3/3  3:10:25.342	7.983	15.3	27.3	7.1	15.8	26.7	Bm.Ant-B
20	Spectrogram 1	1	20150305-010917_AWI229-11_SV1057.wav	20150305-010917_AWI229-11_SV1057.wav	19749.119728213	19757.102728213	121359	123379	2015/3/5  1:17:16.120	7.983	15.2	27.6	7.1	15.8	26.7	Bm.Ant-B
21	Spectrogram 1	1	20150305-010917_AWI229-11_SV1057.wav	20150305-010917_AWI229-11_SV1057.wav	19772.488732418	19777.892732418	127272	128639	2015/3/5  1:17:40.489	5.404	13.6	28.0	4.5	13.8	26.7	Bm.Ant-B
22	Spectrogram 1	1	20150308-220358_AWI229-11_SV1057.wav	20150308-220358_AWI229-11_SV1057.wav	20559.895650299	20568.492650299	21788	23963	2015/3/8  22:05:24.896	8.597	14.8	27.6	7.2	15.8	26.7	Bm.Ant-B
23	Spectrogram 1	1	20150308-220358_AWI229-11_SV1057.wav	20150308-220358_AWI229-11_SV1057.wav	20879.458652438	20887.073652438	102637	104564	2015/3/8  22:10:43.459	7.615	15.2	28.0	6.2	16.8	26.7	Bm.Ant-B
24	Spectrogram 1	1	20150310-200526_AWI229-11_SV1057.wav	20150310-200526_AWI229-11_SV1057.wav	21357.033623866	21363.297623866	71115	72699	2015/3/10  20:10:07.034	6.264	16.2	27.3	5.3	17.8	26.7	Bm.Ant-B
25	Spectrogram 1	1	20150310-200526_AWI229-11_SV1057.wav	20150310-200526_AWI229-11_SV1057.wav	21419.844618923	21427.705618923	87006	88995	2015/3/10  20:11:09.845	7.861	15.1	27.7	7.2	16.8	26.7	Bm.Ant-B
26	Spectrogram 1	1	20150312-180846_AWI229-11_SV1057.wav	20150312-180846_AWI229-11_SV1057.wav	22096.752576751	22104.613576751	105914	107903	2015/3/12  18:15:44.753	7.861	16.1	27.9	7.2	16.8	26.7	Bm.Ant-B
27	Spectrogram 1	1	20150312-180846_AWI229-11_SV1057.wav	20150312-180846_AWI229-11_SV1057.wav	22254.514575598	22261.146575598	145828	147506	2015/3/12  18:18:22.515	6.632	16.1	27.5	5.6	16.8	26.7	Bm.Ant-B
28	Spectrogram 1	1	20150314-161055_AWI229-11_SV1057.wav	20150314-161055_AWI229-11_SV1057.wav	22301.392536941	22307.902536941	5339	6986	2015/3/14  16:11:16.393	6.51	15.0	28.4	5.7	16.8	26.7	Bm.Ant-B
29	Spectrogram 1	1	20150314-161055_AWI229-11_SV1057.wav	20150314-161055_AWI229-11_SV1057.wav	22317.621537628	22323.885537628	9445	11030	2015/3/14  16:11:32.622	6.264	13.5	27.7	5.3	15.8	26.7	Bm.Ant-B
30	Spectrogram 1	1	20150314-161055_AWI229-11_SV1057.wav	20150314-161055_AWI229-11_SV1057.wav	22702.776529598	22709.286529598	106889	108536	2015/3/14  16:17:57.777	6.51	16.4	28.4	5.4	17.8	26.7	Bm.Ant-B
31	Spectrogram 1	1	20150314-161055_AWI229-11_SV1057.wav	20150314-161055_AWI229-11_SV1057.wav	22711.251528891	22717.269528891	109034	110556	2015/3/14  16:18:05.252	6.018	15.7	27.7	5.3	16.8	26.7	Bm.Ant-B
32	Spectrogram 1	1	20150316-140217_AWI229-11_SV1057.wav	20150316-140217_AWI229-11_SV1057.wav	22941.797494211	22950.886494211	15013	17312	2015/3/16  14:03:16.797	9.089	14.5	27.9	8.0	15.8	26.7	Bm.Ant-B
33	Spectrogram 1	1	20150316-140217_AWI229-11_SV1057.wav	20150316-140217_AWI229-11_SV1057.wav	23031.489494138	23037.999494138	37705	39352	2015/3/16  14:04:46.489	6.51	13.0	28.3	5.4	15.8	26.7	Bm.Ant-B
34	Spectrogram 1	1	20150316-140217_AWI229-11_SV1057.wav	20150316-140217_AWI229-11_SV1057.wav	23174.006494202	23181.375494202	73762	75626	2015/3/16  14:07:08.006	7.369	15.3	28.3	6.5	16.8	26.7	Bm.Ant-B
