Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150112-050943_AWI229-11_SV1057.wav	20150112-050943_AWI229-11_SV1057.wav	3239.460803371	3254.567803371	57839	61661	2015/1/12  5:13:31.461	15.107	14.7	27.8	13.2	14.8	26.7	Bm.Ant-Z
2	Spectrogram 1	1	20150123-170345_AWI229-11_SV1057.wav	20150123-170345_AWI229-11_SV1057.wav	6666.831563129	6680.587563129	10869	14350	2015/1/23  17:04:27.832	13.756	14.7	28.6	9.0	20.8	26.7	Bm.Ant-Z
3	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17844.970857178	17852.708857178	96657	98614	2015/2/27  7:08:30.971	7.738	16.7	27.4	6.6	17.8	26.7	Bm.Ant-Z
4	Spectrogram 1	1	20150305-010917_AWI229-11_SV1057.wav	20150305-010917_AWI229-11_SV1057.wav	19271.336733332	19283.373	480	3525	2015/3/5  1:09:18.337	12.036	15.6	28.0	11.0	16.8	26.7	Bm.Ant-Z
5	Spectrogram 1	1	20150330-000505_AWI229-11_SV1057.wav	20150330-000505_AWI229-11_SV1057.wav	27115.606230959	27124.695230959	4543	6843	2015/3/30  0:05:22.606	9.089	15.7	27.1	8.4	16.8	26.7	Bm.Ant-Z
6	Spectrogram 1	1	20150330-000505_AWI229-11_SV1057.wav	20150330-000505_AWI229-11_SV1057.wav	27644.420230478	27655.597230478	138333	141161	2015/3/30  0:14:11.420	11.177	14.6	28.3	9.6	15.8	26.7	Bm.Ant-Z
7	Spectrogram 1	1	20150404-190422_AWI229-11_SV1057.wav	20150404-190422_AWI229-11_SV1057.wav	29361.87209566	29376.611095661	115802	119531	2015/4/4  19:11:59.872	14.739	15.4	27.8	13.5	16.8	26.7	Bm.Ant-Z
8	Spectrogram 1	1	20150410-130048_AWI229-11_SV1057.wav	20150410-130048_AWI229-11_SV1057.wav	31043.784986438	31055.084986439	84279	87138	2015/4/10  13:06:21.785	11.3	15.4	27.8	10.5	16.8	26.7	Bm.Ant-Z
9	Spectrogram 1	1	20150410-130048_AWI229-11_SV1057.wav	20150410-130048_AWI229-11_SV1057.wav	31137.637987735	31146.726987735	108023	110323	2015/4/10  13:07:54.638	9.089	14.7	28.6	7.4	16.8	26.7	Bm.Ant-Z
10	Spectrogram 1	1	20150414-100537_AWI229-11_SV1057.wav	20150414-100537_AWI229-11_SV1057.wav	31945.972905157	31958.008905157	7834	10879	2015/4/14  10:06:07.973	12.036	14.5	28.2	10.7	15.8	26.7	Bm.Ant-Z
11	Spectrogram 1	1	20150416-080859_AWI229-11_SV1057.wav	20150416-080859_AWI229-11_SV1057.wav	33095.72387259	33107.75987259	146372	149417	2015/4/16  8:18:37.724	12.036	14.3	28.7	11.0	16.8	26.7	Bm.Ant-Z
12	Spectrogram 1	1	20150427-200044_AWI229-11_SV1057.wav	20150427-200044_AWI229-11_SV1057.wav	36506.262627488	36521.492627488	95144	98998	2015/4/27  20:07:00.263	15.23	14.6	27.5	13.7	16.8	26.7	Bm.Ant-Z
13	Spectrogram 1	1	20150429-180226_AWI229-11_SV1057.wav	20150429-180226_AWI229-11_SV1057.wav	36881.790586542	36890.633586542	37804	40041	2015/4/29  18:04:55.791	8.843	14.4	28.3	7.8	16.8	26.7	Bm.Ant-Z
14	Spectrogram 1	1	20150509-090433_AWI229-11_SV1057.wav	20150509-090433_AWI229-11_SV1057.wav	40186.478394799	40196.304394799	112145	114631	2015/5/9  9:11:56.478	9.826	15.3	28.7	8.7	16.8	26.7	Bm.Ant-Z
15	Spectrogram 1	1	20150511-070654_AWI229-11_SV1057.wav	20150511-070654_AWI229-11_SV1057.wav	40747.217348856	40760.482348856	101663	105019	2015/5/11  7:13:35.217	13.265	16.2	27.8	11.4	16.8	25.7	Bm.Ant-Z
16	Spectrogram 1	1	20150511-070654_AWI229-11_SV1057.wav	20150511-070654_AWI229-11_SV1057.wav	40775.957345856	40790.081345856	108934	112508	2015/5/11  7:14:04.957	14.124	15.4	27.8	12.3	15.8	26.7	Bm.Ant-Z
17	Spectrogram 1	1	20150518-230407_AWI229-11_SV1057.wav	20150518-230407_AWI229-11_SV1057.wav	42928.177192766	42939.599192766	44050	46940	2015/5/18  23:07:01.177	11.422	14.6	28.5	10.5	15.8	26.7	Bm.Ant-Z
18	Spectrogram 1	1	20150626-090705_AWI229-11_SV1057.wav	20150626-090705_AWI229-11_SV1057.wav	55020.031409999	55031.331409999	56309	59168	2015/6/26  9:10:47.031	11.3	16.7	27.3	9.9	16.8	26.7	Bm.Ant-Z
19	Spectrogram 1	1	20150704-020904_AWI229-11_SV1057.wav	20150704-020904_AWI229-11_SV1057.wav	57214.218249154	57228.834249154	2042	5740	2015/7/4  2:09:12.218	14.616	16.0	27.2	13.1	16.8	26.7	Bm.Ant-Z
20	Spectrogram 1	1	20150704-020904_AWI229-11_SV1057.wav	20150704-020904_AWI229-11_SV1057.wav	57378.733248991	57393.472248991	43665	47393	2015/7/4  2:11:56.733	14.739	15.7	28.0	13.2	16.8	26.7	Bm.Ant-Z
21	Spectrogram 1	1	20150715-140947_AWI229-11_SV1057.wav	20150715-140947_AWI229-11_SV1057.wav	61134.439011185	61146.844011185	79764	82903	2015/7/15  14:15:02.439	12.405	15.8	27.2	11.4	16.8	26.7	Bm.Ant-Z
22	Spectrogram 1	1	20150719-110617_AWI229-11_SV1057.wav	20150719-110617_AWI229-11_SV1057.wav	62094.848923499	62108.850923499	18050	21592	2015/7/19  11:07:28.849	14.002	15.5	28.7	12.2	16.8	26.7	Bm.Ant-Z
23	Spectrogram 1	1	20150727-030323_AWI229-11_SV1057.wav	20150727-030323_AWI229-11_SV1057.wav	64646.038774953	64661.391774953	54105	57989	2015/7/27  3:06:56.039	15.353	15.6	27.8	13.2	16.8	26.7	Bm.Ant-Z
24	Spectrogram 1	1	20150807-160918_AWI229-11_SV1057.wav	20150807-160918_AWI229-11_SV1057.wav	68469.741533044	68478.584533044	107408	109645	2015/8/7  16:16:22.742	8.843	14.9	27.9	7.5	16.8	26.7	Bm.Ant-Z
25	Spectrogram 1	1	20150909-070353_AWI229-11_SV1057.wav	20150909-070353_AWI229-11_SV1057.wav	78611.454863567	78621.402863567	83328	85845	2015/9/9  7:09:22.455	9.948	14.7	27.8	8.9	15.8	26.7	Bm.Ant-Z
26	Spectrogram 1	1	20150918-220400_AWI229-11_SV1057.wav	20150918-220400_AWI229-11_SV1057.wav	81407.449665562	81422.556665562	28970	32792	2015/9/18  22:05:54.450	15.107	15.4	28.6	13.1	16.8	26.7	Bm.Ant-Z
27	Spectrogram 1	1	20151027-080850_AWI229-11_SV1057.wav	20151027-080850_AWI229-11_SV1057.wav	93564.7908742	93577.2638742	57797	60953	2015/10/27  8:12:38.791	12.473	15.4	28.1	11.3	16.8	26.7	Bm.Ant-Z
28	Spectrogram 1	1	20151027-080850_AWI229-11_SV1057.wav	20151027-080850_AWI229-11_SV1057.wav	93632.392881291	93644.750881291	74900	78027	2015/10/27  8:13:46.393	12.358	15.4	28.1	11.0	15.8	26.7	Bm.Ant-Z
29	Spectrogram 1	1	20151204-180147_AWI229-11_SV1057.wav	20151204-180147_AWI229-11_SV1057.wav	105556.25908393	105567.48308393	44659	47498	2015/12/4  18:04:43.259	11.224	15.0	27.7	9.5	15.8	26.7	Bm.Ant-Z
