Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	165.858997777	168.929997777	41962	42739	2015/1/2  14:12:29.859	3.071	54.7	67.5	2.6	55.3	67.2	Bm.D
2	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	191.510991007	195.440991007	48452	49447	2015/1/2  14:12:55.511	3.93	38.9	73.9	3.3	40.5	71.2	Bm.D
3	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	245.970995352	248.304995352	62231	62821	2015/1/2  14:13:49.971	2.334	42.7	85.5	2.1	45.5	76.1	Bm.D
4	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	310.311000422	315.592000422	78509	79845	2015/1/2  14:14:54.311	5.281	39.7	82.1	4.7	42.5	79.1	Bm.D
5	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	378.543993831	381.614993831	95772	96549	2015/1/2  14:16:02.544	3.071	33.1	79.1	2.4	39.5	78.1	Bm.D
6	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	380.140997842	383.088997842	96176	96922	2015/1/2  14:16:04.141	2.948	35.0	81.0	2.4	38.5	76.1	Bm.D
7	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	406.932996958	408.897996958	102954	103451	2015/1/2  14:16:30.933	1.965	41.7	77.1	1.8	43.5	70.2	Bm.D
8	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	429.579997435	433.264997435	108684	109616	2015/1/2  14:16:53.580	3.685	35.0	76.2	3.2	36.6	72.1	Bm.D
9	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	434.75600034	437.45800034	109993	110677	2015/1/2  14:16:58.756	2.702	39.3	68.5	2.4	40.5	66.2	Bm.D
10	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	530.84599413	534.53099413	134304	135236	2015/1/2  14:18:34.846	3.685	46.9	82.4	3.2	49.4	77.1	Bm.D
11	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	692.667960858	695.123960858	22896	23517	2015/1/4  12:03:18.668	2.456	51.2	86.1	2.1	52.4	82.0	Bm.D
12	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	1047.250960132	1052.040960132	112605	113817	2015/1/4  12:09:13.251	4.79	53.0	83.5	3.8	55.3	77.1	Bm.D
13	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	1100.677958613	1106.941958613	126123	127707	2015/1/4  12:10:06.678	6.264	58.3	80.9	5.7	58.3	79.1	Bm.D
14	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	1163.851967191	1166.676967191	142106	142820	2015/1/4  12:11:09.852	2.825	48.2	73.7	2.3	49.4	71.2	Bm.D
15	Spectrogram 1	1	20150108-090626_AWI229-11_SV1057.wav	20150108-090626_AWI229-11_SV1057.wav	1899.62488632	1903.30988632	23558	24490	2015/1/8  9:07:59.625	3.685	53.8	77.9	3.2	55.3	75.1	Bm.D
16	Spectrogram 1	1	20150114-030106_AWI229-11_SV1057.wav	20150114-030106_AWI229-11_SV1057.wav	3784.109762224	3785.828762224	43286	43721	2015/1/14  3:03:57.110	1.719	45.5	103.5	1.2	48.4	84.0	Bm.D
17	Spectrogram 1	1	20150114-030106_AWI229-11_SV1057.wav	20150114-030106_AWI229-11_SV1057.wav	3983.402756887	3985.244756887	93707	94173	2015/1/14  3:07:16.403	1.842	41.2	95.7	1.1	45.5	84.0	Bm.D
18	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4591.290731005	4595.097731005	95154	96117	2015/1/16  1:09:57.291	3.807	43.6	70.3	3.5	45.5	69.2	Bm.D
19	Spectrogram 1	1	20150117-230552_AWI229-11_SV1057.wav	20150117-230552_AWI229-11_SV1057.wav	4877.283689884	4879.617689884	15161	15751	2015/1/17  23:06:51.284	2.334	46.3	67.6	2.0	47.4	66.2	Bm.D
20	Spectrogram 1	1	20150117-230552_AWI229-11_SV1057.wav	20150117-230552_AWI229-11_SV1057.wav	4943.147685883	4946.463685883	31824	32663	2015/1/17  23:07:57.148	3.316	54.2	91.7	2.7	56.3	86.0	Bm.D
21	Spectrogram 1	1	20150131-100110_AWI229-11_SV1057.wav	20150131-100110_AWI229-11_SV1057.wav	9375.711406176	9380.624406176	86820	88063	2015/1/31  10:06:53.711	4.913	50.9	78.9	4.4	52.4	76.1	Bm.D
22	Spectrogram 1	1	20150202-080301_AWI229-11_SV1057.wav	20150202-080301_AWI229-11_SV1057.wav	9745.246368165	9747.457368165	27963	28523	2015/2/2  8:04:51.246	2.211	59.7	80.6	1.8	60.3	79.1	Bm.D
23	Spectrogram 1	1	20150202-080301_AWI229-11_SV1057.wav	20150202-080301_AWI229-11_SV1057.wav	9845.504373948	9851.277373948	53329	54789	2015/2/2  8:06:31.504	5.773	39.5	61.3	5.0	40.5	60.3	Bm.D
24	Spectrogram 1	1	20150219-150317_AWI229-11_SV1057.wav	20150219-150317_AWI229-11_SV1057.wav	15308.990015967	15311.569015967	64449	65102	2015/2/19  15:07:31.990	2.579	35.2	62.4	2.3	35.6	60.3	Bm.D
25	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17588.33785971	17590.91685971	31728	32381	2015/2/27  7:04:13.338	2.579	53.3	75.9	2.3	54.4	74.1	Bm.D
26	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17614.744857897	17616.832857897	38409	38938	2015/2/27  7:04:39.745	2.088	54.4	81.5	1.8	56.3	80.1	Bm.D
27	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17645.817853709	17648.888853709	46271	47048	2015/2/27  7:05:10.818	3.071	50.7	83.7	2.9	51.4	79.1	Bm.D
28	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17675.707854529	17678.532854529	53833	54548	2015/2/27  7:05:40.708	2.825	47.0	67.8	2.4	49.4	66.2	Bm.D
29	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17733.679859539	17736.381859539	68500	69184	2015/2/27  7:06:38.680	2.702	47.0	70.7	2.3	48.4	69.2	Bm.D
30	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17779.015853827	17782.945853827	79970	80964	2015/2/27  7:07:24.016	3.93	49.6	75.6	3.2	51.4	72.1	Bm.D
31	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17783.208860655	17786.770860655	81031	81932	2015/2/27  7:07:28.209	3.562	52.2	74.4	3.2	53.4	72.1	Bm.D
32	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17789.349855309	17791.683855308	82585	83175	2015/2/27  7:07:34.350	2.334	58.1	78.1	2.0	59.3	77.1	Bm.D
33	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17799.298855861	17801.632855861	85102	85692	2015/2/27  7:07:44.299	2.334	42.6	67.4	2.1	44.5	65.2	Bm.D
34	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17820.037860249	17822.739860249	90349	91032	2015/2/27  7:08:05.038	2.702	47.8	68.1	2.4	49.4	66.2	Bm.D
35	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17824.476852466	17827.669852466	91472	92279	2015/2/27  7:08:09.477	3.193	43.3	68.5	2.1	45.5	66.2	Bm.D
36	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17846.461856936	17848.426856936	97034	97531	2015/2/27  7:08:31.462	1.965	51.5	66.7	1.7	52.4	65.2	Bm.D
37	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17942.797856231	17944.885856231	121407	121935	2015/2/27  7:10:07.798	2.088	38.5	71.1	2.0	39.5	68.2	Bm.D
38	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17961.711855431	17966.010855431	126192	127280	2015/2/27  7:10:26.712	4.299	48.9	74.8	3.8	50.4	72.1	Bm.D
39	Spectrogram 1	1	20150227-070208_AWI229-11_SV1057.wav	20150227-070208_AWI229-11_SV1057.wav	17978.661854019	17983.083854018	130480	131599	2015/2/27  7:10:43.662	4.422	43.7	72.6	3.9	45.5	70.2	Bm.D
40	Spectrogram 1	1	20150301-050558_AWI229-11_SV1057.wav	20150301-050558_AWI229-11_SV1057.wav	18128.87881429	18131.94981429	16136	16913	2015/3/1  5:07:01.879	3.071	40.0	65.7	2.7	41.5	63.3	Bm.D
41	Spectrogram 1	1	20150307-000138_AWI229-11_SV1057.wav	20150307-000138_AWI229-11_SV1057.wav	20360.414694514	20363.239694514	123668	124383	2015/3/7  0:09:46.415	2.825	68.4	84.1	2.0	69.2	82.0	Bm.D
42	Spectrogram 1	1	20150307-000138_AWI229-11_SV1057.wav	20150307-000138_AWI229-11_SV1057.wav	20373.310691755	20375.889691755	126931	127583	2015/3/7  0:09:59.311	2.579	60.6	78.9	2.3	61.3	77.1	Bm.D
43	Spectrogram 1	1	20150308-220358_AWI229-11_SV1057.wav	20150308-220358_AWI229-11_SV1057.wav	20827.99665034	20831.55865034	89617	90518	2015/3/8  22:09:52.997	3.562	54.1	84.1	2.7	55.3	80.1	Bm.D
44	Spectrogram 1	1	20150308-220358_AWI229-11_SV1057.wav	20150308-220358_AWI229-11_SV1057.wav	20871.966649221	20875.037649221	100742	101519	2015/3/8  22:10:36.967	3.071	52.2	84.5	2.4	55.3	81.0	Bm.D
45	Spectrogram 1	1	20150425-220810_AWI229-11_SV1057.wav	20150425-220810_AWI229-11_SV1057.wav	35867.883660033	35873.901660033	85984	87506	2015/4/25  22:13:49.884	6.018	53.9	82.0	5.3	55.3	80.1	Bm.D
46	Spectrogram 1	1	20150520-210544_AWI229-11_SV1057.wav	20150520-210544_AWI229-11_SV1057.wav	43697.691145981	43702.481145981	86388	87600	2015/5/20  21:11:25.691	4.79	49.6	85.3	4.4	50.4	83.0	Bm.D
47	Spectrogram 1	1	20150520-210544_AWI229-11_SV1057.wav	20150520-210544_AWI229-11_SV1057.wav	43701.990147004	43706.166147004	87476	88532	2015/5/20  21:11:29.990	4.176	63.0	103.8	3.6	65.2	99.8	Bm.D
48	Spectrogram 1	1	20150727-030323_AWI229-11_SV1057.wav	20150727-030323_AWI229-11_SV1057.wav	64480.133770586	64483.326770586	12131	12939	2015/7/27  3:04:10.134	3.193	71.6	95.6	2.7	72.1	93.9	Bm.D
49	Spectrogram 1	1	20150727-030323_AWI229-11_SV1057.wav	20150727-030323_AWI229-11_SV1057.wav	64588.866775663	64593.533775663	39640	40821	2015/7/27  3:05:59.867	4.667	54.1	81.9	4.4	55.3	80.1	Bm.D
50	Spectrogram 1	1	20151220-030919_AWI229-11_SV1057.wav	20151220-030919_AWI229-11_SV1057.wav	111366.612729854	111370.693729854	143537	144570	2015/12/20  3:18:46.613	4.081	52.7	87.0	3.6	54.4	84.0	Bm.D
51	Spectrogram 1	1	20151223-230334_AWI229-11_SV1057.wav	20151223-230334_AWI229-11_SV1057.wav	111401.551689369	111404.245689369	28	709	2015/12/23  23:03:34.552	2.694	42.3	85.5	2.4	44.5	78.1	Bm.D
52	Spectrogram 1	1	20151223-230334_AWI229-11_SV1057.wav	20151223-230334_AWI229-11_SV1057.wav	111522.236691576	111524.930691576	30561	31242	2015/12/23  23:05:34.237	2.694	45.3	77.3	2.3	47.4	74.1	Bm.D
53	Spectrogram 1	1	20151223-230334_AWI229-11_SV1057.wav	20151223-230334_AWI229-11_SV1057.wav	111565.657689211	111569.175689211	41546	42436	2015/12/23  23:06:18.658	3.518	44.5	83.3	3.0	46.4	78.1	Bm.D
54	Spectrogram 1	1	20151223-230334_AWI229-11_SV1057.wav	20151223-230334_AWI229-11_SV1057.wav	111884.95068678	111886.90468678	122328	122822	2015/12/23  23:11:37.951	1.954	34.1	66.5	1.7	36.6	64.2	Bm.D
55	Spectrogram 1	1	20151223-230334_AWI229-11_SV1057.wav	20151223-230334_AWI229-11_SV1057.wav	111922.083687943	111924.428687943	131722	132315	2015/12/23  23:12:14.084	2.345	49.4	70.3	1.8	50.4	67.2	Bm.D
56	Spectrogram 1	1	20151223-230334_AWI229-11_SV1057.wav	20151223-230334_AWI229-11_SV1057.wav	111955.071690467	111958.589690467	140068	140958	2015/12/23  23:12:47.072	3.518	34.1	69.5	3.3	35.6	67.2	Bm.D
57	Spectrogram 1	1	20151223-230334_AWI229-11_SV1057.wav	20151223-230334_AWI229-11_SV1057.wav	111970.683685851	111973.321685851	144018	144685	2015/12/23  23:13:03.684	2.638	42.7	75.1	2.3	45.5	71.2	Bm.D
58	Spectrogram 1	1	20151225-210529_AWI229-11_SV1057.wav	20151225-210529_AWI229-11_SV1057.wav	112207.703655484	112211.465655484	51635	52587	2015/12/25  21:08:53.704	3.762	62.1	87.2	3.2	62.3	85.0	Bm.D
59	Spectrogram 1	1	20151225-210529_AWI229-11_SV1057.wav	20151225-210529_AWI229-11_SV1057.wav	112250.790647688	112255.324647688	62536	63683	2015/12/25  21:09:36.791	4.534	53.9	80.5	3.9	55.3	76.1	Bm.D
60	Spectrogram 1	1	20151225-210529_AWI229-11_SV1057.wav	20151225-210529_AWI229-11_SV1057.wav	112318.251647698	112320.662647698	79604	80214	2015/12/25  21:10:43.252	2.411	53.9	107.1	2.0	57.3	100.8	Bm.D
61	Spectrogram 1	1	20151225-210529_AWI229-11_SV1057.wav	20151225-210529_AWI229-11_SV1057.wav	112319.601650434	112321.241650434	79945	80360	2015/12/25  21:10:44.602	1.64	75.0	103.6	1.4	75.1	101.8	Bm.D
62	Spectrogram 1	1	20151225-210529_AWI229-11_SV1057.wav	20151225-210529_AWI229-11_SV1057.wav	112583.111647415	112585.040647415	146613	147101	2015/12/25  21:15:08.112	1.929	55.4	92.1	1.7	57.3	83.0	Bm.D
63	Spectrogram 1	1	20151225-210529_AWI229-11_SV1057.wav	20151225-210529_AWI229-11_SV1057.wav	112599.123650687	112600.473650687	150664	151006	2015/12/25  21:15:24.124	1.35	62.1	87.9	0.9	65.2	86.0	Bm.D
64	Spectrogram 1	1	20151229-170058_AWI229-11_SV1057.wav	20151229-170058_AWI229-11_SV1057.wav	113579.258571682	113583.116571682	93940	94916	2015/12/29  17:07:09.259	3.858	42.2	72.8	3.2	43.5	72.1	Bm.D
65	Spectrogram 1	1	20151229-170058_AWI229-11_SV1057.wav	20151229-170058_AWI229-11_SV1057.wav	113595.464569075	113597.586569075	98041	98577	2015/12/29  17:07:25.465	2.122	41.4	72.4	1.5	44.5	68.2	Bm.D
66	Spectrogram 1	1	20151229-170058_AWI229-11_SV1057.wav	20151229-170058_AWI229-11_SV1057.wav	113736.526567979	113739.613567979	133729	134510	2015/12/29  17:09:46.527	3.087	38.3	73.2	2.4	39.5	71.2	Bm.D
