Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150310-200526_AWI229-11_SV1057.wav	20150310-200526_AWI229-11_SV1057.wav	21083.697619028	21084.557619028	1960	2178	2015/3/10  20:05:33.698	0.86	47.3	76.8	0.8	49.4	75.1	Fin.DS
2	Spectrogram 1	1	20151016-170658_AWI229-11_SV1057.wav	20151016-170658_AWI229-11_SV1057.wav	89741.058112249	89742.163112249	4487	4766	2015/10/16  17:07:15.058	1.105	50.3	117.4	0.5	61.3	102.8	Fin.DS
3	Spectrogram 1	1	20150310-200526_AWI229-11_SV1057.wav	20150310-200526_AWI229-11_SV1057.wav	21094.873619563	21095.978619563	4788	5068	2015/3/10  20:05:44.874	1.105	36.2	59.8	0.9	37.6	59.3	Fin.DS
4	Spectrogram 1	1	20150125-150511_AWI229-11_SV1057.wav	20150125-150511_AWI229-11_SV1057.wav	7261.135523219	7262.240523219	8879	9159	2015/1/25  15:05:46.136	1.105	41.5	75.5	0.6	45.5	70.2	Fin.DS
5	Spectrogram 1	1	20150310-200526_AWI229-11_SV1057.wav	20150310-200526_AWI229-11_SV1057.wav	21125.193622074	21126.421622074	12459	12770	2015/3/10  20:06:15.194	1.228	46.9	83.4	1.1	51.4	79.1	Fin.DS
6	Spectrogram 1	1	20150607-040624_AWI229-11_SV1057.wav	20150607-040624_AWI229-11_SV1057.wav	48825.476798353	48826.704798353	12577	12887	2015/6/7  4:07:13.477	1.228	69.2	98.3	1.1	72.1	96.9	Fin.DS
7	Spectrogram 1	1	20151016-170658_AWI229-11_SV1057.wav	20151016-170658_AWI229-11_SV1057.wav	89777.536107913	89778.641107913	13716	13995	2015/10/16  17:07:52.536	1.105	55.1	95.6	0.9	63.3	91.9	Fin.DS
8	Spectrogram 1	1	20150622-130407_AWI229-11_SV1057.wav	20150622-130407_AWI229-11_SV1057.wav	53651.93847462	53653.04347462	14879	15159	2015/6/22  13:05:05.938	1.105	47.7	85.2	0.9	48.4	81.0	Fin.DS
9	Spectrogram 1	1	20150204-060505_AWI229-11_SV1057.wav	20150204-060505_AWI229-11_SV1057.wav	10305.417330936	10306.522330936	17338	17617	2015/2/4  6:06:13.417	1.105	51.7	83.0	0.8	53.4	77.1	Fin.DS
10	Spectrogram 1	1	20151016-170658_AWI229-11_SV1057.wav	20151016-170658_AWI229-11_SV1057.wav	89806.276114971	89807.38111497	20987	21266	2015/10/16  17:08:20.276	1.105	98.5	119.3	0.8	99.8	116.6	Fin.DS
11	Spectrogram 1	1	20151016-170658_AWI229-11_SV1057.wav	20151016-170658_AWI229-11_SV1057.wav	89810.698108688	89812.049108688	22106	22447	2015/10/16  17:08:25.698	1.351	65.7	108.7	0.9	70.2	103.8	Fin.DS
12	Spectrogram 1	1	20150314-161055_AWI229-11_SV1057.wav	20150314-161055_AWI229-11_SV1057.wav	22373.136535245	22374.364535245	23491	23801	2015/3/14  16:12:27.137	1.228	40.4	73.6	1.1	42.5	66.2	Fin.DS
13	Spectrogram 1	1	20150310-200526_AWI229-11_SV1057.wav	20150310-200526_AWI229-11_SV1057.wav	21177.514621726	21178.988621726	25696	26069	2015/3/10  20:07:07.515	1.474	31.0	69.8	1.1	34.6	65.2	Fin.DS
14	Spectrogram 1	1	20151016-170658_AWI229-11_SV1057.wav	20151016-170658_AWI229-11_SV1057.wav	89845.192107871	89846.606107871	30833	31190	2015/10/16  17:08:59.192	1.414	75.1	118.2	0.6	82.0	108.7	Fin.DS
15	Spectrogram 1	1	20150310-200526_AWI229-11_SV1057.wav	20150310-200526_AWI229-11_SV1057.wav	21200.900624431	21202.251624431	31613	31955	2015/3/10  20:07:30.901	1.351	34.7	67.9	1.1	37.6	64.2	Fin.DS
