Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Notes	Tags
1	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	291.579991579	293.176991579	73770	74174	2015/1/2  14:14:35.580	1.597	35.9	94.4	1.4	38.5	82.0		Unidentified.calls
2	Spectrogram 1	1	20150102-140944_AWI229-11_SV1057.wav	20150102-140944_AWI229-11_SV1057.wav	328.064997867	332.854997867	83000	84212	2015/1/2  14:15:12.065	4.79	47.0	68.5	3.9	48.4	66.2		Unidentified.calls
3	Spectrogram 1	1	20150104-120148_AWI229-11_SV1057.wav	20150104-120148_AWI229-11_SV1057.wav	706.072967609	711.967967609	26287	27779	2015/1/4  12:03:31.073	5.895	53.4	79.7	4.8	54.4	78.1		Unidentified.calls
4	Spectrogram 1	1	20150108-090626_AWI229-11_SV1057.wav	20150108-090626_AWI229-11_SV1057.wav	2158.878881441	2160.475881441	89149	89553	2015/1/8  9:12:18.879	1.597	48.5	112.5	1.4	50.4	101.8		Unidentified.calls
5	Spectrogram 1	1	20150108-090626_AWI229-11_SV1057.wav	20150108-090626_AWI229-11_SV1057.wav	2203.093879999	2204.690879999	100336	100740	2015/1/8  9:13:02.094	1.597	61.7	87.6	1.4	63.3	85.0		Unidentified.calls
6	Spectrogram 1	1	20150108-090626_AWI229-11_SV1057.wav	20150108-090626_AWI229-11_SV1057.wav	2284.462881417	2286.427881417	120922	121419	2015/1/8  9:14:23.463	1.965	65.8	114.7	1.7	66.2	108.7		Unidentified.calls
7	Spectrogram 1	1	20150112-050943_AWI229-11_SV1057.wav	20150112-050943_AWI229-11_SV1057.wav	3387.228800904	3389.193800904	95224	95721	2015/1/12  5:15:59.229	1.965	30.1	108.3	1.7	31.6	97.8		Unidentified.calls
8	Spectrogram 1	1	20150112-050943_AWI229-11_SV1057.wav	20150112-050943_AWI229-11_SV1057.wav	3407.862806868	3409.950806868	100444	100973	2015/1/12  5:16:20.863	2.088	23.7	108.0	1.7	24.7	97.8		Unidentified.calls
9	Spectrogram 1	1	20150112-050943_AWI229-11_SV1057.wav	20150112-050943_AWI229-11_SV1057.wav	3583.836807114	3586.784807114	144966	145712	2015/1/12  5:19:15.837	2.948	43.3	66.2	2.6	45.5	64.2		Unidentified.calls
10	Spectrogram 1	1	20150114-030106_AWI229-11_SV1057.wav	20150114-030106_AWI229-11_SV1057.wav	3669.105759176	3672.176759176	14190	14967	2015/1/14  3:02:02.106	3.071	58.5	74.9	2.7	60.3	74.1		Unidentified.calls
11	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4220.021732919	4221.740732919	1222	1657	2015/1/16  1:03:45.022	1.719	52.7	97.4	1.5	54.4	90.9		Unidentified.calls
12	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4240.515727572	4242.112727572	6407	6812	2015/1/16  1:04:06.516	1.597	4.9	83.5	1.4	4.9	71.2		Unidentified.calls
13	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4286.818725265	4291.608725265	18122	19334	2015/1/16  1:04:52.819	4.79	51.2	109.5	3.9	53.4	97.8		Unidentified.calls
14	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4304.627731465	4307.698731465	22628	23405	2015/1/16  1:05:10.628	3.071	57.9	114.4	2.7	59.3	103.8		Unidentified.calls
15	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4680.876726679	4682.595726679	117819	118254	2015/1/16  1:11:26.877	1.719	94.0	115.9	1.1	94.9	111.7		Unidentified.calls
16	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4686.894728638	4688.859728638	119341	119839	2015/1/16  1:11:32.895	1.965	36.1	116.6	1.5	41.5	103.8		Unidentified.calls
17	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4696.580725185	4697.808725185	121792	122103	2015/1/16  1:11:42.581	1.228	39.9	73.7	1.1	43.5	69.2		Unidentified.calls
18	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4744.989726342	4746.954726342	134039	134537	2015/1/16  1:12:30.990	1.965	76.7	114.7	1.4	80.1	108.7		Unidentified.calls
19	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4770.948728569	4772.422728569	140607	140980	2015/1/16  1:12:56.949	1.474	65.8	116.6	1.1	67.2	105.7		Unidentified.calls
20	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4771.790727623	4777.317727623	140820	142218	2015/1/16  1:12:57.791	5.527	5.3	22.6	4.8	5.9	20.8		Unidentified.calls
21	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4808.163724862	4810.865724862	150022	150706	2015/1/16  1:13:33.164	2.702	60.6	115.9	2.4	63.3	104.8		Unidentified.calls
22	Spectrogram 1	1	20150116-010341_AWI229-11_SV1057.wav	20150116-010341_AWI229-11_SV1057.wav	4811.83072368	4814.53272368	150950	151634	2015/1/16  1:13:37.831	2.702	59.8	116.6	2.1	61.3	104.8		Unidentified.calls
23	Spectrogram 1	1	20150119-210816_AWI229-11_SV1057.wav	20150119-210816_AWI229-11_SV1057.wav	5433.729647714	5435.080647714	3593	3934	2015/1/19  21:08:30.730	1.351	22.6	65.8	1.2	23.7	59.3		Unidentified.calls
24	Spectrogram 1	1	20150119-210816_AWI229-11_SV1057.wav	20150119-210816_AWI229-11_SV1057.wav	5446.503648031	5448.100648031	6824	7228	2015/1/19  21:08:42.504	1.597	36.9	72.2	1.2	39.5	69.2		Unidentified.calls
25	Spectrogram 1	1	20150119-210816_AWI229-11_SV1057.wav	20150119-210816_AWI229-11_SV1057.wav	5655.387648809	5656.615648809	59672	59983	2015/1/19  21:12:11.388	1.228	79.0	112.9	0.6	84.0	106.7		Unidentified.calls
