Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86385.474	86391.826	13432	19784	2014/3/23  20:00:13.474	6.352	24.1	27.7	5.9	24.4	27.3	Bm.Ant-A
2	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86401.486	86406.978	29444	34936	2014/3/23  20:00:29.486	5.492	23.6	28.2	4.3	24.4	27.3	Bm.Ant-A
3	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86430.467	86438.871	58425	66829	2014/3/23  20:00:58.467	8.404	23.8	28.5	7.5	24.4	28.3	Bm.Ant-A
4	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86454.288	86457.927	82246	85885	2014/3/23  20:01:22.288	3.639	23.8	27.7	2.9	24.4	27.3	Bm.Ant-A
5	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86463.352	86472.285	91310	100243	2014/3/23  20:01:31.352	8.933	22.8	28.0	7.7	23.4	27.3	Bm.Ant-A
6	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86547.069	86551.966	175027	179924	2014/3/23  20:02:55.069	4.897	23.3	27.7	3.5	23.4	27.3	Bm.Ant-A
7	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86613.119	86621.589	241077	249547	2014/3/23  20:04:01.119	8.47	22.8	27.2	7.7	23.4	26.4	Bm.Ant-A
8	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86625.426	86634.822	253384	262780	2014/3/23  20:04:13.426	9.396	23.8	28.0	8.8	24.4	27.3	Bm.Ant-A
9	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86640.049	86647.725	268007	275683	2014/3/23  20:04:28.049	7.676	23.8	26.4	6.3	24.4	26.4	Bm.Ant-A
10	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86653.878	86657.98	281836	285938	2014/3/23  20:04:41.878	4.102	23.8	27.2	3.2	24.4	26.4	Bm.Ant-A
11	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86665.391	86669.03	293349	296988	2014/3/23  20:04:53.391	3.639	24.3	27.4	3.2	24.4	27.3	Bm.Ant-A
12	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86669.957	86675.052	297915	303010	2014/3/23  20:04:57.957	5.095	24.1	26.9	4.3	24.4	26.4	Bm.Ant-A
13	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86682.727	86688.153	310685	316111	2014/3/23  20:05:10.727	5.426	23.6	28.0	4.5	24.4	27.3	Bm.Ant-A
14	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86720.59	86724.229	348548	352187	2014/3/23  20:05:48.590	3.639	23.8	27.4	2.8	24.4	27.3	Bm.Ant-A
15	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86820.584	86826.473	448542	454431	2014/3/23  20:07:28.584	5.889	23.3	26.9	5.2	23.4	26.4	Bm.Ant-A
16	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86833.552	86839.905	461510	467863	2014/3/23  20:07:41.552	6.353	23.8	28.0	5.7	24.4	27.3	Bm.Ant-A
17	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86857.968	86865.048	485926	493006	2014/3/23  20:08:05.968	7.08	23.8	27.4	6.0	24.4	27.3	Bm.Ant-A
18	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86883.641	86888.67	511599	516628	2014/3/23  20:08:31.641	5.029	23.3	27.7	4.2	23.4	27.3	Bm.Ant-A
19	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86896.279	86902.763	524237	530721	2014/3/23  20:08:44.279	6.484	22.8	27.7	5.7	23.4	27.3	Bm.Ant-A
20	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86955.514	86964.049	583472	592007	2014/3/23  20:09:43.514	8.535	22.8	28.2	7.5	23.4	27.3	Bm.Ant-A
21	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86969.74	86973.842	597698	601800	2014/3/23  20:09:57.740	4.102	24.1	28.0	3.2	25.4	27.3	Bm.Ant-A
22	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	86985.421	86990.516	613379	618474	2014/3/23  20:10:13.421	5.095	23.0	27.7	3.8	23.4	27.3	Bm.Ant-A
23	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87011.359	87014.998	639317	642956	2014/3/23  20:10:39.359	3.639	23.3	26.7	3.2	23.4	26.4	Bm.Ant-A
24	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87022.623	87025.799	650581	653757	2014/3/23  20:10:50.623	3.176	24.6	28.0	2.5	25.4	27.3	Bm.Ant-A
25	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87036.915	87040.951	664873	668909	2014/3/23  20:11:04.915	4.036	24.1	27.4	3.4	24.4	27.3	Bm.Ant-A
26	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87043.597	87049.023	671555	676981	2014/3/23  20:11:11.597	5.426	24.1	27.4	4.8	24.4	27.3	Bm.Ant-A
27	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87053.258	87056.103	681216	684061	2014/3/23  20:11:21.258	2.845	23.8	27.2	2.3	24.4	26.4	Bm.Ant-A
28	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87061.132	87063.249	689090	691207	2014/3/23  20:11:29.132	2.117	23.8	26.9	1.4	24.4	26.4	Bm.Ant-A
29	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87065.499	87068.344	693457	696302	2014/3/23  20:11:33.499	2.845	24.1	27.2	2.3	24.4	26.4	Bm.Ant-A
30	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87069.138	87074.167	697096	702125	2014/3/23  20:11:37.138	5.029	24.8	28.0	4.8	25.4	27.3	Bm.Ant-A
31	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87078.864	87086.804	706822	714762	2014/3/23  20:11:46.864	7.94	23.3	28.0	6.5	23.4	27.3	Bm.Ant-A
32	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87094.281	87103.611	722239	731569	2014/3/23  20:12:02.281	9.33	23.6	27.7	8.5	24.4	27.3	Bm.Ant-A
33	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87106.588	87109.897	734546	737855	2014/3/23  20:12:14.588	3.309	23.6	28.5	2.8	25.4	28.3	Bm.Ant-A
34	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87115.058	87119.226	743016	747184	2014/3/23  20:12:23.058	4.168	23.8	28.0	3.4	24.4	27.3	Bm.Ant-A
35	Spectrogram 1	1	20140323_200000.wav	20140323_200000.wav	87135.982	87139.886	763940	767844	2014/3/23  20:12:43.982	3.904	24.3	27.4	3.5	24.4	27.3	Bm.Ant-A
