Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20140209_110000.wav	20140209_110000.wav	96.273	98.258	96273	98258	2014/2/9  11:01:36.273	1.985	8.8	27.7	1.2	11.7	25.4	unid
2	Spectrogram 1	1	20140209_110000.wav	20140209_110000.wav	756.042	758.093	756042	758093	2014/2/9  11:12:36.042	2.051	12.2	25.9	1.2	14.6	23.4	unid
3	Spectrogram 1	1	20140209_110000.wav	20140209_110000.wav	1114.274	1115.863	1114274	1115863	2014/2/9  11:18:34.274	1.589	9.3	24.8	1.2	11.7	23.4	unid
5	Spectrogram 1	1	20140218_070000.wav	20140218_070000.wav	18344.663	18346.846	354655	356838	2014/2/18  7:05:54.663	2.183	14.2	30.3	1.4	16.6	28.3	unid
6	Spectrogram 1	1	20140221_200000.wav	20140221_200000.wav	27415.935	27418.052	2225923	2228040	2014/2/21  20:37:05.935	2.117	6.7	19.2	1.5	7.8	17.6	unid
7	Spectrogram 1	1	20140221_200000.wav	20140221_200000.wav	27488.189	27490.373	2298177	2300361	2014/2/21  20:38:18.189	2.184	6.7	21.0	1.7	8.8	19.5	unid
8	Spectrogram 1	1	20140221_200000.wav	20140221_200000.wav	27525.523	27527.31	2335511	2337298	2014/2/21  20:38:55.523	1.787	13.7	26.9	1.5	15.6	26.4	unid
9	Spectrogram 1	1	20140221_200000.wav	20140221_200000.wav	27571.112	27573.229	2381100	2383217	2014/2/21  20:39:41.112	2.117	6.2	19.7	1.5	7.8	18.6	unid
11	Spectrogram 1	1	20140225_090000.wav	20140225_090000.wav	32817.126	32818.714	427111	428699	2014/2/25  9:07:07.126	1.588	17.1	25.4	1.2	18.6	24.4	unid
12	Spectrogram 1	1	20140225_090000.wav	20140225_090000.wav	32860.796	32862.847	470781	472832	2014/2/25  9:07:50.796	2.051	17.3	26.7	1.4	18.6	25.4	unid
13	Spectrogram 1	1	20140302_160000.wav	20140302_160000.wav	46013.969	46015.888	2823949	2825868	2014/3/2  16:47:03.969	1.919	15.3	24.8	1.2	17.6	23.4	unid
14	Spectrogram 1	1	20140302_160000.wav	20140302_160000.wav	46445.902	46448.152	3255882	3258132	2014/3/2  16:54:15.902	2.25	15.8	25.1	1.5	17.6	23.4	unid
15	Spectrogram 1	1	20140302_160000.wav	20140302_160000.wav	46530.81	46532.597	3340790	3342577	2014/3/2  16:55:40.810	1.787	14.2	25.4	1.4	15.6	23.4	unid
16	Spectrogram 1	1	20140322_020000.wav	20140322_020000.wav	83719.874	83722.322	947834	950282	2014/3/22  2:15:47.874	2.448	67.5	103.8	1.8	71.3	100.6	unid
17	Spectrogram 1	1	20140322_020000.wav	20140322_020000.wav	85046.855	85048.84	2274815	2276800	2014/3/22  2:37:54.855	1.985	78.4	101.4	1.4	80.1	99.6	unid
21	Spectrogram 1	1	20140911_010000.wav	20140911_010000.wav	435531.572	435535.016	1365	4809	2014/9/11  1:00:01.572	3.444	10.4	20.4	2.8	11.7	19.5	unid
22	Spectrogram 1	1	20140911_010000.wav	20140911_010000.wav	435536.438	435540.031	6231	9824	2014/9/11  1:00:06.438	3.593	9.3	19.7	2.5	12.7	18.6	unid
23	Spectrogram 1	1	20140911_010000.wav	20140911_010000.wav	435542.502	435546.095	12295	15888	2014/9/11  1:00:12.502	3.593	10.4	19.4	2.3	14.6	18.6	unid
