Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	724.029003829	730.839003829	724029	730839	2013/12/25  6:12:04.029	6.81	23.2	27.8	5.4	23.4	27.3	Bm.Ant-A
2	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	2718.735997751	2725.728997751	2718736	2725729	2013/12/25  6:45:18.736	6.993	24.0	27.8	6.0	24.4	27.3	Bm.Ant-A
3	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	2760.312004387	2768.594004387	2760312	2768594	2013/12/25  6:46:00.312	8.282	23.5	27.5	7.1	24.4	27.3	Bm.Ant-A
4	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	7227.234001021	7233.951001021	26033	32750	2013/12/28  22:00:26.234	6.717	23.5	27.8	5.1	25.4	27.3	Bm.Ant-A
5	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	9650.663000653	9656.092000653	2449462	2454891	2013/12/28  22:40:49.663	5.429	23.5	27.8	3.5	25.4	27.3	Bm.Ant-A
6	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	10700.16200536	10708.53600536	3498961	3507335	2013/12/28  22:58:18.162	8.374	22.4	27.3	6.9	22.5	26.4	Bm.Ant-A
7	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	12312.444004832	12320.726004833	1510664	1518946	2013/12/30  13:25:10.444	8.282	23.8	26.9	5.9	24.4	26.4	Bm.Ant-A
8	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	12750.023003339	12754.716003339	1948243	1952936	2013/12/30  13:32:28.023	4.693	26.1	29.5	3.1	26.4	29.3	Bm.Ant-A
9	Spectrogram 1	1	200_2014-01-01_13-00-00.wav	200_2014-01-01_13-00-00.wav	16532.631001607	16536.772001607	2130293	2134434	2014/1/1  13:35:30.631	4.141	23.1	27.7	3.1	23.4	27.3	Bm.Ant-A
10	Spectrogram 1	1	200_2014-01-01_13-00-00.wav	200_2014-01-01_13-00-00.wav	17443.285999805	17449.175999805	3040948	3046838	2014/1/1  13:50:40.286	5.89	22.4	28.8	5.4	23.4	27.3	Bm.Ant-A
11	Spectrogram 1	1	200_2014-01-01_13-00-00.wav	200_2014-01-01_13-00-00.wav	17961.434004069	17967.507004069	3559096	3565169	2014/1/1  13:59:19.434	6.073	23.1	29.5	5.4	23.4	28.3	Bm.Ant-A
12	Spectrogram 1	1	200_2014-01-03_04-00-00.wav	200_2014-01-03_04-00-00.wav	19593.553001155	19601.927001155	1590636	1599010	2014/1/3  4:26:30.553	8.374	23.2	27.8	6.5	23.4	27.3	Bm.Ant-A
13	Spectrogram 1	1	200_2014-01-03_04-00-00.wav	200_2014-01-03_04-00-00.wav	19990.307004844	20001.350004844	1987390	1998433	2014/1/3  4:33:07.307	11.043	23.5	28.1	8.2	24.4	27.3	Bm.Ant-A
14	Spectrogram 1	1	200_2014-01-03_04-00-00.wav	200_2014-01-03_04-00-00.wav	20038.044002001	20043.658002001	2035127	2040741	2014/1/3  4:33:55.044	5.614	23.8	27.5	4.6	24.4	27.3	Bm.Ant-A
15	Spectrogram 1	1	200_2014-01-06_20-00-00.wav	200_2014-01-06_20-00-00.wav	26147.606998362	26154.324998362	943596	950314	2014/1/6  20:15:43.607	6.718	24.4	27.8	5.4	24.4	27.3	Bm.Ant-A
16	Spectrogram 1	1	200_2014-01-06_20-00-00.wav	200_2014-01-06_20-00-00.wav	26948.329993762	26953.114993762	1744319	1749104	2014/1/6  20:29:04.330	4.785	24.1	28.3	3.9	24.4	27.3	Bm.Ant-A
17	Spectrogram 1	1	200_2014-01-06_20-00-00.wav	200_2014-01-06_20-00-00.wav	27206.383995392	27213.285995391	2002373	2009275	2014/1/6  20:33:22.384	6.902	23.2	28.9	5.5	23.4	27.3	Bm.Ant-A
18	Spectrogram 1	1	200_2014-01-06_20-00-00.wav	200_2014-01-06_20-00-00.wav	27263.346993603	27271.536993603	2059336	2067526	2014/1/6  20:34:19.347	8.19	21.0	28.1	7.5	21.5	27.3	Bm.Ant-A
19	Spectrogram 1	1	200_2014-01-06_20-00-00.wav	200_2014-01-06_20-00-00.wav	27952.354994469	27959.255994469	2748344	2755245	2014/1/6  20:45:48.355	6.901	23.2	28.1	5.5	23.4	27.3	Bm.Ant-A
20	Spectrogram 1	1	200_2014-01-08_21-00-00.wav	200_2014-01-08_21-00-00.wav	29364.671995279	29373.321995279	560082	568732	2014/1/8  21:09:20.672	8.65	21.8	29.0	6.8	22.5	28.3	Bm.Ant-A
21	Spectrogram 1	1	200_2014-01-08_21-00-00.wav	200_2014-01-08_21-00-00.wav	29423.923001599	29430.088001599	619333	625498	2014/1/8  21:10:19.923	6.165	23.2	27.8	5.9	23.4	27.3	Bm.Ant-A
22	Spectrogram 1	1	200_2014-01-08_21-00-00.wav	200_2014-01-08_21-00-00.wav	29728.137002301	29734.763002301	923547	930173	2014/1/8  21:15:23.137	6.626	22.9	28.4	5.1	23.4	28.3	Bm.Ant-A
23	Spectrogram 1	1	200_2014-01-08_21-00-00.wav	200_2014-01-08_21-00-00.wav	30246.707997631	30254.621997631	1442118	1450032	2014/1/8  21:24:02.708	7.914	22.9	28.1	6.3	23.4	27.3	Bm.Ant-A
24	Spectrogram 1	1	200_2014-01-08_21-00-00.wav	200_2014-01-08_21-00-00.wav	30315.690001261	30320.843001261	1511100	1516253	2014/1/8  21:25:11.690	5.153	23.8	27.3	4.5	24.4	26.4	Bm.Ant-A
25	Spectrogram 1	1	200_2014-01-08_21-00-00.wav	200_2014-01-08_21-00-00.wav	30347.1499996	30352.3029996	1542560	1547713	2014/1/8  21:25:42.150	5.153	24.7	27.6	4.2	25.4	27.3	Bm.Ant-A
26	Spectrogram 1	1	200_2014-01-08_21-00-00.wav	200_2014-01-08_21-00-00.wav	30440.45399965	30446.89599965	1635864	1642306	2014/1/8  21:27:15.454	6.442	24.1	28.1	4.5	24.4	27.3	Bm.Ant-A
27	Spectrogram 1	1	200_2014-01-08_21-00-00.wav	200_2014-01-08_21-00-00.wav	30459.962996628	30465.852996628	1655373	1661263	2014/1/8  21:27:35.963	5.89	23.8	28.1	5.2	24.4	27.3	Bm.Ant-A
28	Spectrogram 1	1	200_2014-01-08_21-00-00.wav	200_2014-01-08_21-00-00.wav	32292.005000796	32300.472000796	3487415	3495882	2014/1/8  21:58:07.005	8.467	22.0	28.1	6.9	22.5	27.3	Bm.Ant-A
29	Spectrogram 1	1	200_2014-01-10_12-00-00.wav	200_2014-01-10_12-00-00.wav	32932.306003673	32940.957003673	527158	535809	2014/1/10  12:08:47.306	8.651	23.8	28.3	6.8	25.4	27.3	Bm.Ant-A
30	Spectrogram 1	1	200_2014-01-10_12-00-00.wav	200_2014-01-10_12-00-00.wav	33072.559004752	33084.890004752	667411	679742	2014/1/10  12:11:07.559	12.331	23.5	29.2	8.8	24.4	27.3	Bm.Ant-A
31	Spectrogram 1	1	200_2014-01-10_12-00-00.wav	200_2014-01-10_12-00-00.wav	33317.19100113	33325.74900113	912043	920601	2014/1/10  12:15:12.191	8.558	23.5	28.3	7.5	24.4	27.3	Bm.Ant-A
32	Spectrogram 1	1	200_2014-01-10_12-00-00.wav	200_2014-01-10_12-00-00.wav	33379.920001058	33388.018001058	974772	982870	2014/1/10  12:16:14.920	8.098	24.1	28.6	6.5	24.4	28.3	Bm.Ant-A
33	Spectrogram 1	1	200_2014-01-10_12-00-00.wav	200_2014-01-10_12-00-00.wav	33659.282999961	33664.435999961	1254135	1259288	2014/1/10  12:20:54.283	5.153	24.7	28.1	4.5	25.4	27.3	Bm.Ant-A
34	Spectrogram 1	1	200_2014-01-10_12-00-00.wav	200_2014-01-10_12-00-00.wav	34260.675996272	34268.589996272	1855528	1863442	2014/1/10  12:30:55.676	7.914	23.2	27.5	6.0	23.4	27.3	Bm.Ant-A
35	Spectrogram 1	1	200_2014-01-10_12-00-00.wav	200_2014-01-10_12-00-00.wav	34323.80399826	34329.14099826	1918656	1923993	2014/1/10  12:31:58.804	5.337	23.0	28.1	4.0	23.4	27.3	Bm.Ant-A
36	Spectrogram 1	1	200_2014-01-10_12-00-00.wav	200_2014-01-10_12-00-00.wav	35041.349995611	35046.226995611	2636202	2641079	2014/1/10  12:43:56.350	4.877	23.5	28.9	3.8	25.4	27.3	Bm.Ant-A
37	Spectrogram 1	1	200_2014-01-10_12-00-00.wav	200_2014-01-10_12-00-00.wav	35797.796999021	35806.26399902	3392649	3401116	2014/1/10  12:56:32.797	8.467	23.0	28.1	7.7	23.4	27.3	Bm.Ant-A
38	Spectrogram 1	1	200_2014-01-12_12-00-00.wav	200_2014-01-12_12-00-00.wav	39469.767003551	39475.657003551	3464061	3469951	2014/1/12  12:57:44.767	5.89	23.3	27.3	4.5	23.4	26.4	Bm.Ant-A
39	Spectrogram 1	1	200_2014-01-12_12-00-00.wav	200_2014-01-12_12-00-00.wav	39572.09800151	39577.71100151	3566392	3572005	2014/1/12  12:59:26.098	5.613	24.1	28.0	5.1	24.4	27.3	Bm.Ant-A
40	Spectrogram 1	1	200_2014-01-14_03-00-00.wav	200_2014-01-14_03-00-00.wav	39606.582002759	39610.828002759	297	4543	2014/1/14  3:00:00.582	4.246	22.5	28.4	3.5	23.4	28.3	Bm.Ant-A
41	Spectrogram 1	1	200_2014-01-14_03-00-00.wav	200_2014-01-14_03-00-00.wav	40544.696999121	40554.358999121	938412	948074	2014/1/14  3:15:38.697	9.662	23.8	28.6	7.9	24.4	28.3	Bm.Ant-A
42	Spectrogram 1	1	200_2014-01-14_03-00-00.wav	200_2014-01-14_03-00-00.wav	40608.985998634	40617.911998634	1002701	1011627	2014/1/14  3:16:42.986	8.926	22.4	28.9	7.4	23.4	27.3	Bm.Ant-A
43	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	43255.197002461	43258.520002461	48354	51677	2014/1/16  4:00:48.197	3.323	23.8	27.9	2.6	24.4	27.3	Bm.Ant-A
44	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	43553.704999109	43558.319999109	346862	351477	2014/1/16  4:05:46.705	4.615	23.0	27.9	3.7	23.4	27.3	Bm.Ant-A
45	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	43606.981002634	43612.150002634	400138	405307	2014/1/16  4:06:40.981	5.169	21.5	28.9	4.0	22.5	27.3	Bm.Ant-A
46	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	44216.028000882	44220.274000882	1009185	1013431	2014/1/16  4:16:49.028	4.246	23.3	28.6	3.4	24.4	27.3	Bm.Ant-A
47	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	44509.197000136	44516.120000136	1302354	1309277	2014/1/16  4:21:42.197	6.923	23.5	27.6	6.3	24.4	27.3	Bm.Ant-A
48	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	44534.382007366	44540.474007366	1327539	1333631	2014/1/16  4:22:07.382	6.092	24.3	27.9	5.5	24.4	27.3	Bm.Ant-A
49	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	44726.474005079	44731.736005079	1519631	1524893	2014/1/16  4:25:19.474	5.262	25.1	27.4	3.5	25.4	27.3	Bm.Ant-A
50	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	44949.136003946	44953.197003947	1742293	1746354	2014/1/16  4:29:02.136	4.061	23.3	28.9	3.1	23.4	28.3	Bm.Ant-A
51	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	45237.766001468	45243.766001468	2030923	2036923	2014/1/16  4:33:50.766	6.0	22.8	27.4	5.1	23.4	27.3	Bm.Ant-A
52	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	45284.750005325	45289.642005325	2077907	2082799	2014/1/16  4:34:37.750	4.892	23.8	29.1	3.9	25.4	28.3	Bm.Ant-A
53	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	46085.3360069	46089.2120069	2878493	2882369	2014/1/16  4:47:58.336	3.876	24.8	27.9	3.1	25.4	27.3	Bm.Ant-A
54	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	46134.273007607	46139.535007607	2927430	2932692	2014/1/16  4:48:47.273	5.262	23.5	27.6	4.8	24.4	27.3	Bm.Ant-A
55	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	46183.736006265	46188.812006265	2976893	2981969	2014/1/16  4:49:36.736	5.076	24.0	27.6	4.2	24.4	27.3	Bm.Ant-A
56	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	46288.88900662	46292.58200662	3082046	3085739	2014/1/16  4:51:22.889	3.693	24.8	27.9	2.6	25.4	27.3	Bm.Ant-A
57	Spectrogram 1	1	200_2014-01-16_04-00-00.wav	200_2014-01-16_04-00-00.wav	46640.120002349	46647.228002349	3433277	3440385	2014/1/16  4:57:13.120	7.108	24.0	28.6	4.9	24.4	27.3	Bm.Ant-A
58	Spectrogram 1	1	200_2014-01-17_19-00-00.wav	200_2014-01-17_19-00-00.wav	46911.852001716	46917.281001716	104494	109923	2014/1/17  19:01:44.852	5.429	24.1	28.3	4.2	24.4	27.3	Bm.Ant-A
59	Spectrogram 1	1	200_2014-01-17_19-00-00.wav	200_2014-01-17_19-00-00.wav	46962.246005182	46967.859005182	154888	160501	2014/1/17  19:02:34.246	5.613	24.4	28.3	4.3	24.4	27.3	Bm.Ant-A
60	Spectrogram 1	1	200_2014-01-17_19-00-00.wav	200_2014-01-17_19-00-00.wav	47639.969003891	47646.871003891	832611	839513	2014/1/17  19:13:52.969	6.902	24.1	28.1	5.7	24.4	27.3	Bm.Ant-A
61	Spectrogram 1	1	200_2014-01-17_19-00-00.wav	200_2014-01-17_19-00-00.wav	48152.822005694	48158.712005694	1345464	1351354	2014/1/17  19:22:25.822	5.89	23.8	28.6	4.9	24.4	28.3	Bm.Ant-A
62	Spectrogram 1	1	200_2014-01-17_19-00-00.wav	200_2014-01-17_19-00-00.wav	48768.580001538	48775.390001538	1961222	1968032	2014/1/17  19:32:41.580	6.81	23.8	28.1	5.9	24.4	27.3	Bm.Ant-A
63	Spectrogram 1	1	200_2014-01-17_19-00-00.wav	200_2014-01-17_19-00-00.wav	49142.168007364	49150.082007364	2334810	2342724	2014/1/17  19:38:54.168	7.914	23.2	27.8	6.5	23.4	27.3	Bm.Ant-A
64	Spectrogram 1	1	200_2014-01-19_19-00-00.wav	200_2014-01-19_19-00-00.wav	51155.968006008	51160.846006008	748031	752909	2014/1/19  19:12:28.968	4.878	24.5	27.7	4.2	25.4	27.3	Bm.Ant-A
65	Spectrogram 1	1	200_2014-01-19_19-00-00.wav	200_2014-01-19_19-00-00.wav	51215.323004925	51221.029004925	807386	813092	2014/1/19  19:13:27.323	5.706	24.7	28.1	4.6	25.4	27.3	Bm.Ant-A
66	Spectrogram 1	1	200_2014-01-19_19-00-00.wav	200_2014-01-19_19-00-00.wav	53400.429006347	53407.974006347	2992492	3000037	2014/1/19  19:49:52.429	7.545	24.4	28.1	6.2	24.4	27.3	Bm.Ant-A
67	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	57545.974998091	57551.220998091	284742	289988	2014/1/23  11:05:46.975	5.246	23.6	28.9	4.0	24.4	28.3	Bm.Ant-A
68	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	57843.706002374	57849.135002374	582473	587902	2014/1/23  11:10:44.706	5.429	23.6	28.6	4.9	24.4	28.3	Bm.Ant-A
69	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	58183.332001706	58190.970001706	922099	929737	2014/1/23  11:16:24.332	7.638	24.2	28.9	6.2	24.4	28.3	Bm.Ant-A
70	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	58310.694004511	58316.95100451	1049461	1055718	2014/1/23  11:18:31.694	6.257	26.4	30.0	4.9	27.3	29.3	Bm.Ant-A
71	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	58336.459998329	58342.533998329	1075227	1081301	2014/1/23  11:18:57.460	6.074	24.4	28.1	4.5	24.4	27.3	Bm.Ant-A
72	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	58361.018002321	58366.356002321	1099785	1105123	2014/1/23  11:19:21.018	5.338	24.2	28.6	4.5	24.4	28.3	Bm.Ant-A
73	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	58453.226997246	58458.472997246	1191994	1197240	2014/1/23  11:20:53.227	5.246	24.2	27.8	3.7	24.4	27.3	Bm.Ant-A
74	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	58842.231998508	58846.465998508	1580999	1585233	2014/1/23  11:27:22.232	4.234	23.9	28.6	3.1	24.4	27.3	Bm.Ant-A
75	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	58864.588998546	58868.821998546	1603356	1607589	2014/1/23  11:27:45.589	4.233	24.7	28.3	3.2	25.4	27.3	Bm.Ant-A
76	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	58894.497003694	58899.742003694	1633264	1638509	2014/1/23  11:28:15.497	5.245	24.2	28.6	4.5	24.4	28.3	Bm.Ant-A
77	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	59106.012000059	59110.798000059	1844779	1849565	2014/1/23  11:31:46.012	4.786	23.9	28.3	3.9	24.4	27.3	Bm.Ant-A
78	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	59418.196003799	59423.166003799	2156963	2161933	2014/1/23  11:36:58.196	4.97	23.6	28.6	3.7	24.4	28.3	Bm.Ant-A
79	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	59605.829003368	59611.166003368	2344596	2349933	2014/1/23  11:40:06.829	5.337	24.7	28.1	3.9	25.4	27.3	Bm.Ant-A
80	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	60053.036998128	60057.729998128	2791804	2796497	2014/1/23  11:47:33.037	4.693	23.3	28.1	4.0	23.4	27.3	Bm.Ant-A
81	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	60196.349004944	60201.042004944	2935116	2939809	2014/1/23  11:49:57.349	4.693	23.6	27.8	3.4	24.4	27.3	Bm.Ant-A
82	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	60219.337001358	60224.674001358	2958104	2963441	2014/1/23  11:50:20.337	5.337	24.7	28.1	4.2	25.4	27.3	Bm.Ant-A
83	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	60224.306004782	60229.275004782	2963073	2968042	2014/1/23  11:50:25.306	4.969	24.7	28.3	3.8	25.4	27.3	Bm.Ant-A
84	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	60280.90800113	60285.877001129	3019675	3024644	2014/1/23  11:51:21.908	4.969	24.4	28.1	4.0	24.4	27.3	Bm.Ant-A
85	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	60285.797996734	60289.938996734	3024565	3028706	2014/1/23  11:51:26.798	4.141	24.4	28.6	3.4	24.4	28.3	Bm.Ant-A
86	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	60402.85300455	60409.75500455	3141620	3148522	2014/1/23  11:53:23.853	6.902	23.9	28.3	6.0	24.4	27.3	Bm.Ant-A
87	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	60634.368998845	60638.141998845	3373136	3376909	2014/1/23  11:57:15.369	3.773	23.3	28.1	3.1	23.4	27.3	Bm.Ant-A
88	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	60703.926004385	60710.091004385	3442693	3448858	2014/1/23  11:58:24.926	6.165	24.4	27.8	5.4	24.4	27.3	Bm.Ant-A
89	Spectrogram 1	1	200_2014-01-23_11-01-02.wav	200_2014-01-23_11-01-02.wav	60762.83499888	60767.98799888	3501602	3506755	2014/1/23  11:59:23.835	5.153	23.1	28.6	3.7	24.4	27.3	Bm.Ant-A
90	Spectrogram 1	1	200_2014-01-25_02-00-00.wav	200_2014-01-25_02-00-00.wav	61563.070995605	61568.683995605	764265	769878	2014/1/25  2:12:44.071	5.613	23.6	28.6	4.5	24.4	27.3	Bm.Ant-A
91	Spectrogram 1	1	200_2014-01-25_02-00-00.wav	200_2014-01-25_02-00-00.wav	62775.087998307	62781.069998306	1976282	1982264	2014/1/25  2:32:56.088	5.982	23.6	28.1	4.9	24.4	27.3	Bm.Ant-A
92	Spectrogram 1	1	200_2014-01-27_03-00-00.wav	200_2014-01-27_03-00-00.wav	64422.144995237	64430.426995237	22760	31042	2014/1/27  3:00:22.145	8.282	23.6	29.2	7.1	24.4	28.3	Bm.Ant-A
93	Spectrogram 1	1	200_2014-01-27_03-00-00.wav	200_2014-01-27_03-00-00.wav	64492.857999334	64498.102999334	93473	98718	2014/1/27  3:01:33.858	5.245	23.9	28.9	4.0	24.4	27.3	Bm.Ant-A
94	Spectrogram 1	1	200_2014-01-27_03-00-00.wav	200_2014-01-27_03-00-00.wav	64582.582004721	64588.195004721	183197	188810	2014/1/27  3:03:03.582	5.613	23.3	27.8	4.5	23.4	27.3	Bm.Ant-A
95	Spectrogram 1	1	200_2014-01-27_03-00-00.wav	200_2014-01-27_03-00-00.wav	65046.20799532	65052.09699532	646823	652712	2014/1/27  3:10:46.208	5.889	23.3	28.6	5.1	23.4	28.3	Bm.Ant-A
