Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	200_2014-05-10_22-00-00.wav	200_2014-05-10_22-00-00.wav	269632.61000277	269639.23600277	639	7265	2014/5/10  22:00:00.610	6.626	14.3	28.0	5.9	15.6	27.3	Bm.Ant-B
2	Spectrogram 1	1	200_2014-06-16_10-00-00.wav	200_2014-06-16_10-00-00.wav	341645.049000399	341653.608000399	1410	9969	2014/6/16  10:00:01.049	8.559	15.7	28.0	7.5	16.6	26.4	Bm.Ant-B
3	Spectrogram 1	1	200_2014-06-25_18-00-00.wav	200_2014-06-25_18-00-00.wav	359648.831001911	359656.101001911	2318	9588	2014/6/25  18:00:02.831	7.27	16.6	28.5	6.5	16.6	26.4	Bm.Ant-B
4	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	388454.442004134	388459.503004134	3466	8527	2014/7/10  9:00:03.442	5.061	16.3	28.5	4.5	16.6	26.4	Bm.Ant-B
5	Spectrogram 1	1	200_2014-02-23_07-00-00.wav	200_2014-02-23_07-00-00.wav	118414.765005145	118421.483005145	6840	13558	2014/2/23  7:00:06.765	6.718	15.5	28.2	5.9	15.6	27.3	Bm.Ant-B
6	Spectrogram 1	1	200_2014-10-02_07-00-00.wav	200_2014-10-02_07-00-00.wav	554087.396003946	554094.665003946	9991	17260	2014/10/2  7:00:09.396	7.269	16.2	28.2	5.5	16.6	26.4	Bm.Ant-B
7	Spectrogram 1	1	200_2014-09-04_18-00-00.wav	200_2014-09-04_18-00-00.wav	500082.038001639	500090.596001639	13235	21793	2014/9/4  18:00:13.038	8.558	17.5	28.1	7.4	17.6	26.4	Bm.Ant-B
8	Spectrogram 1	1	200_2014-06-27_09-00-00.wav	200_2014-06-27_09-00-00.wav	363260.781999862	363269.983999862	13711	22913	2014/6/27  9:00:13.782	9.202	16.3	28.7	8.5	16.6	27.3	Bm.Ant-B
9	Spectrogram 1	1	200_2014-09-23_00-00-00.wav	200_2014-09-23_00-00-00.wav	536089.810004145	536098.552004145	15258	24000	2014/9/23  0:00:15.810	8.742	14.3	27.0	7.9	14.6	26.4	Bm.Ant-B
10	Spectrogram 1	1	200_2014-05-25_13-00-00.wav	200_2014-05-25_13-00-00.wav	298459.62499934	298471.40399934	23042	34821	2014/5/25  13:00:23.625	11.779	15.3	28.3	10.2	16.6	26.4	Bm.Ant-B
11	Spectrogram 1	1	200_2014-06-12_19-00-00.wav	200_2014-06-12_19-00-00.wav	334466.370007419	334472.443007419	23889	29962	2014/6/12  19:00:23.370	6.073	16.0	28.3	5.4	16.6	26.4	Bm.Ant-B
12	Spectrogram 1	1	200_2014-09-21_09-00-00.wav	200_2014-09-21_09-00-00.wav	532497.936004518	532503.641004518	23942	29647	2014/9/21  9:00:23.936	5.705	12.6	27.4	4.6	12.7	26.4	Bm.Ant-B
13	Spectrogram 1	1	200_2014-08-19_12-00-00.wav	200_2014-08-19_12-00-00.wav	467689.600996889	467695.857996889	26053	32310	2014/8/19  12:00:26.601	6.257	17.2	27.6	5.2	17.6	26.4	Bm.Ant-B
14	Spectrogram 1	1	200_2014-02-21_16-00-00.wav	200_2014-02-21_16-00-00.wav	114833.782004581	114838.199004581	26415	30832	2014/2/21  16:00:26.782	4.417	16.9	28.1	4.0	17.6	26.4	Bm.Ant-B
15	Spectrogram 1	1	200_2014-06-20_02-00-00.wav	200_2014-06-20_02-00-00.wav	348871.550998921	348879.004998921	26754	34208	2014/6/20  2:00:26.551	7.454	16.7	27.7	6.5	17.6	26.4	Bm.Ant-B
16	Spectrogram 1	1	200_2014-07-21_07-00-00.wav	200_2014-07-21_07-00-00.wav	410081.365000294	410088.543000294	27020	34198	2014/7/21  7:00:27.365	7.178	16.6	28.2	6.3	16.6	26.4	Bm.Ant-B
17	Spectrogram 1	1	200_2014-07-10_09-00-00.wav	200_2014-07-10_09-00-00.wav	388478.367995863	388484.716995863	27392	33741	2014/7/10  9:00:27.368	6.349	15.1	27.9	5.7	16.6	26.4	Bm.Ant-B
18	Spectrogram 1	1	200_2014-09-04_18-00-00.wav	200_2014-09-04_18-00-00.wav	500096.657998783	500104.847998783	27855	36045	2014/9/4  18:00:27.658	8.19	17.8	27.5	7.1	18.6	26.4	Bm.Ant-B
19	Spectrogram 1	1	200_2014-05-09_07-00-00.wav	200_2014-05-09_07-00-00.wav	266060.698006804	266067.415006804	29306	36023	2014/5/9  7:00:29.698	6.717	18.3	27.4	5.9	18.6	27.3	Bm.Ant-B
20	Spectrogram 1	1	200_2014-06-03_21-00-00.wav	200_2014-06-03_21-00-00.wav	316470.527995027	316476.163995027	30921	36557	2014/6/3  21:00:30.528	5.636	14.8	27.5	5.1	16.6	26.4	Bm.Ant-B
21	Spectrogram 1	1	200_2014-07-01_01-00-00.wav	200_2014-07-01_01-00-00.wav	370481.477000799	370488.103000799	33269	39895	2014/7/1  1:00:33.477	6.626	18.2	27.1	5.5	18.6	26.4	Bm.Ant-B
22	Spectrogram 1	1	200_2014-07-08_08-00-00.wav	200_2014-07-08_08-00-00.wav	384887.364995018	384895.554995018	36968	45158	2014/7/8  8:00:36.365	8.19	16.4	28.6	7.1	17.6	27.3	Bm.Ant-B
23	Spectrogram 1	1	200_2014-02-14_09-00-00.wav	200_2014-02-14_09-00-00.wav	100443.970997673	100455.197997673	38815	50042	2014/2/14  9:00:38.971	11.227	13.1	28.6	9.7	14.6	27.3	Bm.Ant-B
24	Spectrogram 1	1	200_2014-07-14_00-00-00.wav	200_2014-07-14_00-00-00.wav	395694.202000924	395701.471000924	42110	49379	2014/7/14  0:00:42.202	7.269	16.3	28.2	6.3	16.6	26.4	Bm.Ant-B
25	Spectrogram 1	1	200_2014-07-26_14-00-00.wav	200_2014-07-26_14-00-00.wav	420900.570999661	420907.288999661	44531	51249	2014/7/26  14:00:44.571	6.718	15.8	27.5	5.7	17.6	26.4	Bm.Ant-B
