Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	200_2014-01-10_12-00-00.wav	200_2014-01-10_12-00-00.wav	35954.569996996	35968.096996996	3549422	3562949	2014/1/10  12:59:09.570	13.527	17.6	27.8	11.9	18.6	27.3	Bm.Ant-Z
2	Spectrogram 1	1	200_2014-01-17_19-00-00.wav	200_2014-01-17_19-00-00.wav	48993.218000551	49006.193000551	2185860	2198835	2014/1/17  19:36:25.218	12.975	16.2	28.1	10.8	16.6	27.3	Bm.Ant-Z
3	Spectrogram 1	1	200_2014-01-28_18-00-00.wav	200_2014-01-28_18-00-00.wav	68013.142997114	68033.940997114	13179	33977	2014/1/28  18:00:13.143	20.798	16.3	27.8	18.5	16.6	27.3	Bm.Ant-Z
4	Spectrogram 1	1	200_2014-01-28_18-00-00.wav	200_2014-01-28_18-00-00.wav	68083.632999001	68102.497999001	83669	102534	2014/1/28  18:01:23.633	18.865	16.5	29.1	16.3	16.6	27.3	Bm.Ant-Z
5	Spectrogram 1	1	200_2014-01-28_18-00-00.wav	200_2014-01-28_18-00-00.wav	68171.123994975	68178.945994975	171160	178982	2014/1/28  18:02:51.124	7.822	16.3	28.6	6.5	16.6	27.3	Bm.Ant-Z
6	Spectrogram 1	1	200_2014-01-28_18-00-00.wav	200_2014-01-28_18-00-00.wav	68225.186003087	68244.143003087	225222	244179	2014/1/28  18:03:45.186	18.957	16.3	28.1	16.8	17.6	27.3	Bm.Ant-Z
7	Spectrogram 1	1	200_2014-01-28_18-00-00.wav	200_2014-01-28_18-00-00.wav	68291.718995659	68311.135995659	291755	311172	2014/1/28  18:04:51.719	19.417	15.5	27.8	16.3	16.6	27.3	Bm.Ant-Z
8	Spectrogram 1	1	200_2014-01-28_18-00-00.wav	200_2014-01-28_18-00-00.wav	69616.467000259	69631.283000259	1616503	1631319	2014/1/28  18:26:56.467	14.816	15.0	27.3	12.3	15.6	26.4	Bm.Ant-Z
9	Spectrogram 1	1	200_2014-01-28_18-00-00.wav	200_2014-01-28_18-00-00.wav	69763.633995218	69778.081995218	1763670	1778118	2014/1/28  18:29:23.634	14.448	15.5	27.8	12.3	15.6	27.3	Bm.Ant-Z
10	Spectrogram 1	1	200_2014-01-30_18-00-00.wav	200_2014-01-30_18-00-00.wav	72808.352996439	72827.677996439	1207831	1227156	2014/1/30  18:20:07.353	19.325	15.6	28.3	15.7	16.6	26.4	Bm.Ant-Z
11	Spectrogram 1	1	200_2014-01-30_18-00-00.wav	200_2014-01-30_18-00-00.wav	72881.248004392	72896.708004392	1280726	1296186	2014/1/30  18:21:20.248	15.46	16.4	28.6	13.1	16.6	27.3	Bm.Ant-Z
12	Spectrogram 1	1	200_2014-01-30_18-00-00.wav	200_2014-01-30_18-00-00.wav	73174.218000501	73191.151000502	1573696	1590629	2014/1/30  18:26:13.218	16.933	15.8	28.3	14.2	16.6	26.4	Bm.Ant-Z
13	Spectrogram 1	1	200_2014-01-30_18-00-00.wav	200_2014-01-30_18-00-00.wav	73308.058996529	73324.806996528	1707537	1724285	2014/1/30  18:28:27.059	16.748	15.8	28.6	14.3	17.6	27.3	Bm.Ant-Z
14	Spectrogram 1	1	200_2014-01-30_18-00-00.wav	200_2014-01-30_18-00-00.wav	73376.512004837	73395.837004838	1775990	1795315	2014/1/30  18:29:35.512	19.325	16.1	28.3	17.9	16.6	26.4	Bm.Ant-Z
15	Spectrogram 1	1	200_2014-01-30_18-00-00.wav	200_2014-01-30_18-00-00.wav	73451.800994978	73465.419994978	1851279	1864898	2014/1/30  18:30:51.801	13.619	16.4	27.2	11.2	16.6	26.4	Bm.Ant-Z
16	Spectrogram 1	1	200_2014-01-30_18-00-00.wav	200_2014-01-30_18-00-00.wav	73516.918002471	73532.930002471	1916396	1932408	2014/1/30  18:31:56.918	16.012	16.1	27.8	13.6	16.6	26.4	Bm.Ant-Z
17	Spectrogram 1	1	200_2014-01-30_18-00-00.wav	200_2014-01-30_18-00-00.wav	73578.9410014	73596.610001401	1978419	1996088	2014/1/30  18:32:58.941	17.669	16.1	29.2	15.9	16.6	27.3	Bm.Ant-Z
18	Spectrogram 1	1	200_2014-01-30_18-00-00.wav	200_2014-01-30_18-00-00.wav	73938.627996326	73957.124996326	2338106	2356603	2014/1/30  18:38:58.628	18.497	14.7	28.3	16.6	15.6	27.3	Bm.Ant-Z
19	Spectrogram 1	1	200_2014-01-30_18-00-00.wav	200_2014-01-30_18-00-00.wav	75119.147996262	75130.098996262	3518626	3529577	2014/1/30  18:58:38.148	10.951	14.2	28.1	9.5	15.6	26.4	Bm.Ant-Z
