Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	869.162002578	871.739002578	869162	871739	2013/12/25  6:14:29.162	2.577	59.8	83.1	1.7	61.5	79.1	Bm.D
2	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	1362.365000322	1364.665000322	1362365	1364665	2013/12/25  6:22:42.365	2.3	54.2	76.4	2.0	55.7	74.2	Bm.D
3	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	2376.448998973	2378.841998973	2376449	2378842	2013/12/25  6:39:36.449	2.393	57.7	80.7	1.7	59.6	78.1	Bm.D
4	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	3242.696000263	3244.628000263	3242696	3244628	2013/12/25  6:54:02.696	1.932	49.7	69.4	1.2	50.8	67.4	Bm.D
5	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4068.787002391	4070.812002391	468165	470190	2013/12/26  21:07:48.787	2.025	43.0	71.7	1.7	43.9	68.4	Bm.D
6	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4172.46199829	4174.67099829	571840	574049	2013/12/26  21:09:31.462	2.209	43.5	67.8	2.0	44.9	65.4	Bm.D
7	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4377.602999857	4380.179999857	776981	779558	2013/12/26  21:12:56.603	2.577	51.7	79.6	1.8	53.7	73.2	Bm.D
8	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4382.665002173	4384.873002173	782043	784251	2013/12/26  21:13:02.665	2.208	63.3	78.6	1.4	64.5	76.2	Bm.D
9	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4384.505004263	4386.990004263	783883	786368	2013/12/26  21:13:03.505	2.485	43.2	78.6	2.0	45.9	75.2	Bm.D
10	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4499.315003133	4501.523003133	898693	900901	2013/12/26  21:14:58.315	2.208	37.7	67.0	1.7	38.1	64.5	Bm.D
