Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Possibly	Possible	From	Tags
1	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	690.625000745	693.937000745	690625	693937	2013/12/25  6:11:30.625	3.312	62.0	82.3	2.6	64.5	78.1	fm			Unidentified.calls
2	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	791.115996614	793.599996614	791116	793600	2013/12/25  6:13:11.116	2.484	50.2	71.6	1.8	51.8	70.3	fm double			Unidentified.calls
3	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	794.061001763	796.177001763	794061	796177	2013/12/25  6:13:14.061	2.116	50.5	71.0	1.7	51.8	68.4	fm double			Unidentified.calls
4	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	1016.383000463	1018.223000463	1016383	1018223	2013/12/25  6:16:56.383	1.84	58.0	72.1	1.4	59.6	69.3	fm double			Unidentified.calls
5	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	1019.60400492	1020.80000492	1019604	1020800	2013/12/25  6:16:59.604	1.196	58.8	68.4	0.9	59.6	66.4	fm double			Unidentified.calls
6	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	1112.621997669	1115.106997669	1112622	1115107	2013/12/25  6:18:32.622	2.485	58.8	88.4	1.5	62.5	84.0	fm double			Unidentified.calls
7	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	1113.726004958	1117.039004958	1113726	1117039	2013/12/25  6:18:33.726	3.313	39.3	87.9	2.8	43.0	79.1	fm double			Unidentified.calls
8	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	1270.252001658	1272.736001658	1270252	1272736	2013/12/25  6:21:10.252	2.484	56.9	69.4	2.0	58.6	68.4	fm			Unidentified.calls
9	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	1547.420001403	1549.904001402	1547420	1549904	2013/12/25  6:25:47.420	2.484	58.2	82.0	2.0	60.5	79.1	fm double			Unidentified.calls
10	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	1548.708004877	1551.193004877	1548708	1551193	2013/12/25  6:25:48.708	2.485	57.7	84.7	2.2	60.5	80.1	fm double			Unidentified.calls
11	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	1681.757001579	1684.058001579	1681757	1684058	2013/12/25  6:28:01.757	2.301	54.5	72.1	1.8	54.7	70.3	fm double			Unidentified.calls
12	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	1683.414003253	1685.806003253	1683414	1685806	2013/12/25  6:28:03.414	2.392	52.9	73.7	2.3	53.7	71.3	fm double			Unidentified.calls
13	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	1970.567997918	1972.775997918	1970568	1972776	2013/12/25  6:32:50.568	2.208	53.7	72.6	1.7	55.7	71.3	fm double			Unidentified.calls
14	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	1971.671995148	1974.616995148	1971672	1974617	2013/12/25  6:32:51.672	2.945	52.4	74.0	2.5	53.7	70.3	fm double			Unidentified.calls
15	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	2061.577995121	2064.338995121	2061578	2064339	2013/12/25  6:34:21.578	2.761	59.0	76.4	2.2	60.5	75.2	fm double			Unidentified.calls
16	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	2063.510996103	2065.626996103	2063511	2065627	2013/12/25  6:34:23.511	2.116	58.0	76.9	1.8	58.6	74.2	fm double			Unidentified.calls
17	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	2191.535004973	2193.375004973	2191535	2193375	2013/12/25  6:36:31.535	1.84	56.9	72.4	1.5	58.6	71.3	fm double			Unidentified.calls
18	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	2193.191000819	2195.584000819	2193191	2195584	2013/12/25  6:36:33.191	2.393	58.2	74.0	1.8	59.6	71.3	fm double			Unidentified.calls
19	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	2257.1479965	2259.3569965	2257148	2259357	2013/12/25  6:37:37.148	2.209	61.2	76.1	1.5	62.5	73.2	fm			Unidentified.calls
20	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	2670.319996029	2672.068996029	2670320	2672069	2013/12/25  6:44:30.320	1.749	35.8	53.7	1.2	36.1	51.8	fm			Unidentified.calls
21	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	2895.505004749	2897.161004749	2895505	2897161	2013/12/25  6:48:15.505	1.656	37.7	61.7	1.2	38.1	57.6	fm			Unidentified.calls
22	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	3064.194997028	3065.850997028	3064195	3065851	2013/12/25  6:51:04.195	1.656	36.9	56.4	0.9	38.1	53.7	fm			Unidentified.calls
23	Spectrogram 1	1	200_2013-12-25_06-00-00.wav	200_2013-12-25_06-00-00.wav	3365.38300328	3367.31600328	3365383	3367316	2013/12/25  6:56:05.383	1.933	35.8	55.8	1.5	37.1	53.7	fm			Unidentified.calls
24	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	3667.338998816	3669.546998816	66717	68925	2013/12/26  21:01:06.339	2.208	35.1	61.4	1.8	37.1	58.6		fm		Unidentified.calls
25	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	3719.940996742	3721.320996742	119319	120699	2013/12/26  21:01:59.941	1.38	21.4	45.4	1.1	21.5	43.9		fm		Unidentified.calls
26	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	3760.706999725	3761.810999725	160085	161189	2013/12/26  21:02:40.707	1.104	38.8	58.8	1.1	40.0	55.7		fm		Unidentified.calls
27	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4082.959003574	4084.707003574	482337	484085	2013/12/26  21:08:02.959	1.748	40.1	69.4	1.5	43.0	68.4		fm		Unidentified.calls
28	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4182.769003338	4184.149003338	582147	583527	2013/12/26  21:09:42.769	1.38	40.6	66.2	0.9	42.0	62.5		fm		Unidentified.calls
29	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4201.357003501	4202.922003501	600735	602300	2013/12/26  21:10:00.357	1.565	41.1	66.7	1.1	43.9	63.5		fm		Unidentified.calls
30	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4222.521996325	4224.086996325	621900	623465	2013/12/26  21:10:21.522	1.565	50.6	66.5	0.9	50.8	64.5		fm		Unidentified.calls
31	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4223.351000077	4225.283000077	622729	624661	2013/12/26  21:10:22.351	1.932	61.2	87.6	1.5	61.5	82.0		fm		Unidentified.calls
32	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4225.559004596	4227.584004596	624937	626962	2013/12/26  21:10:24.559	2.025	44.3	68.3	1.5	45.9	66.4		fm		Unidentified.calls
33	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4284.327002069	4285.799002069	683705	685177	2013/12/26  21:11:23.327	1.472	44.0	67.0	1.4	45.9	64.5		fm		Unidentified.calls
34	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4289.019996128	4290.399996128	688398	689778	2013/12/26  21:11:28.020	1.38	42.5	61.7	1.2	43.9	60.5		fm		Unidentified.calls
35	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4305.124002522	4306.044002522	704502	705422	2013/12/26  21:11:44.124	0.92	39.6	58.3	0.8	40.0	55.7		fm		Unidentified.calls
36	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4315.062995082	4316.718995082	714441	716097	2013/12/26  21:11:54.063	1.656	30.9	82.5	0.8	35.2	61.5		fm		Unidentified.calls
37	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4367.113004452	4369.137004452	766491	768515	2013/12/26  21:12:46.113	2.024	39.8	76.7	1.7	41.0	70.3		fm		Unidentified.calls
38	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4627.560002557	4629.400002557	1026938	1028778	2013/12/26  21:17:06.560	1.84	36.9	65.1	1.5	38.1	62.5		fm		Unidentified.calls
39	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4858.098995513	4859.755995513	1257477	1259134	2013/12/26  21:20:57.099	1.657	62.5	75.7	1.4	63.5	75.2		fm		Unidentified.calls
40	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	4859.479997879	4861.871997879	1258858	1261250	2013/12/26  21:20:58.480	2.392	56.4	76.2	2.0	57.6	74.2		fm		Unidentified.calls
41	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	5358.436002037	5360.277002037	1757814	1759655	2013/12/26  21:29:17.436	1.841	65.4	87.0	1.4	67.4	83.0		fm		Unidentified.calls
42	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	5360.73699539	5362.39299539	1760115	1761771	2013/12/26  21:29:20.737	1.656	55.6	70.7	1.2	56.6	68.4		fm		Unidentified.calls
43	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	5369.938997379	5371.319997379	1769317	1770698	2013/12/26  21:29:29.939	1.381	78.1	110.5	0.6	82.0	105.5		fm		Unidentified.calls
44	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	5411.166001684	5412.730001684	1810544	1812108	2013/12/26  21:30:10.166	1.564	41.1	62.9	1.1	43.0	59.6		fm		Unidentified.calls
45	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	5661.271001971	5662.560001971	2060649	2061938	2013/12/26  21:34:20.271	1.289	42.2	58.7	0.9	43.9	57.6		fm		Unidentified.calls
46	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	5685.197003758	5686.578003758	2084575	2085956	2013/12/26  21:34:44.197	1.381	38.8	54.4	1.2	40.0	52.7		fm		Unidentified.calls
47	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	5689.154003015	5690.627003015	2088532	2090005	2013/12/26  21:34:48.154	1.473	40.8	60.1	1.1	41.0	56.6		fm		Unidentified.calls
48	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	5696.240003607	5697.528003607	2095618	2096906	2013/12/26  21:34:55.240	1.288	39.7	55.6	1.1	40.0	53.7		fm		Unidentified.calls
49	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6196.11800035	6198.05000035	2595496	2597428	2013/12/26  21:43:15.118	1.932	49.6	75.7	1.5	49.8	73.2		fm		Unidentified.calls
50	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6216.915000802	6219.216000802	2616293	2618594	2013/12/26  21:43:36.915	2.301	30.6	51.3	1.8	31.2	48.8		fm		Unidentified.calls
51	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6394.668995416	6395.496995416	2794047	2794875	2013/12/26  21:46:34.669	0.828	32.0	57.8	0.6	35.2	55.7		fm		Unidentified.calls
52	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6404.607002264	6407.368002264	2803985	2806746	2013/12/26  21:46:43.607	2.761	29.8	59.2	2.2	31.2	56.6		fm		Unidentified.calls
53	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6409.299996323	6411.416996323	2808678	2810795	2013/12/26  21:46:48.300	2.117	26.9	56.7	1.7	28.3	53.7		fm		Unidentified.calls
54	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6460.614000833	6461.994000833	2859992	2861372	2013/12/26  21:47:39.614	1.38	36.6	52.2	0.8	38.1	49.8		fm		Unidentified.calls
55	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6475.797996125	6477.085996125	2875176	2876464	2013/12/26  21:47:55.798	1.288	28.1	51.6	0.9	28.3	47.9		fm		Unidentified.calls
56	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6485.460003665	6487.117003665	2884838	2886495	2013/12/26  21:48:04.460	1.657	45.4	76.5	1.1	46.9	72.3		fm		Unidentified.calls
57	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6651.400000802	6652.872000802	3050778	3052250	2013/12/26  21:50:50.400	1.472	43.9	68.9	1.4	44.9	64.5		fm		Unidentified.calls
58	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6785.901997066	6787.926997066	3185280	3187305	2013/12/26  21:53:05.902	2.025	27.2	56.7	1.7	28.3	52.7		fm		Unidentified.calls
59	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6791.791997305	6793.539997305	3191170	3192918	2013/12/26  21:53:11.792	1.748	27.2	50.5	1.4	28.3	48.8		fm		Unidentified.calls
60	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6794.737002453	6796.301002453	3194115	3195679	2013/12/26  21:53:14.737	1.564	16.7	52.2	1.1	19.5	48.8		fm		Unidentified.calls
61	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6882.676004446	6884.424004446	3282054	3283802	2013/12/26  21:54:42.676	1.748	60.1	104.3	1.1	61.5	99.6		fm		Unidentified.calls
62	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6884.148004106	6885.804004106	3283526	3285182	2013/12/26  21:54:43.148	1.656	57.8	79.6	1.5	59.6	77.1		fm		Unidentified.calls
63	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6906.786002419	6908.718002419	3306164	3308096	2013/12/26  21:55:06.786	1.932	27.2	46.8	1.4	28.3	43.9		fm		Unidentified.calls
64	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6913.50300481	6915.16000481	3312881	3314538	2013/12/26  21:55:12.503	1.657	28.3	51.6	1.2	29.3	47.9		fm		Unidentified.calls
65	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	6958.282997286	6961.319997286	3357661	3360698	2013/12/26  21:55:57.283	3.037	40.0	79.6	2.6	40.0	76.2		fm		Unidentified.calls
66	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	7006.135000861	7007.516000861	3405513	3406894	2013/12/26  21:56:45.135	1.381	24.9	40.0	0.8	26.4	38.1		fm		Unidentified.calls
67	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	7011.197003177	7012.669003177	3410575	3412047	2013/12/26  21:56:50.197	1.472	39.1	63.8	1.2	41.0	61.5		fm		Unidentified.calls
68	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	7028.496999866	7029.416999866	3427875	3428795	2013/12/26  21:57:07.497	0.92	25.5	47.3	0.8	26.4	44.9		fm		Unidentified.calls
69	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	7030.52200397	7031.90200397	3429900	3431280	2013/12/26  21:57:09.522	1.38	56.1	89.3	0.9	57.6	85.0		fm		Unidentified.calls
70	Spectrogram 1	1	200_2013-12-26_21-00-00.wav	200_2013-12-26_21-00-00.wav	7058.681004322	7060.153004322	3458059	3459531	2013/12/26  21:57:38.681	1.472	57.3	100.1	0.9	58.6	96.7		fm		Unidentified.calls
71	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	7635.455001454	7636.835001454	434254	435634	2013/12/28  22:07:14.455	1.38	54.8	76.9	1.1	56.6	74.2	fm			Unidentified.calls
72	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	7722.783998708	7724.256998708	521583	523056	2013/12/28  22:08:41.784	1.473	60.6	81.2	0.9	62.5	80.1	fm			Unidentified.calls
73	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	8031.804008345	8033.092008345	830603	831891	2013/12/28  22:13:50.804	1.288	9.9	33.9	0.5	14.6	30.3	fm			Unidentified.calls
74	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	8037.784000049	8039.717000049	836583	838516	2013/12/28  22:13:56.784	1.933	13.6	27.5	1.4	14.6	26.4	double dot			Unidentified.calls
75	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	8145.920005749	8147.208005749	944719	946007	2013/12/28  22:15:44.920	1.288	33.9	65.4	1.1	36.1	60.5	fm			Unidentified.calls
76	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	8324.809007282	8327.386007282	1123608	1126185	2013/12/28  22:18:43.809	2.577	17.1	34.2	1.8	18.6	32.2	double dot			Unidentified.calls
77	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	8616.992998804	8619.477998804	1415792	1418277	2013/12/28  22:23:35.993	2.485	36.6	62.0	2.2	39.1	60.5	fm			Unidentified.calls
78	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	8765.189006487	8767.029006487	1563988	1565828	2013/12/28  22:26:03.189	1.84	13.4	34.7	1.2	14.6	32.2	fm			Unidentified.calls
79	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	9023.889001394	9025.269001394	1822688	1824068	2013/12/28  22:30:22.889	1.38	27.0	56.6	1.1	28.3	53.7	fm			Unidentified.calls
80	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	9097.594002942	9099.251002942	1896393	1898050	2013/12/28  22:31:36.594	1.657	16.0	27.5	0.9	16.6	26.4	double dot			Unidentified.calls
81	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	9539.367999817	9540.747999817	2338167	2339547	2013/12/28  22:38:58.368	1.38	11.2	27.8	1.1	13.7	25.4	fm			Unidentified.calls
82	Spectrogram 1	1	200_2013-12-28_22-00-00.wav	200_2013-12-28_22-00-00.wav	10016.990001808	10018.646001808	2815789	2817445	2013/12/28  22:46:55.990	1.656	36.2	61.4	1.4	39.1	59.6	fm			Unidentified.calls
83	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10812.361998527	10813.925998527	10582	12146	2013/12/30  13:00:10.362	1.564	45.1	70.6	1.2	45.9	64.5		fm		Unidentified.calls
84	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10826.441000818	10827.822000818	24661	26042	2013/12/30  13:00:24.441	1.381	44.2	63.5	1.2	45.9	61.5		fm		Unidentified.calls
85	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10829.122006192	10830.779006192	27342	28999	2013/12/30  13:00:27.122	1.657	36.3	61.8	1.4	40.0	58.6		fm		Unidentified.calls
86	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10847.606003701	10848.8030037	45826	47023	2013/12/30  13:00:45.606	1.197	38.8	70.3	1.1	43.0	62.5		fm		Unidentified.calls
87	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10851.748004972	10853.312004972	49968	51532	2013/12/30  13:00:49.748	1.564	40.5	67.5	1.1	41.0	59.6		fm		Unidentified.calls
88	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10875.765999823	10876.777999823	73986	74998	2013/12/30  13:01:13.766	1.012	39.7	67.2	0.9	43.0	61.5		fm		Unidentified.calls
89	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10879.630000188	10880.827000188	77850	79047	2013/12/30  13:01:17.630	1.197	39.4	66.9	0.9	41.0	59.6		fm		Unidentified.calls
90	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10891.685999973	10892.881999973	89906	91102	2013/12/30  13:01:29.686	1.196	77.9	98.6	0.9	78.1	96.7		fm		Unidentified.calls
91	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10892.066001936	10893.170001936	90286	91390	2013/12/30  13:01:30.066	1.104	76.8	97.2	0.9	78.1	94.7		fm		Unidentified.calls
92	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10893.906004025	10895.195004025	92126	93415	2013/12/30  13:01:32.906	1.289	74.3	97.8	0.8	77.1	96.7		fm		Unidentified.calls
93	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10909.826004176	10911.575004176	108046	109795	2013/12/30  13:01:48.826	1.749	37.1	68.3	1.2	40.0	62.5		fm		Unidentified.calls
94	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10913.046998574	10914.610998574	111267	112831	2013/12/30  13:01:51.047	1.564	40.2	67.7	1.2	42.0	63.5		fm		Unidentified.calls
95	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10933.521007417	10934.901007417	131741	133121	2013/12/30  13:02:11.521	1.38	46.2	70.9	1.1	47.9	65.4		fm		Unidentified.calls
96	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10936.373999386	10938.213999386	134594	136434	2013/12/30  13:02:14.374	1.84	37.1	62.6	1.2	40.0	56.6		fm		Unidentified.calls
97	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10958.367000191	10960.024000191	156587	158244	2013/12/30  13:02:36.367	1.657	37.4	64.3	1.2	39.1	60.5		fm		Unidentified.calls
98	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	10959.852005212	10961.324005212	158072	159544	2013/12/30  13:02:38.852	1.472	52.7	71.1	1.2	53.7	66.4		fm		Unidentified.calls
99	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	11032.687005444	11033.883005444	230907	232103	2013/12/30  13:03:50.687	1.196	31.5	45.1	0.9	32.2	43.9		fm		Unidentified.calls
100	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	11035.724003656	11037.380003657	233944	235600	2013/12/30  13:03:53.724	1.656	30.9	58.1	1.4	32.2	54.7		fm		Unidentified.calls
101	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	11056.073008149	11057.453008149	254293	255673	2013/12/30  13:04:14.073	1.38	41.1	65.5	0.8	43.0	61.5		fm		Unidentified.calls
102	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	11369.570000141	11371.226000141	567790	569446	2013/12/30  13:09:27.570	1.656	52.4	75.1	1.4	53.7	72.3		fm		Unidentified.calls
103	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	11408.048005073	11409.060005073	606268	607280	2013/12/30  13:10:06.048	1.012	33.4	69.2	0.8	35.2	61.5		fm		Unidentified.calls
104	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	11493.398004814	11495.146004814	691618	693366	2013/12/30  13:11:31.398	1.748	40.5	71.7	1.5	41.0	67.4		fm		Unidentified.calls
105	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	11513.367007344	11514.563007344	711587	712783	2013/12/30  13:11:51.367	1.196	42.2	77.9	1.1	44.9	74.2		fm		Unidentified.calls
106	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	11515.955999537	11517.519999537	714176	715740	2013/12/30  13:11:54.956	1.564	36.3	65.8	1.2	38.1	62.5		fm		Unidentified.calls
107	Spectrogram 1	1	200_2013-12-30_13-00-00.wav	200_2013-12-30_13-00-00.wav	11527.63000582	11529.56300582	725850	727783	2013/12/30  13:12:05.630	1.933	40.2	62.6	1.4	41.0	59.6		fm		Unidentified.calls
