Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	From	Tags
1	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	7346.583783946	7352.003324948	146849	152268	2016/12/16  8:02:26.584	5.42	22.1	28.9	4.9	22.5	27.3		Bm.Ant-A
2	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	7359.448350971	7364.813149135	159713	165078	2016/12/16  8:02:39.448	5.365	22.9	28.9	4.6	23.4	27.3		Bm.Ant-A
3	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	7398.578971597	7404.764912336	198844	205030	2016/12/16  8:03:18.579	6.186	22.5	28.7	5.2	23.4	28.3		Bm.Ant-A
4	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	7643.276451562	7647.765364311	443541	448030	2016/12/16  8:07:23.276	4.489	22.9	28.7	3.2	24.4	27.3		Bm.Ant-A
5	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8047.281097408	8051.441553127	847546	851707	2016/12/16  8:14:07.281	4.16	23.0	28.5	3.4	23.4	27.3		Bm.Ant-A
6	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8087.889760943	8091.995473823	888155	892260	2016/12/16  8:14:48.890	4.106	23.5	27.9	3.2	24.4	26.4		Bm.Ant-A
7	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8107.432954254	8112.578781064	907698	912844	2016/12/16  8:15:07.433	5.146	22.2	28.5	4.5	22.5	26.4		Bm.Ant-A
8	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8406.79551711	8411.174944183	1207061	1211440	2016/12/16  8:20:07.796	4.379	22.2	28.5	3.4	22.5	28.3		Bm.Ant-A
9	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8351.709081454	8356.252737041	1151974	1156518	2016/12/16  8:19:11.709	4.544	22.7	28.4	3.4	23.4	27.3		Bm.Ant-A
10	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8508.447724734	8515.158076924	1308713	1315423	2016/12/16  8:21:48.448	6.71	23.1	27.4	5.5	23.4	26.4		Bm.Ant-A
11	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8704.325903517	8710.128644388	1504591	1510394	2016/12/16  8:25:04.326	5.803	23.7	27.8	4.0	24.4	26.4		Bm.Ant-A
12	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	9248.046297918	9252.754182021	2048311	2053019	2016/12/16  8:34:08.046	4.708	23.3	27.4	3.4	24.4	26.4		Bm.Ant-A
13	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	10297.871321996	10303.838291383	3098136	3104103	2016/12/16  8:51:38.871	5.967	22.9	28.4	4.6	23.4	27.3		Bm.Ant-A
14	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	10417.555236615	10423.741177355	3217820	3224006	2016/12/16  8:53:37.555	6.186	23.9	27.8	4.6	24.4	27.3		Bm.Ant-A
15	Spectrogram 1	1	20161223_100000.wav	20161223_100000.wav	23128.379234223	23132.19807033	1529174	1532993	2016/12/23  10:25:29.379	3.819	23.3	28.5	3.4	23.4	27.3		Bm.Ant-A
16	Spectrogram 1	1	20161223_100000.wav	20161223_100000.wav	23152.827937969	23158.059220308	1553623	1558854	2016/12/23  10:25:53.828	5.231	23.5	28.0	4.0	24.4	27.3		Bm.Ant-A
17	Spectrogram 1	1	20161223_100000.wav	20161223_100000.wav	24904.326600065	24908.8778157	3305122	3309673	2016/12/23  10:55:05.327	4.551	23.9	27.2	3.4	24.4	26.4		Bm.Ant-A
18	Spectrogram 1	1	20161225_050000.wav	20161225_050000.wav	26541.545851453	26545.52162603	1342484	1346460	2016/12/25  5:22:22.546	3.976	23.7	27.8	3.1	24.4	27.3		Bm.Ant-A
19	Spectrogram 1	1	20161225_050000.wav	20161225_050000.wav	26957.162090477	26961.137865054	1758100	1762076	2016/12/25  5:29:18.162	3.976	23.9	28.0	2.9	24.4	27.3		Bm.Ant-A
20	Spectrogram 1	1	20161226_230000.wav	20161226_230000.wav	30558.158386748	30564.854428141	1759218	1765914	2016/12/26  23:29:19.158	6.696	22.8	28.1	5.7	23.4	27.3		Bm.Ant-A
21	Spectrogram 1	1	20161226_230000.wav	20161226_230000.wav	30803.096343744	30807.699872202	2004156	2008760	2016/12/26  23:33:24.096	4.604	23.1	27.8	3.8	24.4	26.4		Bm.Ant-A
22	Spectrogram 1	1	20170111_210000.wav	20170111_210000.wav	61251.542264441	61260.592382887	53805	62855	2017/1/11  21:00:53.542	9.05	23.0	28.3	7.4	23.4	26.4		Bm.Ant-A
23	Spectrogram 1	1	20170113_160000.wav	20170113_160000.wav	65828.657185502	65833.313026783	1031063	1035719	2017/1/13  16:17:11.657	4.656	23.3	27.4	3.5	23.4	26.4		Bm.Ant-A
24	Spectrogram 1	1	20170113_160000.wav	20170113_160000.wav	65889.001539632	65894.023570677	1091408	1096430	2017/1/13  16:18:11.002	5.022	23.0	27.6	3.8	23.4	26.4		Bm.Ant-A
25	Spectrogram 1	1	20170113_160000.wav	20170113_160000.wav	66502.664940491	66514.906141163	1705071	1717312	2017/1/13  16:28:25.665	12.241	22.6	28.1	10.3	23.4	27.3		Bm.Ant-A
26	Spectrogram 1	1	20170113_160000.wav	20170113_160000.wav	66573.933511349	66578.066224396	1776340	1780472	2017/1/13  16:29:36.934	4.133	23.1	27.0	2.9	24.4	26.4		Bm.Ant-A
27	Spectrogram 1	1	20170113_160000.wav	20170113_160000.wav	66565.615772431	66569.853111125	1768022	1772259	2017/1/13  16:29:28.616	4.237	23.0	28.0	3.2	23.4	27.3		Bm.Ant-A
28	Spectrogram 1	1	20170113_160000.wav	20170113_160000.wav	66954.701702192	66958.83441524	2157108	2161240	2017/1/13  16:35:57.702	4.133	23.3	27.8	2.9	24.4	26.4		Bm.Ant-A
29	Spectrogram 1	1	20170113_160000.wav	20170113_160000.wav	66967.675282392	66973.011190377	2170081	2175417	2017/1/13  16:36:10.675	5.336	23.3	28.1	4.0	24.4	26.4		Bm.Ant-A
30	Spectrogram 1	1	20170113_160000.wav	20170113_160000.wav	66993.755973123	66999.510383695	2196162	2201916	2017/1/13  16:36:36.756	5.754	22.6	28.1	4.2	24.4	26.4		Bm.Ant-A
31	Spectrogram 1	1	20170113_160000.wav	20170113_160000.wav	67036.733486173	67042.069394158	2239139	2244475	2017/1/13  16:37:19.733	5.336	24.6	28.7	4.3	25.4	27.3		Bm.Ant-A
32	Spectrogram 1	1	20170113_160000.wav	20170113_160000.wav	67280.155387575	67286.903741791	2482561	2489310	2017/1/13  16:41:22.155	6.748	23.7	28.1	5.2	24.4	26.4		Bm.Ant-A
33	Spectrogram 1	1	20170117_040000.wav	20170117_040000.wav	73572.329297159	73577.61289232	1575000	1580284	2017/1/17  4:26:15.329	5.284	23.5	27.4	3.5	24.4	27.3		Bm.Ant-A
34	Spectrogram 1	1	20170117_040000.wav	20170117_040000.wav	73639.569272474	73643.597359875	1642240	1646268	2017/1/17  4:27:22.569	4.028	24.1	27.8	3.1	24.4	26.4		Bm.Ant-A
35	Spectrogram 1	1	20170117_040000.wav	20170117_040000.wav	73704.832158103	73708.912558327	1707503	1711584	2017/1/17  4:28:27.832	4.08	23.9	28.7	3.5	24.4	28.3		Bm.Ant-A
36	Spectrogram 1	1	20170117_040000.wav	20170117_040000.wav	73777.710214276	73782.836870967	1780381	1785508	2017/1/17  4:29:40.710	5.127	23.7	27.2	3.7	24.4	26.4		Bm.Ant-A
37	Spectrogram 1	1	20170117_040000.wav	20170117_040000.wav	75018.523544783	75022.708570654	3021195	3025380	2017/1/17  4:50:21.524	4.185	23.7	28.5	3.5	25.4	28.3		Bm.Ant-A
38	Spectrogram 1	1	20170117_040000.wav	20170117_040000.wav	75025.219586176	75029.2999864	3027891	3031971	2017/1/17  4:50:27.220	4.08	23.5	28.1	3.4	24.4	27.3		Bm.Ant-A
39	Spectrogram 1	1	20170124_060000.wav	20170124_060000.wav	87498.364917059	87507.205784211	1101608	1110449	2017/1/24  6:18:21.365	8.841	23.7	28.0	6.8	24.4	26.4		Bm.Ant-A
40	Spectrogram 1	1	20170124_060000.wav	20170124_060000.wav	88088.908302184	88095.865907694	1692151	1699109	2017/1/24  6:28:12.908	6.958	23.5	27.6	5.1	24.4	26.4		Bm.Ant-A
41	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	90190.612487582	90195.634518627	193977	199000	2017/1/26  1:03:13.612	5.022	23.9	28.5	4.3	24.4	28.3		Bm.Ant-A
42	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	90240.989736501	90246.430270133	244355	249795	2017/1/26  1:04:04.990	5.441	23.9	27.4	4.6	24.4	26.4		Bm.Ant-A
43	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	90449.863345665	90457.448705056	453228	460814	2017/1/26  1:07:33.863	7.585	23.3	27.8	6.2	23.4	26.4		Bm.Ant-A
44	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	90585.232243424	90594.020797752	588597	597386	2017/1/26  1:09:48.232	8.789	23.9	27.6	7.2	24.4	26.4		Bm.Ant-A
45	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	90623.159040377	90629.018076596	626524	632383	2017/1/26  1:10:26.159	5.859	23.9	27.8	4.8	24.4	27.3		Bm.Ant-A
46	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	90853.960776082	90862.43545347	857326	865800	2017/1/26  1:14:17.961	8.475	23.9	28.0	5.9	24.4	26.4		Bm.Ant-A
