Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	From	Tags
1	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	7280.346200154	7287.35328347	80611	87618	2016/12/16  8:01:20.346	7.007	21.1	28.3	5.2	22.5	26.4		Bm.Ant-B
2	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	7860.31958802	7864.589529416	660585	664855	2016/12/16  8:11:00.320	4.27	20.6	29.6	3.7	21.5	28.3		Bm.Ant-B
3	Spectrogram 1	1	20161219_210000.wav	20161219_210000.wav	14640.330115907	14644.148952014	240881	244700	2016/12/19  21:04:00.330	3.819	22.2	28.0	3.2	23.4	27.3		Bm.Ant-B
4	Spectrogram 1	1	20161225_050000.wav	20161225_050000.wav	27756.569577991	27758.87134222	2557508	2559809	2016/12/25  5:42:37.570	2.302	50.2	78.1	1.8	52.7	73.2		Bm.Ant-B
6	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	90652.220889174	90660.277063975	655586	663642	2017/1/26  1:10:55.221	8.056	21.3	27.2	6.2	22.5	26.4		Bm.Ant-B
7	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	90723.018191388	90729.086478901	726383	732451	2017/1/26  1:12:06.018	6.068	21.9	27.4	4.8	23.4	26.4		Bm.Ant-B
8	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	90786.648128657	90793.239544403	790013	796605	2017/1/26  1:13:10.648	6.591	21.1	27.6	4.8	22.5	26.4		Bm.Ant-B
9	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91103.775021579	91109.843309092	1107140	1113208	2017/1/26  1:18:27.775	6.068	20.6	27.2	4.6	22.5	26.4		Bm.Ant-B
10	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91171.620976881	91178.683208038	1174986	1182048	2017/1/26  1:19:34.621	7.062	21.1	27.4	5.4	23.4	26.4		Bm.Ant-B
11	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91238.431871642	91248.162056791	1241797	1251527	2017/1/26  1:20:41.432	9.73	20.6	27.6	7.1	22.5	26.4		Bm.Ant-B
12	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91312.106324234	91320.685627269	1315471	1324051	2017/1/26  1:21:55.106	8.579	21.5	28.1	7.4	23.4	26.4		Bm.Ant-B
14	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91585.616246156	91590.115148967	1588981	1593480	2017/1/26  1:26:28.616	4.499	20.7	27.4	3.4	23.4	26.4		Bm.Ant-B
15	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91650.250650129	91655.586558114	1653616	1658952	2017/1/26  1:27:33.251	5.336	21.7	28.0	3.7	23.4	26.4		Bm.Ant-B
16	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91936.294672418	91943.095339458	1939660	1946460	2017/1/26  1:32:19.295	6.801	22.6	27.4	5.4	24.4	26.4		Bm.Ant-B
17	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	92004.507037118	92011.987770862	2007872	2015353	2017/1/26  1:33:27.507	7.481	21.1	27.8	5.4	22.5	26.4		Bm.Ant-B
18	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	92071.390782679	92078.086824072	2074756	2081452	2017/1/26  1:34:34.391	6.696	21.5	28.0	4.8	23.4	26.4		Bm.Ant-B
19	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	94712.731202163	94720.26424873	1116239	1123772	2017/1/27  19:18:36.731	7.533	16.9	27.2	6.5	17.6	26.4		Bm.Ant-B
20	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	95210.045208576	95216.427373029	1613553	1619935	2017/1/27  19:26:53.045	6.382	21.7	27.4	5.7	22.5	26.4		Bm.Ant-B
21	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	95573.20411759	95580.475600041	1976712	1983984	2017/1/27  19:32:56.204	7.271	22.2	28.0	6.3	22.5	27.3		Bm.Ant-B
22	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	95692.607397119	95703.959279794	2096115	2107467	2017/1/27  19:34:56.607	11.352	16.7	27.4	9.9	17.6	26.4		Bm.Ant-B
26	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	96705.264210645	96713.425011093	3108772	3116933	2017/1/27  19:51:48.264	8.161	21.1	27.6	6.6	21.5	27.3	Bm Ant-A	Bm.Ant-B
27	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	97816.201434867	97822.635912143	619852	626287	2017/1/29  14:10:19.201	6.434	21.3	27.4	5.4	22.5	27.3		Bm.Ant-B
28	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	101554.937504144	101563.516807179	758732	767311	2017/1/31  8:12:38.938	8.579	21.9	28.0	6.6	23.4	26.4	Bm Ant-A	Bm.Ant-B
29	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	104592.8849488	104602.248944185	196822	206186	2017/2/2  3:03:16.885	9.364	21.3	27.2	7.5	21.5	26.4		Bm.Ant-B
30	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	104632.44084885	104638.875326127	236378	242812	2017/2/2  3:03:56.441	6.434	21.5	27.8	5.2	23.4	26.4		Bm.Ant-B
31	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	104655.249239846	104662.677660766	259186	266615	2017/2/2  3:04:19.249	7.428	21.5	28.0	6.0	22.5	26.4		Bm.Ant-B
32	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	106574.369291217	106583.419409663	2178306	2187356	2017/2/2  3:36:18.369	9.05	17.2	28.1	7.7	18.6	26.4	Bm Ant-A	Bm.Ant-B
33	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112045.250255524	112055.032753496	449473	459256	2017/2/5  15:07:29.250	9.782	19.4	27.4	6.6	21.5	26.4		Bm.Ant-B
34	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112087.056101395	112094.955337726	491279	499178	2017/2/5  15:08:11.056	7.899	19.3	27.6	6.3	20.5	26.4		Bm.Ant-B
35	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112152.516987482	112158.794526288	556740	563018	2017/2/5  15:09:16.517	6.278	21.9	27.6	5.2	22.5	27.3		Bm.Ant-B
36	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112160.050034049	112166.746075442	564273	570969	2017/2/5  15:09:24.050	6.696	19.4	27.4	5.9	19.5	26.4		Bm.Ant-B
37	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112278.983171035	112286.359279132	683206	690582	2017/2/5  15:11:23.983	7.376	21.7	26.7	6.5	22.5	26.4		Bm.Ant-B
38	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112327.107645154	112336.31470207	731331	740538	2017/2/5  15:12:11.108	9.207	20.6	28.0	7.5	22.5	26.4		Bm.Ant-B
39	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112350.491477207	112356.55976472	754714	760783	2017/2/5  15:12:34.491	6.068	20.6	27.4	5.1	22.5	27.3		Bm.Ant-B
40	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112605.734607176	112612.587587039	1009958	1016811	2017/2/5  15:16:49.735	6.853	19.3	27.4	5.5	21.5	26.4		Bm.Ant-B
41	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112621.219202898	112629.223064875	1025442	1033446	2017/2/5  15:17:05.219	8.004	20.6	27.0	6.2	21.5	26.4		Bm.Ant-B
42	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112741.250236307	112746.690769939	1145473	1150914	2017/2/5  15:19:05.250	5.441	21.1	27.2	4.8	21.5	26.4		Bm.Ant-B
43	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112782.731544907	112793.874176288	1186955	1198097	2017/2/5  15:19:46.732	11.143	21.3	27.2	8.6	22.5	26.4		Bm.Ant-B
44	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112920.517492872	112931.189308842	1324740	1335412	2017/2/5  15:22:04.517	10.672	20.7	27.8	8.3	22.5	26.4		Bm.Ant-B
45	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	112993.500682833	113000.87679093	1397724	1405100	2017/2/5  15:23:17.501	7.376	20.9	27.8	5.9	22.5	26.4		Bm.Ant-B
46	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	113091.91757646	113100.706130788	1496141	1504929	2017/2/5  15:24:56.918	8.789	21.1	27.8	6.8	22.5	26.4		Bm.Ant-B
47	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	113836.891949069	113843.483364815	2241115	2247706	2017/2/5  15:37:21.892	6.591	20.7	27.4	5.5	21.5	26.4		Bm.Ant-B
48	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	114059.52399551	114066.847790783	2463747	2471071	2017/2/5  15:41:03.524	7.324	20.9	27.6	5.2	22.5	26.4		Bm.Ant-B
49	Spectrogram 1	1	20170205_150000.wav	20170205_150000.wav	114124.817708575	114133.449324433	2529041	2537672	2017/2/5  15:42:09.818	8.632	20.6	27.4	6.8	21.5	26.4		Bm.Ant-B
50	Spectrogram 1	1	20170214_120000.wav	20170214_120000.wav	132345.451578267	132354.083194125	2750369	2759000	2017/2/14  12:45:50.452	8.632	20.0	27.6	6.8	21.5	26.4		Bm.Ant-B
51	Spectrogram 1	1	20170214_120000.wav	20170214_120000.wav	132472.242271637	132479.879943851	2877159	2884797	2017/2/14  12:47:57.242	7.638	19.8	27.6	6.0	21.5	26.4		Bm.Ant-B
52	Spectrogram 1	1	20170219_190000.wav	20170219_190000.wav	141252.401516115	141261.974762794	857748	867321	2017/2/19  19:14:17.402	9.573	20.9	27.6	8.0	21.5	26.4	Bm Ant-A	Bm.Ant-B
53	Spectrogram 1	1	20170219_190000.wav	20170219_190000.wav	141430.727704909	141439.359320767	1036074	1044705	2017/2/19  19:17:16.728	8.632	21.3	27.6	6.8	21.5	26.4		Bm.Ant-B
54	Spectrogram 1	1	20170219_190000.wav	20170219_190000.wav	141650.233194157	141656.77229708	1255579	1262118	2017/2/19  19:20:55.233	6.539	21.3	27.4	5.4	21.5	27.3		Bm.Ant-B
56	Spectrogram 1	1	20170219_190000.wav	20170219_190000.wav	141971.243371969	141979.718049358	1576589	1585064	2017/2/19  19:26:16.243	8.475	21.9	28.1	6.6	23.4	26.4	Bm Ant-A	Bm.Ant-B
