Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	From	Tags
1	Spectrogram 1	1	20170403_060000.wav	20170403_060000.wav	227871.764351286	227880.500592792	1080458	1089195	2017/4/3  6:18:00.764	8.736	15.6	27.1	7.5	16.6	26.4	Bm.Ant-B	Bm.Ant-Z
2	Spectrogram 1	1	20170503_070000.wav	20170503_070000.wav	289478.821646562	289493.678488403	1489884	1504740	2017/5/3  7:24:49.822	14.857	16.6	27.3	12.3	17.6	26.4		Bm.Ant-Z
3	Spectrogram 1	1	20170403_060000.wav	20170403_060000.wav	229328.503397381	229340.116844173	2537197	2548811	2017/4/3  6:42:17.503	11.613	16.6	27.3	9.7	17.6	26.4	Bm Ant-A	Bm.Ant-Z
4	Spectrogram 1	1	20170420_220000.wav	20170420_220000.wav	264381.821311036	264398.352163225	1591924	1608455	2017/4/20  22:26:31.821	16.531	16.2	27.5	13.9	17.6	26.4		Bm.Ant-Z
5	Spectrogram 1	1	20170420_220000.wav	20170420_220000.wav	265171.41452573	265183.655726402	2381518	2393759	2017/4/20  22:39:41.415	12.241	16.6	27.5	9.7	17.6	26.4		Bm.Ant-Z
6	Spectrogram 1	1	20170503_070000.wav	20170503_070000.wav	287998.23914893	288012.834426655	9301	23896	2017/5/3  7:00:09.239	14.595	16.2	27.5	12.3	17.6	26.4		Bm.Ant-Z
7	Spectrogram 1	1	20170503_070000.wav	20170503_070000.wav	288406.763428008	288417.382931155	417825	428445	2017/5/3  7:06:57.763	10.62	16.2	27.5	8.3	17.6	26.4		Bm.Ant-Z
8	Spectrogram 1	1	20170515_170000.wav	20170515_170000.wav	314155.20559573	314165.929724524	967206	977930	2017/5/15  17:16:07.206	10.724	16.4	27.5	8.6	17.6	26.4		Bm.Ant-Z
9	Spectrogram 1	1	20170419_040000.wav	20170419_040000.wav	260565.185099632	260575.647664309	1375145	1385608	2017/4/19  4:22:55.185	10.463	17.3	27.5	8.6	17.6	26.4		Bm.Ant-Z
10	Spectrogram 1	1	20170406_190000.wav	20170406_190000.wav	235019.327778888	235028.901025567	1028308	1037881	2017/4/6  19:17:08.328	9.573	16.3	27.5	7.7	17.6	26.4		Bm.Ant-Z
11	Spectrogram 1	1	20170302_100000.wav	20170302_100000.wav	165421.629694244	165434.760212913	3427813	3440943	2017/3/2  10:57:07.630	13.131	17.4	27.6	10.2	18.6	26.4		Bm.Ant-Z
12	Spectrogram 1	1	20170302_100000.wav	20170302_100000.wav	164471.117974189	164483.04529792	2477301	2489228	2017/3/2  10:41:17.118	11.927	17.0	27.6	9.7	18.6	26.4		Bm.Ant-Z
13	Spectrogram 1	1	20170302_100000.wav	20170302_100000.wav	165223.718713268	165239.883375694	3229902	3246066	2017/3/2  10:53:49.719	16.165	16.3	27.6	11.2	18.6	26.4		Bm.Ant-Z
14	Spectrogram 1	1	20170302_100000.wav	20170302_100000.wav	164624.032906079	164638.209681216	2630216	2644393	2017/3/2  10:43:50.033	14.177	16.3	27.6	10.3	18.6	26.4		Bm.Ant-Z
15	Spectrogram 1	1	20170521_000000.wav	20170521_000000.wav	324237.718492664	324252.993837092	250147	265423	2017/5/21  0:04:10.718	15.275	15.3	27.7	11.7	17.6	26.4		Bm.Ant-Z
16	Spectrogram 1	1	20170521_000000.wav	20170521_000000.wav	326130.058375192	326144.496714446	2142487	2156926	2017/5/21  0:35:42.058	14.438	16.2	27.7	11.4	17.6	26.4		Bm.Ant-Z
17	Spectrogram 1	1	20170420_220000.wav	20170420_220000.wav	265303.64524459	265317.508142787	2513748	2527611	2017/4/20  22:41:53.645	13.863	16.4	27.7	10.0	17.6	26.4		Bm.Ant-Z
18	Spectrogram 1	1	20170420_220000.wav	20170420_220000.wav	263495.704424365	263512.601466318	705807	722704	2017/4/20  22:11:45.704	16.897	16.2	27.7	12.3	17.6	26.4		Bm.Ant-Z
19	Spectrogram 1	1	20170521_000000.wav	20170521_000000.wav	325872.608091724	325889.5574465	1885037	1901986	2017/5/21  0:31:25.608	16.949	16.0	27.7	12.3	17.6	26.4		Bm.Ant-Z
20	Spectrogram 1	1	20170420_220000.wav	20170420_220000.wav	264516.363245991	264529.859954424	1726466	1739963	2017/4/20  22:28:46.363	13.497	16.0	27.7	10.8	17.6	26.4	Bm.Ant-B	Bm.Ant-Z
21	Spectrogram 1	1	20170521_000000.wav	20170521_000000.wav	325741.137640564	325757.851587635	1753567	1770281	2017/5/21  0:29:13.138	16.714	17.0	27.7	10.3	18.6	26.4	Bm.Ant-B	Bm.Ant-Z
22	Spectrogram 1	1	20170521_000000.wav	20170521_000000.wav	324175.215905828	324191.746758018	187645	204176	2017/5/21  0:03:07.216	16.531	16.8	27.7	12.3	17.6	26.4		Bm.Ant-Z
23	Spectrogram 1	1	20170515_170000.wav	20170515_170000.wav	316049.364351908	316064.587383512	2861364	2876587	2017/5/15  17:47:41.364	15.223	16.2	27.7	12.5	17.6	26.4		Bm.Ant-Z
24	Spectrogram 1	1	20170420_220000.wav	20170420_220000.wav	264707.003142841	264729.86384666	1917106	1939967	2017/4/20  22:31:57.003	22.861	16.2	27.7	17.4	17.6	26.4	Bm.Ant-B	Bm.Ant-Z
25	Spectrogram 1	1	20170420_220000.wav	20170420_220000.wav	263560.725940437	263581.808008261	770829	791911	2017/4/20  22:12:50.726	21.082	16.4	27.7	16.6	17.6	26.4		Bm.Ant-Z
26	Spectrogram 1	1	20170515_170000.wav	20170515_170000.wav	314793.151200181	314807.171036848	1605151	1619171	2017/5/15  17:26:45.151	14.02	16.4	27.7	11.9	17.6	26.4	Bm.Ant-B	Bm.Ant-Z
27	Spectrogram 1	1	20170515_170000.wav	20170515_170000.wav	315837.183275893	315851.255425383	2649183	2663255	2017/5/15  17:44:09.183	14.072	16.0	27.7	9.7	18.6	26.4		Bm.Ant-Z
28	Spectrogram 1	1	20170406_190000.wav	20170406_190000.wav	235180.140312866	235189.818185192	1189120	1198798	2017/4/6  19:19:49.140	9.678	16.9	27.7	7.5	17.6	26.4		Bm.Ant-Z
29	Spectrogram 1	1	20170406_190000.wav	20170406_190000.wav	235511.48458968	235521.84252871	1520465	1530823	2017/4/6  19:25:20.485	10.358	16.7	27.7	9.2	17.6	26.4		Bm.Ant-Z
30	Spectrogram 1	1	20170408_130000.wav	20170408_130000.wav	238488.154512422	238497.100005221	897278	906223	2017/4/8  13:14:57.155	8.945	17.3	27.7	7.5	17.6	26.4	Bm Ant-A	Bm.Ant-Z
31	Spectrogram 1	1	20170302_100000.wav	20170302_100000.wav	164262.379474691	164289.634455674	2268562	2295817	2017/3/2  10:37:48.379	27.255	15.7	27.8	20.9	18.6	26.4		Bm.Ant-Z
32	Spectrogram 1	1	20170302_100000.wav	20170302_100000.wav	164812.641766176	164824.882966848	2818825	2831066	2017/3/2  10:46:58.642	12.241	17.4	27.8	8.8	18.6	26.4		Bm.Ant-Z
33	Spectrogram 1	1	20170302_100000.wav	20170302_100000.wav	164753.18571376	164775.732540638	2759369	2781916	2017/3/2  10:45:59.186	22.547	16.3	27.8	14.0	18.6	26.4		Bm.Ant-Z
34	Spectrogram 1	1	20170302_100000.wav	20170302_100000.wav	165161.909091942	165177.550626133	3168092	3183734	2017/3/2  10:52:48.909	15.642	16.9	27.8	10.6	18.6	26.4		Bm.Ant-Z
35	Spectrogram 1	1	20170302_100000.wav	20170302_100000.wav	165106.533439749	165112.130911851	3112716	3118314	2017/3/2  10:51:52.533	5.597	17.0	27.8	4.8	18.6	26.4		Bm.Ant-Z
36	Spectrogram 1	1	20170503_070000.wav	20170503_070000.wav	288744.13265069	288755.275282071	755195	766337	2017/5/3  7:12:35.133	11.143	15.9	27.8	9.7	17.6	26.4		Bm.Ant-Z
37	Spectrogram 1	1	20170420_220000.wav	20170420_220000.wav	265236.939085293	265251.220486077	2447042	2461323	2017/4/20  22:40:47.939	14.281	16.6	27.8	10.5	17.6	26.4		Bm.Ant-Z
38	Spectrogram 1	1	20170521_000000.wav	20170521_000000.wav	326260.802959428	326275.712114092	2273232	2288141	2017/5/21  0:37:53.803	14.909	15.9	27.8	12.0	17.6	26.4		Bm.Ant-Z
39	Spectrogram 1	1	20170420_220000.wav	20170420_220000.wav	265573.430048633	265588.548454591	2783533	2798651	2017/4/20  22:46:23.430	15.118	16.2	27.8	11.5	17.6	26.4		Bm.Ant-Z
40	Spectrogram 1	1	20170521_000000.wav	20170521_000000.wav	324833.469051668	324850.366093621	845898	862795	2017/5/21  0:14:05.469	16.897	16.4	27.8	10.0	18.6	26.4		Bm.Ant-Z
41	Spectrogram 1	1	20170330_170000.wav	20170330_170000.wav	220457.772012871	220473.256608593	866201	881686	2017/3/30  17:14:26.772	15.485	16.2	27.9	10.8	17.6	26.4		Bm.Ant-Z
42	Spectrogram 1	1	20170403_060000.wav	20170403_060000.wav	227805.486764402	227816.26320602	1014181	1024957	2017/4/3  6:16:54.487	10.776	16.7	27.9	8.9	17.6	26.4		Bm.Ant-Z
43	Spectrogram 1	1	20170330_170000.wav	20170330_170000.wav	220394.644446226	220412.169242059	803073	820598	2017/3/30  17:13:23.644	17.525	16.2	27.9	12.5	17.6	26.4		Bm.Ant-Z
44	Spectrogram 1	1	20170406_190000.wav	20170406_190000.wav	234742.815268421	234757.829048733	751795	766809	2017/4/6  19:12:31.815	15.014	17.1	27.9	12.3	18.6	26.4		Bm.Ant-Z
45	Spectrogram 1	1	20170330_170000.wav	20170330_170000.wav	220329.036746403	220347.555485881	737466	755984	2017/3/30  17:12:17.037	18.519	16.5	27.9	12.9	18.6	26.4		Bm.Ant-Z
46	Spectrogram 1	1	20170302_100000.wav	20170302_100000.wav	165487.321042468	165501.916320192	3493504	3508099	2017/3/2  10:58:13.321	14.595	16.7	28.0	10.3	19.5	26.4		Bm.Ant-Z
47	Spectrogram 1	1	20170302_100000.wav	20170302_100000.wav	165198.503932397	165215.08709741	3204687	3221270	2017/3/2  10:53:24.504	16.583	16.5	28.0	11.7	18.6	26.4		Bm.Ant-Z
