Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	From	Tags
1	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	7433.397425556	7436.353538829	233662	236619	2016/12/16  8:03:53.397	2.956	33.0	70.7	1.8	35.2	62.5		Bm.D
2	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	7628.003199646	7631.014055759	428268	431279	2016/12/16  8:07:08.003	3.011	30.3	62.5	2.3	33.2	57.6		Bm.D
3	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	7742.715901261	7745.726757373	542981	545992	2016/12/16  8:09:02.716	3.011	31.9	70.3	2.2	34.2	63.5		Bm.D
4	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	7934.721076704	7938.334104039	734986	738599	2016/12/16  8:12:14.721	3.613	36.8	75.2	2.2	39.1	69.3		Bm.D
5	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8211.24654229	8214.147912726	1011512	1014413	2016/12/16  8:16:51.247	2.901	34.5	68.0	2.5	36.1	63.5		Bm.D
6	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8476.755565869	8479.930650497	1277021	1280196	2016/12/16  8:21:17.756	3.175	39.8	70.7	2.2	42.0	64.5		Bm.D
7	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8713.577443208	8717.847384603	1513842	1518112	2016/12/16  8:25:13.577	4.27	33.1	64.1	3.7	35.2	61.5		Bm.D
8	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8705.366017447	8709.854930196	1505631	1510120	2016/12/16  8:25:05.366	4.489	32.7	66.0	4.0	34.2	62.5		Bm.D
9	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8785.400757205	8789.396984409	1585666	1589662	2016/12/16  8:26:25.401	3.996	35.1	71.1	2.3	39.1	63.5		Bm.D
10	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	8850.974163786	8853.711305707	1651239	1653976	2016/12/16  8:27:31.974	2.737	43.5	69.0	1.8	45.9	65.4		Bm.D
11	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	9000.918226931	9004.421768589	1801183	1804687	2016/12/16  8:30:01.918	3.504	32.7	66.4	2.6	34.2	63.5		Bm.D
12	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	9229.926418406	9234.415331155	2030191	2034680	2016/12/16  8:33:50.926	4.489	34.9	71.5	3.1	38.1	65.4		Bm.D
13	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	9609.245104499	9612.146474935	2409510	2412411	2016/12/16  8:40:09.245	2.901	35.5	68.4	1.7	38.1	61.5		Bm.D
14	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	9757.787608979	9760.962693607	2558053	2561228	2016/12/16  8:42:38.788	3.175	34.9	73.5	2.5	37.1	67.4		Bm.D
