Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302833.53693325	302834.792441011	445129	446384	2017/5/10  9:07:25.537	1.256	15.1	29.1	1.1	16.6	27.3	Bp.20Hz
2	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302810.623916608	302812.297926956	422216	423890	2017/5/10  9:07:02.624	1.674	15.9	28.6	1.2	17.6	27.3	Bp.20Hz
3	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303041.940235146	303043.823496788	653532	655415	2017/5/10  9:10:53.940	1.883	15.1	31.2	1.5	16.6	27.3	Bp.20Hz
4	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303339.07412276	303340.225004874	950666	951817	2017/5/10  9:15:50.074	1.151	14.7	31.2	0.9	16.6	26.4	Bp.20Hz
5	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303340.591194638	303342.108266516	952183	953700	2017/5/10  9:15:52.591	1.517	15.1	30.1	1.2	16.6	26.4	Bp.20Hz
6	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303373.914463134	303375.431535012	985506	987024	2017/5/10  9:16:25.914	1.517	14.9	29.3	1.1	16.6	27.3	Bp.20Hz
7	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303384.259462177	303385.671908409	995851	997264	2017/5/10  9:16:35.259	1.412	14.6	28.8	0.9	16.6	26.4	Bp.20Hz
8	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303418.00123326	303419.361366668	1029593	1030953	2017/5/10  9:17:09.001	1.36	14.2	30.6	1.1	15.6	27.3	Bp.20Hz
9	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303428.481905021	303430.260541016	1040074	1041853	2017/5/10  9:17:20.482	1.779	14.2	28.9	1.4	16.6	26.4	Bp.20Hz
10	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303452.755055071	303454.219814126	1064347	1065812	2017/5/10  9:17:44.755	1.465	14.7	28.8	1.1	15.6	26.4	Bp.20Hz
11	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303463.740747982	303464.996255743	1075333	1076588	2017/5/10  9:17:55.741	1.256	14.4	28.2	1.1	16.6	26.4	Bp.20Hz
12	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303576.605034405	303578.017480636	1188197	1189609	2017/5/10  9:19:48.605	1.412	14.9	28.6	0.9	16.6	27.3	Bp.20Hz
13	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303599.704292528	303601.4306157	1211296	1213023	2017/5/10  9:20:11.704	1.726	15.3	30.2	1.4	16.6	26.4	Bp.20Hz
14	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303610.114544382	303611.683929083	1221707	1223276	2017/5/10  9:20:21.115	1.569	14.2	28.9	1.2	15.6	26.4	Bp.20Hz
15	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303685.117176844	303686.791187192	1296709	1298383	2017/5/10  9:21:36.117	1.674	14.9	31.5	1.2	16.6	26.4	Bp.20Hz
16	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303717.655752989	303719.06819922	1329248	1330660	2017/5/10  9:22:09.656	1.412	14.2	29.9	0.9	16.6	26.4	Bp.20Hz
17	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303857.083647947	303858.548407002	1468676	1470140	2017/5/10  9:24:28.084	1.465	14.7	29.9	1.2	16.6	26.4	Bp.20Hz
18	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304082.80204115	304084.005236088	1694394	1695597	2017/5/10  9:28:14.802	1.203	15.3	29.7	0.9	16.6	26.4	Bp.20Hz
19	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304126.889937377	304127.883881021	1738482	1739476	2017/5/10  9:28:58.890	0.994	16.2	29.3	0.9	16.6	27.3	Bp.20Hz
20	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304137.404814877	304138.398758522	1748997	1749991	2017/5/10  9:29:08.405	0.994	14.4	29.5	0.8	15.6	26.4	Bp.20Hz
21	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304147.530492801	304148.942939033	1759122	1760535	2017/5/10  9:29:19.530	1.412	14.2	30.8	1.1	16.6	26.4	Bp.20Hz
22	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304211.882684863	304213.295131095	1823475	1824887	2017/5/10  9:30:23.883	1.412	16.0	28.2	1.1	16.6	26.4	Bp.20Hz
23	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304255.530194792	304256.942641023	1867122	1868535	2017/5/10  9:31:07.530	1.412	14.4	28.8	1.2	16.6	26.4	Bp.20Hz
24	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304471.154245649	304472.671317527	2082746	2084263	2017/5/10  9:34:42.154	1.517	14.6	30.2	1.2	16.6	27.3	Bp.20Hz
25	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304481.355246209	304482.663066794	2092947	2094255	2017/5/10  9:34:52.355	1.308	16.0	28.9	0.9	17.6	27.3	Bp.20Hz
26	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304537.107885767	304538.729583292	2148700	2150322	2017/5/10  9:35:48.108	1.622	14.9	29.1	1.1	15.6	25.4	Bp.20Hz
27	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304538.834208939	304540.508219287	2150426	2152100	2017/5/10  9:35:50.834	1.674	15.9	28.6	1.5	16.6	26.4	Bp.20Hz
28	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304547.465824797	304549.035209498	2159058	2160627	2017/5/10  9:35:59.466	1.569	15.3	29.5	1.2	16.6	26.4	Bp.20Hz
29	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305040.540858273	305042.057930151	2652133	2653650	2017/5/10  9:44:12.541	1.517	14.9	28.9	1.2	16.6	26.4	Bp.20Hz
30	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305051.055735773	305052.938997415	2662648	2664531	2017/5/10  9:44:22.056	1.883	15.5	28.9	1.4	16.6	26.4	Bp.20Hz
31	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305069.679100898	305071.2484856	2681271	2682840	2017/5/10  9:44:41.679	1.569	14.7	29.1	1.1	16.6	26.4	Bp.20Hz
32	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305144.691185227	305145.842067342	2756283	2757434	2017/5/10  9:45:56.691	1.151	14.9	30.2	0.9	16.6	25.4	Bp.20Hz
33	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305296.664197789	305297.91970555	2908256	2909512	2017/5/10  9:48:28.664	1.256	15.1	31.7	1.1	16.6	27.3	Bp.20Hz
34	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305386.889752039	305388.197572624	2998482	2999790	2017/5/10  9:49:58.890	1.308	14.0	29.1	1.1	16.6	26.4	Bp.20Hz
35	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305388.668388034	305390.028521442	3000260	3001621	2017/5/10  9:50:00.668	1.36	14.7	36.0	1.2	16.6	32.2	Bp.20Hz
36	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305394.31817296	305395.625993544	3005910	3007218	2017/5/10  9:50:05.318	1.308	14.4	30.2	1.1	15.6	26.4	Bp.20Hz
37	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305723.443029155	305724.646224093	3335035	3336238	2017/5/10  9:55:35.443	1.203	15.1	28.4	0.9	16.6	26.4	Bp.20Hz
38	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305768.826932081	305770.396316783	3380419	3381988	2017/5/10  9:56:20.827	1.569	14.4	29.9	1.1	16.6	26.4	Bp.20Hz
39	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305855.463768945	305857.08546647	3467056	3468677	2017/5/10  9:57:47.464	1.622	14.7	28.9	1.1	16.6	26.4	Bp.20Hz
40	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305858.445599878	305860.276548697	3470038	3471869	2017/5/10  9:57:50.446	1.831	14.4	29.3	1.4	16.6	26.4	Bp.20Hz
41	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305917.849847613	305919.837734902	3529442	3531430	2017/5/10  9:58:49.850	1.988	14.6	28.6	1.5	16.6	25.4	Bp.20Hz
42	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302415.401416866	302416.709237451	26993	28301	2017/5/10  9:00:26.401	1.308	14.7	30.7	0.9	16.6	26.4	Bp.20Hz
43	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302492.380699509	302493.688520094	103973	105281	2017/5/10  9:01:43.381	1.308	15.8	28.2	0.9	17.6	25.4	Bp.20Hz
44	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302503.104828303	302504.151084771	114697	115743	2017/5/10  9:01:54.105	1.046	16.4	29.8	0.8	17.6	27.3	Bp.20Hz
45	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302526.331721886	302527.587229647	137924	139179	2017/5/10  9:02:17.332	1.256	14.4	29.8	1.1	16.6	27.3	Bp.20Hz
46	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302735.290229097	302736.441111212	346882	348033	2017/5/10  9:05:46.290	1.151	16.6	30.9	0.9	18.6	27.3	Bp.20Hz
47	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302778.634577325	302779.890085086	390227	391482	2017/5/10  9:06:30.635	1.256	15.6	31.1	0.9	17.6	28.3	Bp.20Hz
48	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302844.002061146	302844.943691967	455594	456536	2017/5/10  9:07:35.002	0.942	15.5	30.6	0.8	16.6	27.3	Bp.20Hz
49	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302851.064292303	302852.842928298	462656	464435	2017/5/10  9:07:42.064	1.779	15.6	30.7	1.2	16.6	26.4	Bp.20Hz
50	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302922.571554737	302923.722436851	534164	535314	2017/5/10  9:08:54.572	1.151	14.7	28.7	0.9	17.6	26.4	Bp.20Hz
51	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302966.124563753	302967.275445867	577717	578867	2017/5/10  9:09:37.125	1.151	15.1	28.2	0.9	16.6	26.4	Bp.20Hz
52	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303052.960582085	303054.26840267	664553	665860	2017/5/10  9:11:04.961	1.308	14.4	29.6	1.1	15.6	27.3	Bp.20Hz
53	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303117.501721063	303119.018792941	729094	730611	2017/5/10  9:12:09.502	1.517	15.1	29.8	1.1	16.6	27.3	Bp.20Hz
54	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303059.771882001	303061.236641056	671364	672829	2017/5/10  9:11:11.772	1.465	15.6	28.9	1.1	16.6	27.3	Bp.20Hz
55	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303510.027302273	303511.282810034	1121619	1122875	2017/5/10  9:18:41.027	1.256	14.7	29.8	0.9	16.6	25.4	Bp.20Hz
56	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303520.699118243	303522.006938828	1132291	1133599	2017/5/10  9:18:52.699	1.308	15.3	31.5	0.9	16.6	26.4	Bp.20Hz
57	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303653.744848748	303655.261920627	1265337	1266854	2017/5/10  9:21:05.745	1.517	14.7	29.8	1.4	16.6	26.4	Bp.20Hz
58	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303695.759973367	303697.120106775	1307352	1308712	2017/5/10  9:21:47.760	1.36	14.4	28.7	0.9	16.6	27.3	Bp.20Hz
59	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303716.161974487	303717.365169425	1327754	1328957	2017/5/10  9:22:07.162	1.203	15.1	29.1	0.8	16.6	27.3	Bp.20Hz
60	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303747.410837131	303748.352467952	1359003	1359944	2017/5/10  9:22:39.411	0.942	14.7	28.0	0.8	17.6	25.4	Bp.20Hz
65	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304008.304205259	304009.873589961	1619896	1621466	2017/5/10  9:26:59.304	1.569	14.7	28.7	1.2	16.6	25.4	Bp.20Hz
66	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304018.923708406	304020.597718755	1630516	1632190	2017/5/10  9:27:10.924	1.674	14.0	29.6	1.2	15.6	27.3	Bp.20Hz
67	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304050.677592201	304051.723848668	1662270	1663316	2017/5/10  9:27:42.678	1.046	14.0	30.0	0.8	16.6	26.4	Bp.20Hz
68	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304252.187470204	304253.652229259	1863779	1865244	2017/5/10  9:31:03.187	1.465	15.1	29.1	0.9	16.6	25.4	Bp.20Hz
