Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302833.53693325	302834.792441011	445129	446384	2017/5/10  9:07:25.537	1.256	15.1	29.1	1.1	16.6	27.3	Bp.20Plus
2	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302810.623916608	302812.297926956	422216	423890	2017/5/10  9:07:02.624	1.674	15.9	28.6	1.2	17.6	27.3	Bp.20Plus
3	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303041.940235146	303043.823496788	653532	655415	2017/5/10  9:10:53.940	1.883	15.1	31.2	1.5	16.6	27.3	Bp.20Plus
4	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303126.232666459	303127.592799867	737825	739185	2017/5/10  9:12:17.233	1.36	15.1	36.1	1.1	16.6	28.3	Bp.20Plus
5	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303339.07412276	303340.225004874	950666	951817	2017/5/10  9:15:50.074	1.151	14.7	31.2	0.9	16.6	26.4	Bp.20Plus
6	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303340.591194638	303342.108266516	952183	953700	2017/5/10  9:15:52.591	1.517	15.1	30.1	1.2	16.6	26.4	Bp.20Plus
9	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303418.00123326	303419.361366668	1029593	1030953	2017/5/10  9:17:09.001	1.36	14.2	30.6	1.1	15.6	27.3	Bp.20Plus
10	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303428.481905021	303430.260541016	1040074	1041853	2017/5/10  9:17:20.482	1.779	14.2	28.9	1.4	16.6	26.4	Bp.20Plus
11	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303452.755055071	303454.219814126	1064347	1065812	2017/5/10  9:17:44.755	1.465	14.7	28.8	1.1	15.6	26.4	Bp.20Plus
12	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303463.740747982	303464.996255743	1075333	1076588	2017/5/10  9:17:55.741	1.256	14.4	28.2	1.1	16.6	26.4	Bp.20Plus
13	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303576.605034405	303578.017480636	1188197	1189609	2017/5/10  9:19:48.605	1.412	14.9	28.6	0.9	16.6	27.3	Bp.20Plus
14	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303599.704292528	303601.4306157	1211296	1213023	2017/5/10  9:20:11.704	1.726	15.3	30.2	1.4	16.6	26.4	Bp.20Plus
15	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303610.114544382	303611.683929083	1221707	1223276	2017/5/10  9:20:21.115	1.569	14.2	28.9	1.2	15.6	26.4	Bp.20Plus
16	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303685.117176844	303686.791187192	1296709	1298383	2017/5/10  9:21:36.117	1.674	14.9	31.5	1.2	16.6	26.4	Bp.20Plus
17	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303717.655752989	303719.06819922	1329248	1330660	2017/5/10  9:22:09.656	1.412	14.2	29.9	0.9	16.6	26.4	Bp.20Plus
18	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	303857.083647947	303858.548407002	1468676	1470140	2017/5/10  9:24:28.084	1.465	14.7	29.9	1.2	16.6	26.4	Bp.20Plus
19	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304082.80204115	304084.005236088	1694394	1695597	2017/5/10  9:28:14.802	1.203	15.3	29.7	0.9	16.6	26.4	Bp.20Plus
20	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304126.889937377	304127.883881021	1738482	1739476	2017/5/10  9:28:58.890	0.994	16.2	29.3	0.9	16.6	27.3	Bp.20Plus
21	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304137.404814877	304138.398758522	1748997	1749991	2017/5/10  9:29:08.405	0.994	14.4	29.5	0.8	15.6	26.4	Bp.20Plus
22	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304147.530492801	304148.942939033	1759122	1760535	2017/5/10  9:29:19.530	1.412	14.2	30.8	1.1	16.6	26.4	Bp.20Plus
23	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304211.882684863	304213.295131095	1823475	1824887	2017/5/10  9:30:23.883	1.412	16.0	28.2	1.1	16.6	26.4	Bp.20Plus
24	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304255.530194792	304256.942641023	1867122	1868535	2017/5/10  9:31:07.530	1.412	14.4	28.8	1.2	16.6	26.4	Bp.20Plus
25	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304471.154245649	304472.671317527	2082746	2084263	2017/5/10  9:34:42.154	1.517	14.6	30.2	1.2	16.6	27.3	Bp.20Plus
26	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304481.355246209	304482.663066794	2092947	2094255	2017/5/10  9:34:52.355	1.308	16.0	28.9	0.9	17.6	27.3	Bp.20Plus
27	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304537.107885767	304538.729583292	2148700	2150322	2017/5/10  9:35:48.108	1.622	14.9	29.1	1.1	15.6	25.4	Bp.20Plus
28	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304538.834208939	304540.508219287	2150426	2152100	2017/5/10  9:35:50.834	1.674	15.9	28.6	1.5	16.6	26.4	Bp.20Plus
29	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304547.465824797	304549.035209498	2159058	2160627	2017/5/10  9:35:59.466	1.569	15.3	29.5	1.2	16.6	26.4	Bp.20Plus
30	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305040.540858273	305042.057930151	2652133	2653650	2017/5/10  9:44:12.541	1.517	14.9	28.9	1.2	16.6	26.4	Bp.20Plus
31	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305051.055735773	305052.938997415	2662648	2664531	2017/5/10  9:44:22.056	1.883	15.5	28.9	1.4	16.6	26.4	Bp.20Plus
32	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305069.679100898	305071.2484856	2681271	2682840	2017/5/10  9:44:41.679	1.569	14.7	29.1	1.1	16.6	26.4	Bp.20Plus
33	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305144.691185227	305145.842067342	2756283	2757434	2017/5/10  9:45:56.691	1.151	14.9	30.2	0.9	16.6	25.4	Bp.20Plus
34	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305296.664197789	305297.91970555	2908256	2909512	2017/5/10  9:48:28.664	1.256	15.1	31.7	1.1	16.6	27.3	Bp.20Plus
35	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305386.889752039	305388.197572624	2998482	2999790	2017/5/10  9:49:58.890	1.308	14.0	29.1	1.1	16.6	26.4	Bp.20Plus
36	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305388.668388034	305390.028521442	3000260	3001621	2017/5/10  9:50:00.668	1.36	14.7	36.0	1.2	16.6	32.2	Bp.20Plus
37	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305394.31817296	305395.625993544	3005910	3007218	2017/5/10  9:50:05.318	1.308	14.4	30.2	1.1	15.6	26.4	Bp.20Plus
38	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305723.443029155	305724.646224093	3335035	3336238	2017/5/10  9:55:35.443	1.203	15.1	28.4	0.9	16.6	26.4	Bp.20Plus
39	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305768.826932081	305770.396316783	3380419	3381988	2017/5/10  9:56:20.827	1.569	14.4	29.9	1.1	16.6	26.4	Bp.20Plus
40	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305855.463768945	305857.08546647	3467056	3468677	2017/5/10  9:57:47.464	1.622	14.7	28.9	1.1	16.6	26.4	Bp.20Plus
41	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305858.445599878	305860.276548697	3470038	3471869	2017/5/10  9:57:50.446	1.831	14.4	29.3	1.4	16.6	26.4	Bp.20Plus
42	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	305917.849847613	305919.837734902	3529442	3531430	2017/5/10  9:58:49.850	1.988	14.6	28.6	1.5	16.6	25.4	Bp.20Plus
43	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302403.637504769	302404.945325353	15230	16537	2017/5/10  9:00:15.638	1.308	14.6	99.0	0.9	16.6	84.0	Bp.20Plus
44	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302424.614946946	302425.975080354	36207	37567	2017/5/10  9:00:36.615	1.36	15.1	98.5	1.1	16.6	53.7	Bp.20Plus
45	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302467.551449485	302469.016208539	79143	80608	2017/5/10  9:01:19.551	1.465	13.6	98.3	1.1	15.6	69.3	Bp.20Plus
46	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302456.931946338	302458.344392569	68524	69936	2017/5/10  9:01:08.932	1.412	14.6	98.3	1.1	16.6	54.7	Bp.20Plus
47	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302446.417068838	302447.672576599	58009	59265	2017/5/10  9:00:58.417	1.256	14.9	99.0	1.1	16.6	69.3	Bp.20Plus
48	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304556.524488643	304557.57074511	2168116	2169163	2017/5/10  9:36:08.524	1.046	15.5	99.9	0.9	16.6	39.1	Bp.20Plus
49	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304567.14399179	304568.294873904	2178736	2179887	2017/5/10  9:36:18.144	1.151	15.3	98.6	0.8	16.6	33.2	Bp.20Plus
50	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	304589.586193021	304590.841700783	2201178	2202434	2017/5/10  9:36:41.586	1.256	14.9	98.8	1.1	16.6	47.9	Bp.20Plus
51	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302413.779719341	302415.401416866	25372	26993	2017/5/10  9:00:25.780	1.622	16.0	98.3	1.2	16.6	46.9	Bp.20Plus
52	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302490.915940454	302492.014509745	102508	103607	2017/5/10  9:01:42.916	1.099	15.5	100.7	0.9	16.6	70.3	Bp.20Plus
53	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302501.430817955	302502.686325716	113023	114278	2017/5/10  9:01:53.431	1.256	15.8	98.9	0.9	17.6	82.0	Bp.20Plus
54	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302524.605398714	302526.070157769	136197	137662	2017/5/10  9:02:16.605	1.465	14.5	98.5	0.9	16.6	43.9	Bp.20Plus
55	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302567.771968497	302569.289040376	179364	180881	2017/5/10  9:02:59.772	1.517	15.1	99.4	1.1	16.6	29.3	Bp.20Plus
56	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302557.257090997	302558.669537229	168849	170262	2017/5/10  9:02:48.257	1.412	15.6	97.8	1.1	16.6	54.7	Bp.20Plus
57	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302578.339158821	302579.751605053	189931	191344	2017/5/10  9:03:09.339	1.412	15.1	98.7	1.2	16.6	59.6	Bp.20Plus
58	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302600.3606739	302601.616181661	211953	213208	2017/5/10  9:03:31.361	1.256	14.7	99.6	0.8	16.6	81.1	Bp.20Plus
59	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302610.675339921	302612.035473329	222267	223627	2017/5/10  9:03:42.675	1.36	16.4	97.0	0.9	17.6	54.7	Bp.20Plus
60	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302722.892089955	302724.35684901	334484	335949	2017/5/10  9:05:34.892	1.465	15.6	98.7	1.2	16.6	28.3	Bp.20Plus
61	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302733.563905926	302734.924039334	345156	346516	2017/5/10  9:05:45.564	1.36	15.1	99.2	0.9	16.6	43.9	Bp.20Plus
62	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302744.078783426	302745.177352717	355671	356769	2017/5/10  9:05:55.079	1.099	15.8	98.5	0.9	16.6	53.7	Bp.20Plus
63	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302754.750599396	302756.215358451	366343	367807	2017/5/10  9:06:06.751	1.465	15.1	97.4	1.2	16.6	49.8	Bp.20Plus
64	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302776.960566976	302778.216074738	388553	389808	2017/5/10  9:06:28.961	1.256	15.3	98.7	0.9	16.6	45.9	Bp.20Plus
65	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302787.5277573	302788.835577885	399120	400428	2017/5/10  9:06:39.528	1.308	16.2	100.1	0.9	17.6	58.6	Bp.20Plus
66	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302798.408824564	302799.507393855	410001	411099	2017/5/10  9:06:50.409	1.099	15.5	101.3	0.8	16.6	29.3	Bp.20Plus
67	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302808.976014888	302810.388461119	420568	421980	2017/5/10  9:07:00.976	1.412	15.8	99.2	1.1	16.6	48.8	Bp.20Plus
68	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302831.760860474	302833.068681059	443353	444661	2017/5/10  9:07:23.761	1.308	15.1	97.8	0.9	16.6	43.0	Bp.20Plus
69	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302842.223425151	302843.740497029	453815	455332	2017/5/10  9:07:33.223	1.517	14.9	98.1	1.4	16.6	56.6	Bp.20Plus
70	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302853.261430885	302854.56925147	464853	466161	2017/5/10  9:07:44.261	1.308	14.9	97.9	0.9	16.6	31.2	Bp.20Plus
71	Spectrogram 1	1	20170510_090000.wav	20170510_090000.wav	302876.004033474	302877.102602765	487596	488695	2017/5/10  9:08:07.004	1.099	15.8	98.7	0.8	17.6	49.8	Bp.20Plus
