Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	From	Tags
1	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	9690.779875663	9694.940331381	2491045	2495205	2016/12/16  8:41:31.780	4.16	43.5	75.4	3.1	45.9	73.2		Unidentified.calls
2	Spectrogram 1	1	20161216_080000.wav	20161216_080000.wav	9886.783122317	9890.341406813	2687048	2690606	2016/12/16  8:44:47.783	3.558	49.4	81.7	2.9	50.8	77.1		Unidentified.calls
4	Spectrogram 1	1	20161219_210000.wav	20161219_210000.wav	15090.513495755	15093.024511278	691064	693576	2016/12/19  21:11:31.513	2.511	43.0	82.6	1.8	45.9	79.1		Unidentified.calls
5	Spectrogram 1	1	20161223_100000.wav	20161223_100000.wav	22278.020347559	22282.04843496	678815	682843	2016/12/23  10:11:18.020	4.028	34.3	62.4	3.5	36.1	59.6		Unidentified.calls
6	Spectrogram 1	1	20161226_230000.wav	20161226_230000.wav	28843.81027423	28846.112038459	44870	47172	2016/12/26  23:00:44.810	2.302	20.2	35.4	1.7	21.5	33.2		Unidentified.calls
7	Spectrogram 1	1	20161226_230000.wav	20161226_230000.wav	30074.768644897	30078.535168181	1275829	1279595	2016/12/26  23:21:15.769	3.767	16.9	30.0	2.9	18.6	28.3		Unidentified.calls
8	Spectrogram 1	1	20161228_180000.wav	20161228_180000.wav	32751.491175743	32755.048447733	352694	356251	2016/12/28  18:05:52.491	3.557	38.0	58.5	3.1	39.1	56.6		Unidentified.calls
9	Spectrogram 1	1	20161230_120000.wav	20161230_120000.wav	39256.567006694	39258.031765749	3257913	3259378	2016/12/30  12:54:17.567	1.465	37.4	60.6	0.9	40.0	56.6		Unidentified.calls
10	Spectrogram 1	1	20170101_060000.wav	20170101_060000.wav	41602.027975133	41603.649672658	2003496	2005118	2017/1/1  6:33:23.028	1.622	43.1	63.7	0.8	46.9	60.5		Unidentified.calls
11	Spectrogram 1	1	20170104_190000.wav	20170104_190000.wav	49244.238361621	49245.91237197	2445971	2447645	2017/1/4  19:40:45.238	1.674	24.1	45.2	1.1	26.4	42.0		Unidentified.calls
12	Spectrogram 1	1	20170106_140000.wav	20170106_140000.wav	52449.89246447	52452.665044109	2051768	2054541	2017/1/6  14:34:11.892	2.773	50.7	74.6	2.2	53.7	71.3		Unidentified.calls
13	Spectrogram 1	1	20170111_210000.wav	20170111_210000.wav	62578.487520481	62581.155474473	1380751	1383418	2017/1/11  21:23:00.488	2.668	23.1	68.9	2.2	25.4	62.5		Unidentified.calls
14	Spectrogram 1	1	20170111_210000.wav	20170111_210000.wav	63544.931023896	63548.017480476	2347194	2350280	2017/1/11  21:39:07.931	3.086	26.5	40.9	2.2	28.3	38.1		Unidentified.calls
15	Spectrogram 1	1	20170111_210000.wav	20170111_210000.wav	63603.88757585	63606.398591372	2406151	2408662	2017/1/11  21:40:06.888	2.511	26.3	44.6	1.8	28.3	42.0		Unidentified.calls
16	Spectrogram 1	1	20170111_210000.wav	20170111_210000.wav	64019.533845661	64022.044861183	2821797	2824308	2017/1/11  21:47:01.534	2.511	29.6	46.5	1.8	31.2	43.9		Unidentified.calls
17	Spectrogram 1	1	20170111_210000.wav	20170111_210000.wav	64499.752754754	64501.740642043	3302016	3304004	2017/1/11  21:55:02.753	1.988	31.1	55.6	1.4	34.2	49.8		Unidentified.calls
18	Spectrogram 1	1	20170113_160000.wav	20170113_160000.wav	65007.814915983	65010.168993036	210221	212575	2017/1/13  16:03:30.815	2.354	25.6	47.0	1.7	27.3	43.0		Unidentified.calls
19	Spectrogram 1	1	20170113_160000.wav	20170113_160000.wav	66114.647768868	66115.641712512	1317054	1318048	2017/1/13  16:21:57.648	0.994	45.9	66.9	0.6	48.8	64.5		Unidentified.calls
20	Spectrogram 1	1	20170117_040000.wav	20170117_040000.wav	72289.460727692	72293.331876623	292132	296003	2017/1/17  4:04:52.461	3.871	25.7	58.3	3.1	28.3	53.7		Unidentified.calls
21	Spectrogram 1	1	20170122_120000.wav	20170122_120000.wav	85182.940562785	85186.027019364	2386041	2389127	2017/1/22  12:39:46.941	3.086	25.7	60.0	2.5	29.3	54.7		Unidentified.calls
22	Spectrogram 1	1	20170124_060000.wav	20170124_060000.wav	86770.059184287	86774.767338392	373302	378010	2017/1/24  6:06:13.059	4.708	23.0	28.0	4.0	23.4	27.3		Unidentified.calls
23	Spectrogram 1	1	20170124_060000.wav	20170124_060000.wav	86791.350503404	86797.261852447	394594	400505	2017/1/24  6:06:34.351	5.911	23.7	27.6	5.5	24.4	27.3		Unidentified.calls
24	Spectrogram 1	1	20170124_060000.wav	20170124_060000.wav	86996.123435422	87002.505599875	599366	605749	2017/1/24  6:09:59.123	6.382	65.2	84.1	5.2	66.4	83.0		Unidentified.calls
25	Spectrogram 1	1	20170124_060000.wav	20170124_060000.wav	87068.290487637	87072.370887861	671533	675614	2017/1/24  6:11:11.290	4.08	23.3	28.7	3.1	23.4	27.3		Unidentified.calls
26	Spectrogram 1	1	20170124_060000.wav	20170124_060000.wav	88757.077668747	88759.797935563	2360321	2363041	2017/1/24  6:39:20.078	2.72	39.1	74.3	2.3	43.0	69.3		Unidentified.calls
27	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91018.811686921	91020.590322916	1022177	1023955	2017/1/26  1:17:02.812	1.779	34.8	55.9	1.4	36.1	53.7		Unidentified.calls
30	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	100544.457826894	100547.33503218	3348109	3350986	2017/1/29  14:55:48.458	2.877	36.9	67.8	2.2	39.1	63.5		Unidentified.calls
31	Spectrogram 1	1	20170210_230000.wav	20170210_230000.wav	125459.711335729	125465.622684771	3064342	3070254	2017/2/10  23:51:04.711	5.911	38.3	63.7	5.1	40.0	59.6		Unidentified.calls
32	Spectrogram 1	1	20170214_120000.wav	20170214_120000.wav	131218.393266789	131220.851969488	1623310	1625769	2017/2/14  12:27:03.393	2.459	43.7	66.5	1.8	44.9	64.5		Unidentified.calls
33	Spectrogram 1	1	20170216_060000.wav	20170216_060000.wav	133257.192049367	133263.208024056	62252	68268	2017/2/16  6:01:02.192	6.016	15.6	28.7	4.8	16.6	26.4		Unidentified.calls
34	Spectrogram 1	1	20170216_060000.wav	20170216_060000.wav	136490.431290874	136491.948362752	3295491	3297008	2017/2/16  6:54:55.431	1.517	39.6	64.8	1.2	40.0	61.5		Unidentified.calls
35	Spectrogram 1	1	20170218_010000.wav	20170218_010000.wav	137662.749330411	137665.260345933	867952	870463	2017/2/18  1:14:27.749	2.511	47.2	68.7	1.7	48.8	64.5		Unidentified.calls
36	Spectrogram 1	1	20170218_010000.wav	20170218_010000.wav	138957.587741386	138958.738623501	2162791	2163942	2017/2/18  1:36:02.588	1.151	31.5	59.1	1.1	33.2	54.7		Unidentified.calls
37	Spectrogram 1	1	20170219_190000.wav	20170219_190000.wav	143908.756436309	143910.325821011	3514102	3515672	2017/2/19  19:58:34.756	1.569	57.6	90.7	1.1	59.6	87.9		Unidentified.calls
38	Spectrogram 1	1	20170311_060000.wav	20170311_060000.wav	180767.317919234	180810.894501113	774195	817772	2017/3/11  6:12:54.318	43.577	34.6	71.5	38.0	36.1	66.4		Unidentified.calls
39	Spectrogram 1	1	20170316_130000.wav	20170316_130000.wav	191572.475513179	191573.626395294	779782	780932	2017/3/16  13:12:59.476	1.151	49.0	77.1	0.8	51.8	73.2		Unidentified.calls
40	Spectrogram 1	1	20170316_130000.wav	20170316_130000.wav	191644.496369617	191645.542626085	851802	852849	2017/3/16  13:14:11.496	1.046	43.6	73.6	0.6	45.9	68.4		Unidentified.calls
41	Spectrogram 1	1	20170316_130000.wav	20170316_130000.wav	192810.411240076	192811.24824525	2017717	2018554	2017/3/16  13:33:37.411	0.837	36.2	66.1	0.6	40.0	63.5		Unidentified.calls
