Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20050607_010000.wav	20050607_010000.wav	248631.349773006	248650.30651227	115546	125024	2005/6/7  1:03:51.350	18.957	71.2	109.5	15.7	73.2	106.4	MinkeDS
2	Spectrogram 1	1	20050627_060000.wav	20050627_060000.wav	288002.222483129	288030.657592025	961	15179	2005/6/27  6:00:01.222	28.435	94.9	111.6	25.6	96.7	110.4	MinkeDS
3	Spectrogram 1	1	20050627_060000.wav	20050627_060000.wav	288294.639587423	288379.94491411	147170	189822	2005/6/27  6:04:54.640	85.305	108.2	123.7	77.3	108.4	122.1	MinkeDS
4	Spectrogram 1	1	20050627_060000.wav	20050627_060000.wav	288412.854141104	288469.080197853	206277	234390	2005/6/27  6:06:52.854	56.226	90.7	122.9	52.7	92.8	121.1	MinkeDS
5	Spectrogram 1	1	20050627_060000.wav	20050627_060000.wav	288639.252740798	288705.049190184	319476	352375	2005/6/27  6:10:38.253	65.796	104.3	123.9	57.0	105.5	123.0	MinkeDS
6	Spectrogram 1	1	20050627_060000.wav	20050627_060000.wav	289006.595576687	289050.122458589	503148	524911	2005/6/27  6:16:46.596	43.527	110.4	123.7	39.4	111.3	123.0	MinkeDS
7	Spectrogram 1	1	20050627_060000.wav	20050627_060000.wav	289749.987403374	289795.262722393	874844	897481	2005/6/27  6:29:09.987	45.275	100.7	123.9	38.0	102.5	123.0	MinkeDS
8	Spectrogram 1	1	20050627_060000.wav	20050627_060000.wav	290024.201957055	290063.12768865	1011951	1031414	2005/6/27  6:33:43.202	38.926	99.1	123.9	33.7	100.6	122.1	MinkeDS
9	Spectrogram 1	1	20050627_060000.wav	20050627_060000.wav	290509.566211656	290548.675989264	1254633	1274188	2005/6/27  6:41:49.566	39.11	98.6	124.2	35.4	99.6	123.0	MinkeDS
10	Spectrogram 1	1	20050627_060000.wav	20050627_060000.wav	290891.614723926	290929.528202454	1445657	1464614	2005/6/27  6:48:11.615	37.913	98.6	124.5	33.3	100.6	123.0	MinkeDS
11	Spectrogram 1	1	20050630_220000.wav	20050630_220000.wav	295208.772461656	295248.526400307	4232	24109	2005/6/30  22:00:08.772	39.754	102.5	124.1	35.7	103.5	123.0	MinkeDS
12	Spectrogram 1	1	20050630_220000.wav	20050630_220000.wav	295488.195317485	295530.525900307	143944	165109	2005/6/30  22:04:47.195	42.331	79.4	122.7	36.2	83.0	120.1	MinkeDS
13	Spectrogram 1	1	20050630_220000.wav	20050630_220000.wav	295679.53315184	295752.783464724	239613	276238	2005/6/30  22:07:59.533	73.25	99.6	124.4	64.8	100.6	124.0	MinkeDS
14	Spectrogram 1	1	20050630_220000.wav	20050630_220000.wav	296794.133802147	296812.17031135	796913	805931	2005/6/30  22:26:33.134	18.037	89.1	123.5	15.1	92.8	122.1	MinkeDS
15	Spectrogram 1	1	20050630_220000.wav	20050630_220000.wav	296903.97426227	296960.752457055	851833	880222	2005/6/30  22:28:23.974	56.778	90.2	123.5	53.7	92.8	121.1	MinkeDS
16	Spectrogram 1	1	20050630_220000.wav	20050630_220000.wav	297243.894242331	297266.899993865	1021793	1033296	2005/6/30  22:34:03.894	23.006	94.9	124.7	20.3	98.6	124.0	MinkeDS
17	Spectrogram 1	1	20050630_220000.wav	20050630_220000.wav	297856.815472393	297876.048280675	1328254	1337870	2005/6/30  22:44:16.815	19.233	112.9	124.2	16.5	113.3	124.0	MinkeDS
18	Spectrogram 1	1	20050702_180000.wav	20050702_180000.wav	298886.630579755	298916.538056749	43159	58113	2005/7/2  18:01:26.631	29.907	91.6	122.5	24.6	94.7	120.1	MinkeDS
19	Spectrogram 1	1	20050702_180000.wav	20050702_180000.wav	299099.225728528	299138.70359816	149457	169196	2005/7/2  18:04:58.226	39.478	106.7	122.2	33.4	108.4	122.1	MinkeDS
20	Spectrogram 1	1	20050702_180000.wav	20050702_180000.wav	299317.986418712	299343.476791411	258837	271582	2005/7/2  18:08:37.986	25.49	99.2	122.8	20.9	100.6	121.1	MinkeDS
21	Spectrogram 1	1	20050702_180000.wav	20050702_180000.wav	299513.741357362	299534.078441718	356715	366883	2005/7/2  18:11:53.741	20.337	113.0	124.7	18.2	114.3	124.0	MinkeDS
22	Spectrogram 1	1	20050702_180000.wav	20050702_180000.wav	299680.324604294	299719.894496933	440006	459791	2005/7/2  18:14:40.325	39.57	108.9	124.2	33.6	111.3	124.0	MinkeDS
23	Spectrogram 1	1	20050702_180000.wav	20050702_180000.wav	299874.51515184	299912.336607362	537102	556012	2005/7/2  18:17:54.515	37.821	109.4	123.6	34.3	111.3	123.0	MinkeDS
24	Spectrogram 1	1	20050702_180000.wav	20050702_180000.wav	300084.902483129	300123.276076687	642295	661482	2005/7/2  18:21:24.902	38.374	111.1	124.5	33.7	112.3	124.0	MinkeDS
25	Spectrogram 1	1	20050702_180000.wav	20050702_180000.wav	302012.99131135	302040.506190184	1606340	1620097	2005/7/2  18:53:32.991	27.515	111.3	123.4	23.1	111.3	123.0	MinkeDS
26	Spectrogram 1	1	20050711_220000.wav	20050711_220000.wav	320282.19204908	320346.976245399	1740930	1773322	2005/7/11  22:58:01.192	64.784	109.5	124.1	59.6	110.4	124.0	MinkeDS
27	Spectrogram 1	1	20050719_060000.wav	20050719_060000.wav	333058.14303681	333120.074519939	928899	959864	2005/7/19  6:30:57.143	61.931	95.5	123.8	56.2	97.7	122.1	MinkeDS
28	Spectrogram 1	1	20050728_100000.wav	20050728_100000.wav	349367.514331288	349387.391300613	83574	93513	2005/7/28  10:02:47.514	19.877	102.1	125.0	16.8	104.5	125.0	MinkeDS
29	Spectrogram 1	1	20050728_100000.wav	20050728_100000.wav	349674.214006135	349736.421558282	236924	268028	2005/7/28  10:07:53.214	62.208	95.4	124.4	52.1	98.6	123.0	MinkeDS
30	Spectrogram 1	1	20050728_100000.wav	20050728_100000.wav	350521.649865031	350540.422558282	660642	670028	2005/7/28  10:22:01.650	18.773	98.4	124.4	16.8	100.6	124.0	MinkeDS
31	Spectrogram 1	1	20050728_100000.wav	20050728_100000.wav	350863.134236196	350919.912430982	831384	859773	2005/7/28  10:27:42.134	56.778	89.5	124.4	47.1	92.8	122.1	MinkeDS
32	Spectrogram 1	1	20050728_100000.wav	20050728_100000.wav	351662.762809816	351733.896593558	1231198	1266765	2005/7/28  10:41:02.763	71.134	87.0	124.1	61.3	90.8	122.1	MinkeDS
33	Spectrogram 1	1	20050728_100000.wav	20050728_100000.wav	351842.118648773	351917.761559816	1320876	1358698	2005/7/28  10:44:01.119	75.643	87.0	123.8	65.9	90.8	121.1	MinkeDS
34	Spectrogram 1	1	20050728_100000.wav	20050728_100000.wav	352112.450231595	352189.933602761	1456042	1494784	2005/7/28  10:48:32.450	77.483	86.1	124.4	66.5	88.9	122.1	MinkeDS
35	Spectrogram 1	1	20050728_100000.wav	20050728_100000.wav	352305.002369632	352381.105395706	1552318	1590370	2005/7/28  10:51:44.002	76.103	93.4	123.5	64.1	95.7	122.1	MinkeDS
36	Spectrogram 1	1	20050728_100000.wav	20050728_100000.wav	352475.726050614	352536.001119632	1637680	1667818	2005/7/28  10:54:35.726	60.275	96.7	124.1	52.4	99.6	123.0	MinkeDS
37	Spectrogram 1	1	20050728_100000.wav	20050728_100000.wav	352649.100394172	352763.725050614	1724367	1781680	2005/7/28  10:57:28.100	114.625	93.7	124.1	102.6	95.7	123.0	MinkeDS
38	Spectrogram 1	1	20050801_020000.wav	20050801_020000.wav	356526.26046319	356594.541533742	62943	97084	2005/8/1  2:02:05.260	68.281	94.0	124.7	55.7	99.6	123.0	MinkeDS
39	Spectrogram 1	1	20050801_020000.wav	20050801_020000.wav	356694.076418712	356760.425006135	146851	180026	2005/8/1  2:04:53.076	66.349	98.4	124.4	53.6	102.5	123.0	MinkeDS
40	Spectrogram 1	1	20050801_020000.wav	20050801_020000.wav	356855.321730061	356915.688822086	227474	257657	2005/8/1  2:07:34.322	60.367	99.3	124.4	50.7	103.5	124.0	MinkeDS
41	Spectrogram 1	1	20050801_020000.wav	20050801_020000.wav	357019.456763804	357080.74408589	309541	340185	2005/8/1  2:10:19.457	61.287	103.7	124.4	51.3	106.4	124.0	MinkeDS
42	Spectrogram 1	1	20050801_020000.wav	20050801_020000.wav	357361.40125	357402.811602761	480514	501219	2005/8/1  2:16:01.401	41.41	105.2	124.4	36.7	106.4	124.0	MinkeDS
43	Spectrogram 1	1	20050801_020000.wav	20050801_020000.wav	357729.904375767	357783.185696319	664765	691406	2005/8/1  2:22:09.904	53.281	104.0	124.1	43.9	106.4	124.0	MinkeDS
44	Spectrogram 1	1	20050801_020000.wav	20050801_020000.wav	358293.113177914	358331.854863497	946370	965740	2005/8/1  2:31:32.113	38.742	108.5	123.8	33.4	110.4	123.0	MinkeDS
45	Spectrogram 1	1	20050801_020000.wav	20050801_020000.wav	358462.180444785	358501.658314417	1030903	1050642	2005/8/1  2:34:21.180	39.478	107.0	123.8	34.5	108.4	123.0	MinkeDS
46	Spectrogram 1	1	20050801_020000.wav	20050801_020000.wav	358651.309726994	358685.818354294	1125468	1142722	2005/8/1  2:37:30.310	34.509	105.8	124.4	30.3	107.4	124.0	MinkeDS
47	Spectrogram 1	1	20050801_020000.wav	20050801_020000.wav	359001.35223773	359048.836108896	1300489	1324231	2005/8/1  2:43:20.352	47.484	107.3	124.4	41.3	108.4	124.0	MinkeDS
48	Spectrogram 1	1	20050801_020000.wav	20050801_020000.wav	359186.616553681	359223.885871166	1393121	1411756	2005/8/1  2:46:26.617	37.269	103.7	123.8	31.3	105.5	123.0	MinkeDS
49	Spectrogram 1	1	20050801_020000.wav	20050801_020000.wav	359552.432007669	359612.799099693	1576029	1606213	2005/8/1  2:52:32.432	60.367	104.0	124.7	54.5	105.5	124.0	MinkeDS
50	Spectrogram 1	1	20050802_230000.wav	20050802_230000.wav	362838.751495399	362944.117837423	1419187	1471870	2005/8/2  23:47:18.751	105.366	95.2	122.6	90.7	97.7	121.1	MinkeDS
51	Spectrogram 1	1	20050802_230000.wav	20050802_230000.wav	363543.62171319	363555.124588957	1771622	1777373	2005/8/2  23:59:03.622	11.503	105.1	124.7	9.9	107.4	124.0	MinkeDS
52	Spectrogram 1	1	20050806_150000.wav	20050806_150000.wav	367274.370400307	367307.406659509	36992	53510	2005/8/6  15:01:13.370	33.036	102.1	124.1	26.8	103.5	124.0	MinkeDS
53	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	400153.153379256	400283.955849565	276366	341767	2005/8/23  3:09:12.153	130.802	101.0	123.3	116.4	102.5	122.1	MinkeDS
54	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	400354.232698337	400521.044069675	376905	460311	2005/8/23  3:12:33.233	166.811	101.8	124.2	156.5	103.5	123.0	MinkeDS
55	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	400816.318123515	401001.941532858	607948	700760	2005/8/23  3:20:15.318	185.623	97.6	124.4	171.1	98.6	123.0	MinkeDS
56	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	401123.866163104	401299.418481393	761722	849498	2005/8/23  3:25:23.866	175.552	98.1	124.2	159.7	100.6	123.0	MinkeDS
57	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	401366.270123515	401540.207266825	882924	969893	2005/8/23  3:29:25.270	173.937	95.3	122.7	158.8	97.7	122.1	MinkeDS
58	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	401599.942038005	401735.685043547	999760	1067632	2005/8/23  3:33:19.942	135.743	99.3	124.2	118.1	101.6	124.0	MinkeDS
59	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	401917.210611243	402001.268017419	1158394	1200423	2005/8/23  3:38:36.211	84.057	100.4	123.9	76.4	102.5	123.0	MinkeDS
60	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	402057.021257324	402192.194201108	1228300	1295886	2005/8/23  3:40:56.021	135.173	97.0	124.7	123.0	99.6	123.0	MinkeDS
61	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	402244.069821061	402313.495642122	1321824	1356537	2005/8/23  3:44:03.070	69.426	99.3	124.7	60.1	101.6	123.0	MinkeDS
62	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	402460.130827151	402603.268363062	1429854	1501423	2005/8/23  3:47:39.131	143.138	97.3	123.7	129.1	100.6	123.0	MinkeDS
63	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	402681.908157853	402814.059294396	1540743	1606819	2005/8/23  3:51:21.908	132.151	96.9	124.0	121.0	99.6	123.0	MinkeDS
64	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	402944.392792423	403109.881968429	1671985	1754730	2005/8/23  3:55:43.393	165.489	96.6	124.7	152.2	99.6	123.0	MinkeDS
65	Spectrogram 1	1	20050823_030000.wav	20050823_030000.wav	403154.141701657	403196.666644041	1776860	1798122	2005/8/23  3:59:13.142	42.525	96.6	123.7	36.7	98.6	122.1	MinkeDS
66	Spectrogram 1	1	20050828_150000.wav	20050828_150000.wav	410455.878405683	410519.713174428	27722	59640	2005/8/28  15:00:55.878	63.835	91.4	124.3	54.4	98.6	123.0	MinkeDS
67	Spectrogram 1	1	20050828_150000.wav	20050828_150000.wav	410731.036033149	410798.469794791	165301	199018	2005/8/28  15:05:30.036	67.434	97.9	124.0	59.1	102.5	122.1	MinkeDS
68	Spectrogram 1	1	20050903_030000.wav	20050903_030000.wav	421412.302958169	421512.12765588	105928	155841	2005/9/3  3:03:31.303	99.825	89.0	124.2	83.5	93.8	123.0	MinkeDS
69	Spectrogram 1	1	20050903_030000.wav	20050903_030000.wav	421863.245026046	421875.557370166	331400	337556	2005/9/3  3:11:02.245	12.312	91.2	122.2	10.5	93.8	120.1	MinkeDS
