Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Notes	Tags
1	Spectrogram 1	1	20050131_110000.wav	20050131_110000.wav	531.660915644	534.973743865	265830	267487	2005/1/31  11:08:51.661	3.313	84.2	100.1	2.6	85.9	97.7		Unidentified.calls.
2	Spectrogram 1	1	20050131_110000.wav	20050131_110000.wav	2325.698424847	2332.876219325	1162849	1166438	2005/1/31  11:38:45.698	7.178	21.7	46.9	6.3	24.4	43.9		Unidentified.calls.
3	Spectrogram 1	1	20050202_070000.wav	20050202_070000.wav	3623.09977454	3624.204050613	11549	12101	2005/2/2  7:00:23.100	1.104	25.8	45.2	0.6	29.3	43.0		Unidentified.calls.
4	Spectrogram 1	1	20050202_070000.wav	20050202_070000.wav	3712.086021472	3713.466366564	56042	56732	2005/2/2  7:01:52.086	1.38	24.4	47.1	0.8	28.3	44.9		Unidentified.calls.
5	Spectrogram 1	1	20050202_070000.wav	20050202_070000.wav	3748.492122699	3750.240559816	74245	75119	2005/2/2  7:02:28.492	1.748	28.2	53.7	0.6	31.2	49.8		Unidentified.calls.
6	Spectrogram 1	1	20050202_070000.wav	20050202_070000.wav	4894.932733129	4896.313078221	647465	648156	2005/2/2  7:21:34.933	1.38	57.0	90.5	0.8	61.5	84.0		Unidentified.calls.
7	Spectrogram 1	1	20050202_070000.wav	20050202_070000.wav	4989.957489264	4991.429857362	694978	695714	2005/2/2  7:23:09.957	1.472	33.2	55.1	0.8	34.2	51.8	colon	Unidentified.calls.
8	Spectrogram 1	1	20050202_070000.wav	20050202_070000.wav	5399.043760736	5400.424105828	899521	900211	2005/2/2  7:29:59.044	1.38	38.4	85.3	0.9	45.9	81.1		Unidentified.calls.
9	Spectrogram 1	1	20050204_030000.wav	20050204_030000.wav	7466.066515337	7467.446860429	133030	133720	2005/2/4  3:04:26.067	1.38	15.9	29.9	0.8	18.6	28.3		Unidentified.calls.
10	Spectrogram 1	1	20050204_030000.wav	20050204_030000.wav	7483.090771472	7484.379093558	141542	142187	2005/2/4  3:04:43.091	1.288	17.3	28.2	0.6	19.5	26.4		Unidentified.calls.
11	Spectrogram 1	1	20050204_030000.wav	20050204_030000.wav	8714.214552147	8716.147035276	757104	758071	2005/2/4  3:25:14.215	1.932	19.2	42.5	0.8	23.4	39.1	colon	Unidentified.calls.
12	Spectrogram 1	1	20050207_190000.wav	20050207_190000.wav	15060.251059816	15061.723427914	330120	330856	2005/2/7  19:11:00.251	1.472	25.8	53.7	0.8	31.2	50.8		Unidentified.calls.
13	Spectrogram 1	1	20050207_190000.wav	20050207_190000.wav	16631.697921779	16633.078266871	1115843	1116533	2005/2/7  19:37:11.698	1.38	36.5	64.1	0.9	38.1	61.5		Unidentified.calls.
14	Spectrogram 1	1	20050209_150000.wav	20050209_150000.wav	19022.168538344	19027.873964724	511076	513929	2005/2/9  15:17:02.169	5.705	21.7	25.8	4.6	22.5	25.4		Unidentified.calls.
15	Spectrogram 1	1	20050209_150000.wav	20050209_150000.wav	19127.775940184	19128.880216258	563880	564432	2005/2/9  15:18:47.776	1.104	36.5	56.2	0.6	40.0	53.7		Unidentified.calls.
16	Spectrogram 1	1	20050209_150000.wav	20050209_150000.wav	20879.517875767	20881.450358896	1439751	1440717	2005/2/9  15:47:59.518	1.932	74.3	95.1	1.4	78.1	89.8		Unidentified.calls.
