Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	201_2014-02-22_05-00-00.wav	201_2014-02-22_05-00-00.wav	750.513993949	755.850993949	750514	755851	2014/2/22  5:12:30.514	5.337	24.4	27.5	4.5	24.4	27.3	Bm.Ant-A
2	Spectrogram 1	1	201_2014-02-22_05-00-00.wav	201_2014-02-22_05-00-00.wav	3251.778992638	3259.232992638	3251779	3259233	2014/2/22  5:54:11.779	7.454	24.2	27.3	6.3	24.4	26.4	Bm.Ant-A
3	Spectrogram 1	1	201_2014-02-22_05-00-00.wav	201_2014-02-22_05-00-00.wav	3315.09100087	3324.29300087	3315091	3324293	2014/2/22  5:55:15.091	9.202	23.4	28.0	8.2	23.4	27.3	Bm.Ant-A
4	Spectrogram 1	1	201_2014-02-22_05-00-00.wav	201_2014-02-22_05-00-00.wav	3557.960997149	3566.611997149	3557961	3566612	2014/2/22  5:59:17.961	8.651	24.2	27.5	6.9	24.4	27.3	Bm.Ant-A
5	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4887.10099991	4894.55399991	1286522	1293975	2014/2/23  20:21:26.101	7.453	23.7	28.6	6.3	24.4	28.3	Bm.Ant-A
6	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4956.301992495	4961.362992495	1355723	1360784	2014/2/23  20:22:35.302	5.061	23.7	27.8	3.4	24.4	27.3	Bm.Ant-A
7	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	5021.602996174	5027.768996174	1421024	1427190	2014/2/23  20:23:41.603	6.166	24.3	28.4	5.4	24.4	28.3	Bm.Ant-A
8	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	7047.100991864	7053.173991864	3446522	3452595	2014/2/23  20:57:26.101	6.073	24.0	29.2	5.2	24.4	28.3	Bm.Ant-A
9	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	7113.908998031	7120.810998031	3513330	3520232	2014/2/23  20:58:33.909	6.902	23.7	28.4	6.0	24.4	28.3	Bm.Ant-A
10	Spectrogram 1	1	201_2014-02-25_20-00-00.wav	201_2014-02-25_20-00-00.wav	7467.942996861	7477.512996861	266870	276440	2014/2/25  20:04:26.943	9.57	23.2	27.7	8.6	23.4	27.3	Bm.Ant-A
