Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	201_2014-02-22_05-00-00.wav	201_2014-02-22_05-00-00.wav	1547.52099663	1556.90699663	1547521	1556907	2014/2/22  5:25:47.521	9.386	17.7	27.3	7.1	18.6	26.4	Bm.Ant-B
2	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	7181.695001308	7188.689001308	3581116	3588110	2014/2/23  20:59:41.695	6.994	13.9	28.6	6.2	15.6	27.3	Bm.Ant-B
3	Spectrogram 1	1	201_2014-02-25_20-00-00.wav	201_2014-02-25_20-00-00.wav	7341.089993508	7346.795993508	140017	145723	2014/2/25  20:02:20.090	5.706	20.6	28.5	4.9	21.5	28.3	Bm.Ant-B
4	Spectrogram 1	1	201_2014-02-25_20-00-00.wav	201_2014-02-25_20-00-00.wav	7403.710997642	7409.047997642	202638	207975	2014/2/25  20:03:22.711	5.337	18.7	28.0	4.5	19.5	26.4	Bm.Ant-B
5	Spectrogram 1	1	201_2014-02-25_20-00-00.wav	201_2014-02-25_20-00-00.wav	10348.789994211	10355.875994211	3147717	3154803	2014/2/25  20:52:27.790	7.086	18.1	28.3	6.5	18.6	26.4	Bm.Ant-B
6	Spectrogram 1	1	201_2014-02-25_20-00-00.wav	201_2014-02-25_20-00-00.wav	10555.599996985	10562.409996985	3354527	3361337	2014/2/25  20:55:54.600	6.81	19.9	27.7	6.0	20.5	27.3	Bm.Ant-B
7	Spectrogram 1	1	201_2014-02-25_20-00-00.wav	201_2014-02-25_20-00-00.wav	10628.710996525	10640.397996525	3427638	3439325	2014/2/25  20:57:07.711	11.687	19.3	28.0	10.5	19.5	27.3	Bm.Ant-B
8	Spectrogram 1	1	201_2014-02-25_20-00-00.wav	201_2014-02-25_20-00-00.wav	10695.703994648	10705.641994648	3494631	3504569	2014/2/25  20:58:14.704	9.938	19.0	28.3	8.6	19.5	27.3	Bm.Ant-B
9	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	11462.670998961	11470.583998961	661061	668974	2014/2/27  11:11:01.671	7.913	17.1	27.5	7.2	17.6	27.3	Bm.Ant-B
10	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	14067.00199464	14076.84799464	3265392	3275238	2014/2/27  11:54:25.002	9.846	14.5	28.1	8.9	14.6	27.3	Bm.Ant-B
11	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	14781.973998338	14786.666998338	379827	384520	2014/3/1  12:06:19.974	4.693	16.6	27.4	4.0	16.6	26.4	Bm.Ant-B
12	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	15006.440000698	15016.471000698	604293	614324	2014/3/1  12:10:04.440	10.031	15.1	28.9	8.8	16.6	27.3	Bm.Ant-B
13	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	15077.831999302	15088.229999302	675685	686083	2014/3/1  12:11:15.832	10.398	16.3	29.5	9.4	17.6	27.3	Bm.Ant-B
14	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	15232.545000404	15240.735000404	830398	838588	2014/3/1  12:13:50.545	8.19	18.1	28.0	6.0	20.5	27.3	Bm.Ant-B
15	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	15462.176001907	15470.366001906	1060029	1068219	2014/3/1  12:17:40.176	8.19	17.8	28.0	7.2	18.6	27.3	Bm.Ant-B
16	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	15585.175998599	15591.617998598	1183029	1189471	2014/3/1  12:19:43.176	6.442	21.7	28.3	5.2	23.4	26.4	Bm.Ant-B
17	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	15865.912999302	15875.666999302	1463766	1473520	2014/3/1  12:24:23.913	9.754	15.4	28.6	7.1	20.5	26.4	Bm.Ant-B
18	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	16313.060000628	16324.010000628	1910913	1921863	2014/3/1  12:31:50.060	10.95	16.0	28.3	7.5	19.5	27.3	Bm.Ant-B
19	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	16474.04699707	16480.85699707	2071900	2078710	2014/3/1  12:34:31.047	6.81	15.1	28.0	5.7	15.6	27.3	Bm.Ant-B
20	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	16670.684997082	16678.046997082	2268538	2275900	2014/3/1  12:37:48.685	7.362	20.5	28.9	6.3	20.5	27.3	Bm.Ant-B
