Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	201_2014-02-22_05-00-00.wav	201_2014-02-22_05-00-00.wav	1595.097000897	1597.029000897	1595097	1597029	2014/2/22  5:26:35.097	1.932	52.5	76.1	1.4	53.7	73.2	Bm.D
2	Spectrogram 1	1	201_2014-03-10_10-00-00.wav	201_2014-03-10_10-00-00.wav	33796.270998522	33799.859998522	1391440	1395029	2014/3/10  10:23:11.271	3.589	44.0	69.4	3.1	45.9	66.4	Bm.D
3	Spectrogram 1	1	201_2014-03-10_10-00-00.wav	201_2014-03-10_10-00-00.wav	34357.309003502	34362.463003502	1952478	1957632	2014/3/10  10:32:32.309	5.154	41.1	70.6	4.5	42.0	67.4	Bm.D
4	Spectrogram 1	1	201_2014-03-10_10-00-00.wav	201_2014-03-10_10-00-00.wav	34718.578005537	34722.351005537	2313747	2317520	2014/3/10  10:38:33.578	3.773	38.1	66.5	3.2	40.0	64.5	Bm.D
5	Spectrogram 1	1	201_2014-03-10_10-00-00.wav	201_2014-03-10_10-00-00.wav	34804.400000304	34810.290000304	2399569	2405459	2014/3/10  10:39:59.400	5.89	30.7	70.9	5.1	32.2	67.4	Bm.D
6	Spectrogram 1	1	201_2014-03-10_10-00-00.wav	201_2014-03-10_10-00-00.wav	35337.037998393	35341.546998393	2932207	2936716	2014/3/10  10:48:52.038	4.509	49.1	92.5	4.2	51.8	87.9	Bm.D
7	Spectrogram 1	1	201_2014-03-10_10-00-00.wav	201_2014-03-10_10-00-00.wav	35904.36899881	35909.15399881	3499538	3504323	2014/3/10  10:58:19.369	4.785	36.6	62.6	4.3	38.1	60.5	Bm.D
8	Spectrogram 1	1	201_2014-03-14_02-00-00.wav	201_2014-03-14_02-00-00.wav	40860.187995852	40863.316995852	1254262	1257391	2014/3/14  2:20:54.188	3.129	32.5	78.0	2.9	34.2	75.2	Bm.D
9	Spectrogram 1	1	201_2014-03-16_02-00-00.wav	201_2014-03-16_02-00-00.wav	45716.839999155	45720.335999155	2510377	2513873	2014/3/16  2:41:50.840	3.496	45.2	65.7	2.8	46.9	63.5	Bm.D
10	Spectrogram 1	1	201_2014-03-16_02-00-00.wav	201_2014-03-16_02-00-00.wav	45753.568999291	45756.605999291	2547106	2550143	2014/3/16  2:42:27.569	3.037	44.3	65.7	2.8	45.9	63.5	Bm.D
11	Spectrogram 1	1	201_2014-03-16_02-00-00.wav	201_2014-03-16_02-00-00.wav	45797.360000954	45800.396000954	2590897	2593933	2014/3/16  2:43:10.360	3.036	42.2	67.2	2.3	43.0	63.5	Bm.D
12	Spectrogram 1	1	201_2014-03-16_02-00-00.wav	201_2014-03-16_02-00-00.wav	46056.114994556	46058.783994556	2849652	2852321	2014/3/16  2:47:29.115	2.669	43.4	59.3	2.2	44.9	58.6	Bm.D
13	Spectrogram 1	1	201_2014-03-16_02-00-00.wav	201_2014-03-16_02-00-00.wav	46189.52599895	46193.022998951	2983063	2986560	2014/3/16  2:49:43.526	3.497	37.7	64.5	3.1	39.1	62.5	Bm.D
14	Spectrogram 1	1	201_2014-03-16_02-00-00.wav	201_2014-03-16_02-00-00.wav	46237.089993626	46240.585993626	3030627	3034123	2014/3/16  2:50:30.090	3.496	34.0	61.4	2.9	35.2	59.6	Bm.D
15	Spectrogram 1	1	201_2014-03-16_02-00-00.wav	201_2014-03-16_02-00-00.wav	46478.728996784	46481.857996784	3272266	3275395	2014/3/16  2:54:32.729	3.129	37.0	68.1	2.8	38.1	64.5	Bm.D
16	Spectrogram 1	1	201_2014-03-16_02-00-00.wav	201_2014-03-16_02-00-00.wav	46497.69799468	46500.91899468	3291235	3294456	2014/3/16  2:54:51.698	3.221	39.5	66.3	2.9	41.0	62.5	Bm.D
