Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61209.433006463	61210.721006463	329	1617	2014/3/25  1:00:00.433	1.288	15.3	28.7	0.8	16.6	26.4	Bp.20Hz
2	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61219.003000823	61220.384000823	9899	11280	2014/3/25  1:00:09.003	1.381	16.0	28.7	1.1	16.6	26.4	Bp.20Hz
3	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61227.838006211	61228.850006211	18734	19746	2014/3/25  1:00:18.838	1.012	15.6	30.3	0.8	16.6	27.3	Bp.20Hz
4	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61228.574001012	61229.862001012	19470	20758	2014/3/25  1:00:19.574	1.288	16.1	29.8	1.1	16.6	26.4	Bp.20Hz
5	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61238.420004738	61239.525004738	29316	30421	2014/3/25  1:00:29.420	1.105	16.4	28.4	0.8	17.6	26.4	Bp.20Hz
6	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61246.346998555	61247.358998555	37243	38255	2014/3/25  1:00:37.347	1.012	13.7	30.0	0.8	17.6	28.3	Bp.20Hz
7	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61248.45100042	61250.01500042	39347	40911	2014/3/25  1:00:39.451	1.564	15.0	28.7	1.1	17.6	27.3	Bp.20Hz
8	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61265.843000231	61267.039000231	56739	57935	2014/3/25  1:00:56.843	1.196	14.5	27.9	0.9	16.6	26.4	Bp.20Hz
9	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61273.849001867	61274.861001867	64745	65757	2014/3/25  1:01:04.849	1.012	14.8	29.5	0.9	16.6	28.3	Bp.20Hz
10	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61274.952999098	61276.609999098	65849	67506	2014/3/25  1:01:05.953	1.657	16.1	28.2	1.5	16.6	27.3	Bp.20Hz
