Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64811.459004623	64813.024004623	1818	3383	2014/3/27  1:00:01.459	1.565	15.8	97.8	0.8	16.6	27.3	Bp.20Plus
2	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64815.877005202	64816.889005202	6236	7248	2014/3/27  1:00:06.877	1.012	15.2	96.9	0.9	17.6	75.2	Bp.20Plus
3	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64821.950005857	64823.238005857	12309	13597	2014/3/27  1:00:12.950	1.288	15.7	99.6	0.8	16.6	28.3	Bp.20Plus
4	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64831.981001538	64832.993001538	22340	23352	2014/3/27  1:00:22.981	1.012	16.8	99.3	0.8	17.6	29.3	Bp.20Plus
5	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64841.642999021	64843.114999021	32002	33474	2014/3/27  1:00:32.643	1.472	15.7	97.8	1.1	16.6	29.3	Bp.20Plus
6	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64862.520003063	64863.900003063	52879	54259	2014/3/27  1:00:52.520	1.38	15.3	98.1	1.2	16.6	34.2	Bp.20Plus
7	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64822.870006901	64824.343006901	13229	14702	2014/3/27  1:00:13.870	1.473	15.3	98.5	1.2	16.6	27.3	Bp.20Plus
8	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64894.83199839	64896.21299839	85191	86572	2014/3/27  1:01:25.832	1.381	14.9	97.0	1.2	16.6	69.3	Bp.20Plus
9	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64917.435003934	64918.815003934	107794	109174	2014/3/27  1:01:47.435	1.38	15.7	100.4	0.9	16.6	31.2	Bp.20Plus
10	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64918.723007408	64920.288007408	109082	110647	2014/3/27  1:01:49.723	1.565	15.7	100.0	1.2	16.6	36.1	Bp.20Plus
11	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64927.28100766	64928.29400766	117640	118653	2014/3/27  1:01:57.281	1.013	16.8	100.0	0.6	17.6	28.3	Bp.20Plus
12	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64928.110001353	64929.950001353	118469	120309	2014/3/27  1:01:58.110	1.84	14.9	99.3	1.4	16.6	29.3	Bp.20Plus
13	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64937.128007156	64938.508007156	127487	128867	2014/3/27  1:02:07.128	1.38	16.0	100.0	0.9	17.6	28.3	Bp.20Plus
14	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64947.066003946	64948.539003946	137425	138898	2014/3/27  1:02:17.066	1.473	14.9	100.0	0.9	17.6	28.3	Bp.20Plus
15	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64957.372998935	64958.660998935	147732	149020	2014/3/27  1:02:27.373	1.288	15.3	101.5	1.1	16.6	28.3	Bp.20Plus
16	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64960.870002699	64962.158002699	151229	152517	2014/3/27  1:02:31.870	1.288	15.7	99.3	0.9	17.6	56.6	Bp.20Plus
17	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64967.126999539	64968.323999539	157486	158683	2014/3/27  1:02:37.127	1.197	16.0	99.6	0.8	16.6	28.3	Bp.20Plus
18	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64968.415998784	64970.071998784	158775	160431	2014/3/27  1:02:38.416	1.656	14.9	102.2	1.2	16.6	27.3	Bp.20Plus
19	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64978.26200251	64979.45800251	168621	169817	2014/3/27  1:02:48.262	1.196	15.7	100.7	0.9	16.6	28.3	Bp.20Plus
20	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64985.807998595	64987.187998595	176167	177547	2014/3/27  1:02:56.808	1.38	16.4	100.0	1.1	17.6	55.7	Bp.20Plus
21	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64994.826004398	64996.115004398	185185	186474	2014/3/27  1:03:05.826	1.289	15.7	98.1	0.8	17.6	30.3	Bp.20Plus
22	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64996.298999828	64997.494999828	186658	187854	2014/3/27  1:03:06.299	1.196	16.8	99.3	0.8	17.6	28.3	Bp.20Plus
23	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65004.949003202	65006.053003202	195308	196412	2014/3/27  1:03:15.949	1.104	14.9	98.5	0.6	17.6	28.3	Bp.20Plus
24	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	64924.601008115	64925.889008115	114960	116248	2014/3/27  1:01:54.601	1.288	16.0	100.7	1.2	17.6	73.2	Bp.20Plus
25	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65027.539003385	65028.920003384	217898	219279	2014/3/27  1:03:37.539	1.381	15.7	98.5	1.1	16.6	27.3	Bp.20Plus
27	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65034.820999694	65036.201999694	225180	226561	2014/3/27  1:03:45.821	1.381	17.9	98.1	1.2	18.6	82.0	Bp.20Plus
28	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65043.551006657	65045.024006657	233910	235383	2014/3/27  1:03:53.551	1.473	14.2	99.3	1.2	16.6	26.4	Bp.20Plus
29	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65043.656005082	65045.680005082	234015	236039	2014/3/27  1:03:54.656	2.024	14.9	100.0	1.5	16.6	26.4	Bp.20Plus
30	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65049.085003999	65050.373003999	239444	240732	2014/3/27  1:03:59.085	1.288	14.6	97.8	1.1	16.6	57.6	Bp.20Plus
31	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65046.139998851	65047.427998851	236499	237787	2014/3/27  1:03:56.140	1.288	15.7	97.8	1.1	16.6	43.0	Bp.20Plus
32	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65053.489999217	65054.869999217	243849	245229	2014/3/27  1:04:03.490	1.38	15.7	97.8	1.2	16.6	28.3	Bp.20Plus
33	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65062.796003861	65064.085003861	253155	254444	2014/3/27  1:04:13.796	1.289	14.6	100.4	0.8	16.6	31.2	Bp.20Plus
34	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65073.011005786	65074.391005786	263370	264750	2014/3/27  1:04:23.011	1.38	16.4	101.5	0.8	16.6	38.1	Bp.20Plus
35	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65093.348000688	65094.636000688	283707	284995	2014/3/27  1:04:43.348	1.288	16.0	99.6	0.9	16.6	27.3	Bp.20Plus
36	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65103.470999492	65104.850999492	293830	295210	2014/3/27  1:04:53.471	1.38	16.4	97.4	0.8	17.6	28.3	Bp.20Plus
37	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65114.237004262	65115.341004262	304596	305700	2014/3/27  1:05:04.237	1.104	15.7	98.9	0.9	17.6	35.2	Bp.20Plus
38	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65124.360003066	65125.740003066	314719	316099	2014/3/27  1:05:14.360	1.38	16.4	99.6	0.6	16.6	28.3	Bp.20Plus
39	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65134.906998766	65136.011998766	325266	326371	2014/3/27  1:05:25.907	1.105	15.7	101.1	0.6	17.6	29.3	Bp.20Plus
40	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65144.938004506	65146.410004506	335297	336769	2014/3/27  1:05:35.938	1.472	16.4	98.9	0.9	16.6	29.3	Bp.20Plus
42	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65165.827008081	65167.299008081	356186	357658	2014/3/27  1:05:56.827	1.472	14.6	98.9	0.8	16.6	28.3	Bp.20Plus
43	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65203.925000993	65205.581000993	394284	395940	2014/3/27  1:06:34.925	1.656	14.2	101.1	0.9	16.6	33.2	Bp.20Plus
44	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65214.231000212	65215.612000212	404590	405971	2014/3/27  1:06:44.231	1.381	13.4	100.0	0.8	16.6	28.3	Bp.20Plus
45	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65224.077999708	65225.733999708	414437	416093	2014/3/27  1:06:54.078	1.656	14.2	100.0	0.9	16.6	28.3	Bp.20Plus
46	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65193.894005311	65195.458005311	384253	385817	2014/3/27  1:06:24.894	1.564	16.0	98.9	1.1	17.6	28.3	Bp.20Plus
47	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65234.752001357	65236.133001357	425111	426492	2014/3/27  1:07:05.752	1.381	16.0	100.0	0.8	16.6	39.1	Bp.20Plus
48	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65235.683006165	65237.340006165	426042	427699	2014/3/27  1:07:06.683	1.657	15.7	101.9	1.2	17.6	40.0	Bp.20Plus
49	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65206.500002113	65207.972002113	396859	398331	2014/3/27  1:06:36.500	1.472	15.7	99.6	1.4	16.6	64.5	Bp.20Plus
50	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65195.285005611	65196.758005611	385644	387117	2014/3/27  1:06:25.285	1.473	16.0	102.6	1.2	16.6	29.3	Bp.20Plus
51	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65245.609999192	65246.713999192	435969	437073	2014/3/27  1:07:15.610	1.104	16.0	98.5	0.6	17.6	45.9	Bp.20Plus
52	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65249.119002489	65250.315002489	439478	440674	2014/3/27  1:07:19.119	1.196	16.0	100.0	0.9	17.6	48.8	Bp.20Plus
53	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65254.36400522	65255.56000522	444723	445919	2014/3/27  1:07:24.364	1.196	16.4	99.6	0.8	16.6	39.1	Bp.20Plus
54	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65263.93399958	65265.13099958	454293	455490	2014/3/27  1:07:34.934	1.197	16.8	99.6	0.9	17.6	79.1	Bp.20Plus
56	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65268.352000159	65269.732000159	458711	460091	2014/3/27  1:07:38.352	1.38	15.7	98.9	1.2	16.6	53.7	Bp.20Plus
57	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65285.74399997	65286.84799997	476103	477207	2014/3/27  1:07:56.744	1.104	15.3	97.0	0.9	16.6	52.7	Bp.20Plus
58	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65282.338999328	65284.179999328	472698	474539	2014/3/27  1:07:52.339	1.841	15.7	101.1	1.5	16.6	50.8	Bp.20Plus
59	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65274.056998384	65275.528998384	464416	465888	2014/3/27  1:07:44.057	1.472	15.3	100.7	1.1	16.6	63.5	Bp.20Plus
60	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65303.653005627	65304.942005627	494012	495301	2014/3/27  1:08:14.653	1.289	13.8	98.5	1.1	16.6	73.2	Bp.20Plus
61	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65311.199001712	65312.488001712	501558	502847	2014/3/27  1:08:21.199	1.289	14.6	98.5	1.1	16.6	91.8	Bp.20Plus
62	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65316.35300715	65317.45700715	506712	507816	2014/3/27  1:08:26.353	1.104	14.9	100.0	0.8	16.6	29.3	Bp.20Plus
63	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65321.322000516	65322.518000516	511681	512877	2014/3/27  1:08:31.322	1.196	15.7	99.3	0.9	17.6	93.8	Bp.20Plus
64	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65324.529999611	65325.910999611	514889	516270	2014/3/27  1:08:34.530	1.381	14.6	99.6	1.2	16.6	75.2	Bp.20Plus
65	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65326.015004632	65327.211004632	516374	517570	2014/3/27  1:08:36.015	1.196	16.4	99.3	0.8	17.6	27.3	Bp.20Plus
66	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65327.39500117	65328.40800117	517754	518767	2014/3/27  1:08:37.395	1.013	16.0	98.9	0.8	17.6	27.3	Bp.20Plus
67	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65333.009002102	65334.665002102	523368	525024	2014/3/27  1:08:43.009	1.656	17.9	98.9	1.5	18.6	74.2	Bp.20Plus
68	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65336.414002744	65337.978002744	526773	528337	2014/3/27  1:08:46.414	1.564	15.7	97.4	0.8	16.6	29.3	Bp.20Plus
69	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65358.039001119	65359.05100112	548398	549410	2014/3/27  1:09:08.039	1.012	14.6	97.8	0.9	17.6	62.5	Bp.20Plus
70	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65353.346007061	65354.910007061	543705	545269	2014/3/27  1:09:03.346	1.564	14.2	97.8	0.8	16.6	28.3	Bp.20Plus
71	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65363.376006973	65364.573006973	553735	554932	2014/3/27  1:09:13.376	1.197	16.4	98.9	0.6	17.6	28.3	Bp.20Plus
72	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65367.241003108	65368.530003108	557600	558889	2014/3/27  1:09:17.241	1.289	17.2	98.9	1.1	17.6	56.6	Bp.20Plus
73	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65368.806001661	65370.278001661	559165	560637	2014/3/27  1:09:19.806	1.472	16.4	98.9	1.4	17.6	63.5	Bp.20Plus
74	Spectrogram 1	1	201_2014-03-27_01-00-00.wav	201_2014-03-27_01-00-00.wav	65374.143007514	65375.615007514	564502	565974	2014/3/27  1:09:24.143	1.472	14.6	99.6	0.8	16.6	30.3	Bp.20Plus
