Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61925.286003543	61925.746003543	716182	716642	2014/3/25  1:11:56.286	0.46	43.5	72.6	0.3	47.9	71.3	Bp.Downsweep
2	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61931.715007094	61932.543007094	722611	723439	2014/3/25  1:12:02.715	0.828	49.0	73.1	0.8	49.8	71.3	Bp.Downsweep
3	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61934.752005307	61935.718005307	725648	726614	2014/3/25  1:12:05.752	0.966	52.9	67.7	0.8	53.7	66.4	Bp.Downsweep
4	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61935.763999415	61936.959999415	726660	727856	2014/3/25  1:12:06.764	1.196	40.4	82.2	0.8	43.9	77.1	Bp.Downsweep
5	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61940.47600363	61941.25800363	731372	732154	2014/3/25  1:12:11.476	0.782	33.9	69.2	0.6	36.1	63.5	Bp.Downsweep
6	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61951.795002786	61952.899002786	742691	743795	2014/3/25  1:12:22.795	1.104	45.6	67.9	0.9	46.9	66.4	Bp.Downsweep
7	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61955.257999493	61956.039999493	746154	746936	2014/3/25  1:12:26.258	0.782	46.4	67.9	0.6	46.9	67.4	Bp.Downsweep
8	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61980.149998856	61981.622998856	771046	772519	2014/3/25  1:12:51.150	1.473	44.6	65.3	1.2	45.9	62.5	Bp.Downsweep
9	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61981.347005037	61982.727005037	772243	773623	2014/3/25  1:12:52.347	1.38	44.8	59.9	0.9	45.9	57.6	Bp.Downsweep
10	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	61985.384007884	61987.316007884	776280	778212	2014/3/25  1:12:56.384	1.932	51.1	78.1	1.5	52.7	75.2	Bp.Downsweep
11	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62021.548999814	62022.652999814	812445	813549	2014/3/25  1:13:32.549	1.104	50.8	93.7	0.9	52.7	85.9	Bp.Downsweep
12	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62312.947006864	62313.793006864	1103843	1104689	2014/3/25  1:18:23.947	0.846	39.4	81.2	0.6	42.0	76.2	Bp.Downsweep
13	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62313.792999057	62314.963999057	1104689	1105860	2014/3/25  1:18:24.793	1.171	38.3	49.0	0.8	40.0	47.9	Bp.Downsweep
14	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62319.170006705	62320.927006705	1110066	1111823	2014/3/25  1:18:30.170	1.757	45.9	81.5	1.5	49.8	78.1	Bp.Downsweep
15	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62321.406003428	62322.773003428	1112302	1113669	2014/3/25  1:18:32.406	1.367	46.1	63.3	1.1	48.8	60.5	Bp.Downsweep
16	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62421.14099857	62421.87799857	1212037	1212774	2014/3/25  1:20:12.141	0.737	41.6	64.2	0.6	42.0	60.5	Bp.Downsweep
17	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62422.153998507	62422.843998507	1213050	1213740	2014/3/25  1:20:13.154	0.69	38.7	60.6	0.5	42.0	58.6	Bp.Downsweep
18	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62426.789006559	62427.663006559	1217685	1218559	2014/3/25  1:20:17.789	0.874	45.5	85.0	0.6	49.8	80.1	Bp.Downsweep
19	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62482.647001711	62484.119001711	1273543	1275015	2014/3/25  1:21:13.647	1.472	69.1	105.0	1.2	71.3	100.6	Bp.Downsweep
20	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62492.034005714	62493.322005714	1282930	1284218	2014/3/25  1:21:22.034	1.288	36.9	63.9	1.1	39.1	58.6	Bp.Downsweep
21	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62492.770000515	62494.242000515	1283666	1285138	2014/3/25  1:21:23.770	1.472	35.1	65.5	1.2	38.1	59.6	Bp.Downsweep
22	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62715.488003907	62716.960003907	1506384	1507856	2014/3/25  1:25:06.488	1.472	44.4	72.0	0.8	45.9	66.4	Bp.Downsweep
23	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62736.744999854	62737.941999854	1527641	1528838	2014/3/25  1:25:27.745	1.197	41.8	55.6	0.9	42.0	52.7	Bp.Downsweep
24	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62766.101006387	62767.021006387	1556997	1557917	2014/3/25  1:25:56.101	0.92	39.2	61.9	0.8	40.0	59.6	Bp.Downsweep
25	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62786.989999903	62787.726999903	1577886	1578623	2014/3/25  1:26:17.990	0.737	38.7	63.1	0.5	40.0	58.6	Bp.Downsweep
26	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62789.659005744	62791.039005744	1580555	1581935	2014/3/25  1:26:20.659	1.38	67.0	81.6	1.1	67.4	78.1	Bp.Downsweep
27	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62802.450004561	62804.199004561	1593346	1595095	2014/3/25  1:26:33.450	1.749	43.9	71.2	1.2	46.9	69.3	Bp.Downsweep
28	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62813.991000099	62815.095000099	1604887	1605991	2014/3/25  1:26:44.991	1.104	50.9	79.5	0.9	51.8	75.2	Bp.Downsweep
29	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62881.076001344	62882.733001344	1671972	1673629	2014/3/25  1:27:51.076	1.657	47.3	76.7	1.2	48.8	71.3	Bp.Downsweep
30	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62901.542999563	62902.648999563	1692439	1693545	2014/3/25  1:28:12.543	1.106	42.1	71.7	0.9	45.9	67.4	Bp.Downsweep
31	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62910.108000381	62910.954000381	1701004	1701850	2014/3/25  1:28:21.108	0.846	46.8	81.1	0.8	47.9	78.1	Bp.Downsweep
32	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62913.296999378	62914.142999378	1704193	1705039	2014/3/25  1:28:24.297	0.846	35.6	60.8	0.8	37.1	59.6	Bp.Downsweep
33	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62915.013002945	62916.184002945	1705909	1707080	2014/3/25  1:28:25.013	1.171	34.3	60.3	0.8	37.1	57.6	Bp.Downsweep
34	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62923.122001407	62924.229001407	1714018	1715125	2014/3/25  1:28:34.122	1.107	65.5	90.4	0.9	66.4	86.9	Bp.Downsweep
35	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62933.428000627	62934.859000627	1724324	1725755	2014/3/25  1:28:44.428	1.431	36.4	55.1	0.6	40.0	51.8	Bp.Downsweep
36	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62960.865007309	62961.386007309	1751761	1752282	2014/3/25  1:29:11.865	0.521	41.1	73.3	0.3	43.9	68.4	Bp.Downsweep
37	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	62999.582007123	63000.558007123	1790478	1791454	2014/3/25  1:29:50.582	0.976	40.0	71.2	0.8	43.9	65.4	Bp.Downsweep
38	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63009.928008137	63010.905008137	1800824	1801801	2014/3/25  1:30:00.928	0.977	53.5	79.3	0.6	53.7	76.2	Bp.Downsweep
39	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63020.730001447	63021.706001447	1811626	1812602	2014/3/25  1:30:11.730	0.976	69.4	92.5	0.8	71.3	90.8	Bp.Downsweep
40	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63024.049003763	63025.220003763	1814945	1816116	2014/3/25  1:30:14.049	1.171	29.9	51.7	1.1	30.3	48.8	Bp.Downsweep
41	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63035.663002325	63036.444002325	1826559	1827340	2014/3/25  1:30:26.663	0.781	31.4	72.8	0.6	32.2	68.4	Bp.Downsweep
42	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63036.224998874	63037.200998874	1827121	1828097	2014/3/25  1:30:27.225	0.976	52.0	76.1	0.9	53.7	75.2	Bp.Downsweep
43	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63040.129001034	63041.105001034	1831025	1832001	2014/3/25  1:30:31.129	0.976	44.7	75.4	0.8	46.9	70.3	Bp.Downsweep
44	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63084.312004192	63085.288004191	1875208	1876184	2014/3/25  1:31:15.312	0.976	47.8	76.7	0.8	50.8	73.2	Bp.Downsweep
45	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63131.078004805	63132.119004805	1921974	1923015	2014/3/25  1:32:01.078	1.041	63.4	83.7	0.9	63.5	83.0	Bp.Downsweep
46	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63133.030005885	63134.006005885	1923926	1924902	2014/3/25  1:32:03.030	0.976	52.2	73.5	0.6	52.7	68.4	Bp.Downsweep
47	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63134.307005597	63135.153005597	1925203	1926049	2014/3/25  1:32:05.307	0.846	44.4	70.9	0.8	45.9	67.4	Bp.Downsweep
48	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63135.218004478	63136.455004478	1926114	1927351	2014/3/25  1:32:06.218	1.237	37.2	64.2	1.1	39.1	61.5	Bp.Downsweep
49	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63149.557999117	63150.663999117	1940454	1941560	2014/3/25  1:32:20.558	1.106	49.4	71.5	0.9	50.8	67.4	Bp.Downsweep
50	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63153.982004491	63155.024004491	1944878	1945920	2014/3/25  1:32:24.982	1.042	40.3	75.6	0.9	43.9	68.4	Bp.Downsweep
51	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63154.893003372	63155.935003372	1945789	1946831	2014/3/25  1:32:25.893	1.042	37.2	56.4	0.6	42.0	54.7	Bp.Downsweep
52	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63156.00000803	63156.91100803	1946896	1947807	2014/3/25  1:32:26.000	0.911	50.7	80.6	0.8	52.7	77.1	Bp.Downsweep
53	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63168.493000013	63169.665000013	1959389	1960561	2014/3/25  1:32:39.493	1.172	32.2	47.6	0.9	33.2	43.9	Bp.Downsweep
54	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63169.925007937	63170.771007937	1960821	1961667	2014/3/25  1:32:40.925	0.846	53.3	85.0	0.6	55.7	81.1	Bp.Downsweep
55	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63176.041007755	63177.343007755	1966937	1968239	2014/3/25  1:32:46.041	1.302	56.7	87.6	1.2	59.6	85.0	Bp.Downsweep
56	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63181.963003395	63183.004003395	1972859	1973900	2014/3/25  1:32:52.963	1.041	57.7	84.7	0.8	59.6	82.0	Bp.Downsweep
57	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63192.504004357	63193.676004357	1983400	1984572	2014/3/25  1:33:03.504	1.172	40.3	72.8	1.1	43.0	68.4	Bp.Downsweep
58	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63193.741002274	63194.847002274	1984637	1985743	2014/3/25  1:33:04.741	1.106	39.5	56.9	0.9	41.0	55.7	Bp.Downsweep
59	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63212.019006131	63213.451006131	2002915	2004347	2014/3/25  1:33:22.019	1.432	47.0	67.3	0.9	48.8	65.4	Bp.Downsweep
60	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63249.044001443	63249.500001443	2039940	2040396	2014/3/25  1:33:59.044	0.456	38.2	63.1	0.3	40.0	58.6	Bp.Downsweep
61	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63258.02400705	63258.93500705	2048920	2049831	2014/3/25  1:34:08.024	0.911	41.1	61.6	0.5	43.0	57.6	Bp.Downsweep
62	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63264.076006008	63265.182006008	2054972	2056078	2014/3/25  1:34:14.076	1.106	40.3	70.4	0.9	42.0	67.4	Bp.Downsweep
63	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63268.045004798	63269.086004798	2058941	2059982	2014/3/25  1:34:18.045	1.041	60.0	93.8	0.8	62.5	91.8	Bp.Downsweep
64	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63270.453008232	63272.014008232	2061349	2062910	2014/3/25  1:34:21.453	1.561	45.5	75.4	1.2	48.8	73.2	Bp.Downsweep
65	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63274.74700023	63275.72300023	2065643	2066619	2014/3/25  1:34:25.747	0.976	59.5	87.8	0.8	60.5	83.0	Bp.Downsweep
66	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63278.001005916	63279.498005916	2068897	2070394	2014/3/25  1:34:28.001	1.497	59.0	93.3	1.2	60.5	87.9	Bp.Downsweep
67	Spectrogram 1	1	201_2014-03-25_01-00-00.wav	201_2014-03-25_01-00-00.wav	63298.789999975	63299.570999975	2089686	2090467	2014/3/25  1:34:49.790	0.781	39.8	64.2	0.5	42.0	60.5	Bp.Downsweep
