Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Possible	From	Tags
1	Spectrogram 1	1	201_2014-02-22_05-00-00.wav	201_2014-02-22_05-00-00.wav	1340.814996511	1345.875996511	1340815	1345876	2014/2/22  5:22:20.815	5.061	16.5	22.9	3.4	18.6	22.5	Tonal		Unidentified.calls
2	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	3691.222000603	3692.694000603	90643	92115	2014/2/23  20:01:30.222	1.472	16.5	54.5	1.2	17.6	44.9	fm		Unidentified.calls
3	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	3726.983997334	3727.995997334	126405	127417	2014/2/23  20:02:06.984	1.012	85.3	104.0	0.8	87.9	101.6	fm		Unidentified.calls
4	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	3772.810996804	3774.466996804	172232	173888	2014/2/23  20:02:52.811	1.656	27.4	50.3	1.4	30.3	46.9	fm		Unidentified.calls
5	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	3774.190993343	3776.399993343	173612	175821	2014/2/23  20:02:53.191	2.209	26.1	50.3	1.7	28.3	47.9	fm		Unidentified.calls
6	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	3792.319993783	3794.251993783	191741	193673	2014/2/23  20:03:11.320	1.932	40.4	78.4	1.5	43.0	73.2	fm		Unidentified.calls
7	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	3805.110992599	3806.122992599	204532	205544	2014/2/23  20:03:24.111	1.012	69.8	90.5	0.6	71.3	86.9	fm		Unidentified.calls
8	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	3821.271999288	3822.467999288	220693	221889	2014/2/23  20:03:40.272	1.196	30.6	41.2	0.6	32.2	40.0	fm		Unidentified.calls
9	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	3836.364001516	3837.836001516	235785	237257	2014/2/23  20:03:55.364	1.472	29.3	55.2	0.9	30.3	51.8	fm		Unidentified.calls
10	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	3851.731992994	3853.295992994	251153	252717	2014/2/23  20:04:11.732	1.564	80.9	96.2	1.4	81.1	94.7	fm		Unidentified.calls
11	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	3905.656997223	3906.576997223	305078	305998	2014/2/23  20:05:05.657	0.92	55.0	84.3	0.6	55.7	82.0	fm		Unidentified.calls
12	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	3909.154000986	3909.890000986	308575	309311	2014/2/23  20:05:08.154	0.736	17.3	24.9	0.6	18.6	24.4	fm		Unidentified.calls
13	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4185.6699926	4187.1429926	585091	586564	2014/2/23  20:09:45.670	1.473	48.1	65.8	1.2	49.8	64.5	fm		Unidentified.calls
14	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4280.602992062	4282.074992062	680024	681496	2014/2/23  20:11:20.603	1.472	72.0	91.2	1.1	74.2	88.9	fm		Unidentified.calls
15	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4300.571994592	4302.411994592	699993	701833	2014/2/23  20:11:39.572	1.84	10.8	49.1	1.4	12.7	44.9	fm		Unidentified.calls
16	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4346.214997877	4347.319997877	745636	746741	2014/2/23  20:12:25.215	1.105	95.4	113.2	0.6	97.7	110.4	fm		Unidentified.calls
17	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4347.687993307	4349.067993307	747109	748489	2014/2/23  20:12:27.688	1.38	26.9	53.3	0.6	30.3	48.8	fm		Unidentified.calls
18	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4367.621993009	4368.725993009	767043	768147	2014/2/23  20:12:47.622	1.104	61.4	76.7	0.9	62.5	75.2	fm		Unidentified.calls
19	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4368.817993362	4369.829993362	768239	769251	2014/2/23  20:12:48.818	1.012	49.3	79.6	0.9	51.8	76.2	fm		Unidentified.calls
20	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4375.627994645	4377.191994645	775049	776613	2014/2/23  20:12:55.628	1.564	66.1	104.3	1.2	66.4	99.6	fm		Unidentified.calls
21	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4412.160999063	4413.264999063	811582	812686	2014/2/23  20:13:31.161	1.104	64.6	87.5	0.9	65.4	84.0	fm		Unidentified.calls
