Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150224_140000.wav	20150224_140000.wav	30460.827712385	30476.672002047	1656384	1672228	2015/2/24  14:27:36.828	15.844	16.2	28.7	11.7	17.6	27.3	Bm.Ant-Z
2	Spectrogram 1	1	20150224_140000.wav	20150224_140000.wav	31048.483405322	31062.23968782	2244039	2257796	2015/2/24  14:37:24.483	13.756	15.5	28.7	9.2	17.6	26.4	Bm.Ant-Z
3	Spectrogram 1	1	20150224_140000.wav	20150224_140000.wav	31110.178775844	31126.268713408	2305735	2321825	2015/2/24  14:38:25.179	16.09	16.6	28.3	11.7	17.6	26.4	Bm.Ant-Z
4	Spectrogram 1	1	20150224_140000.wav	20150224_140000.wav	30379.234861822	30391.517256909	1574791	1587073	2015/2/24  14:26:14.235	12.282	15.5	27.9	9.4	16.6	26.4	Bm.Ant-Z
5	Spectrogram 1	1	20150224_140000.wav	20150224_140000.wav	31183.01337871	31200.700027636	2378569	2396256	2015/2/24  14:39:38.013	17.687	15.5	28.3	14.5	16.6	27.3	Bm.Ant-Z
6	Spectrogram 1	1	20150224_140000.wav	20150224_140000.wav	30983.14106346	30997.020169908	2178697	2192576	2015/2/24  14:36:18.141	13.879	15.1	29.1	11.1	17.6	27.3	Bm.Ant-Z
7	Spectrogram 1	1	20150226_080000.wav	20150226_080000.wav	34016.230035824	34027.529839304	1611249	1622549	2015/2/26  8:26:51.230	11.3	15.0	28.8	10.0	16.6	27.3	Bm.Ant-Z
8	Spectrogram 1	1	20150226_080000.wav	20150226_080000.wav	33074.936023541	33094.46503173	669955	689484	2015/2/26  8:11:09.936	19.529	15.4	28.8	17.1	16.6	27.3	Bm.Ant-Z
9	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	43287.403092119	43302.633262027	80769	95999	2015/3/3  15:01:20.403	15.23	15.0	28.7	12.3	17.6	26.4	Bm.Ant-Z
10	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	43415.546220061	43429.670974411	208912	223037	2015/3/3  15:03:28.546	14.125	15.4	27.9	10.8	16.6	27.3	Bm.Ant-Z
11	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	43454.358588536	43461.97367349	247725	255340	2015/3/3  15:04:07.359	7.615	15.1	27.6	6.9	15.6	26.4	Bm.Ant-Z
12	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	43473.27347697	43483.713512794	266639	277080	2015/3/3  15:04:26.273	10.44	15.1	27.6	8.9	16.6	26.4	Bm.Ant-Z
13	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	43577.465934493	43588.888561924	370832	382255	2015/3/3  15:06:10.466	11.423	16.5	29.0	7.9	18.6	27.3	Bm.Ant-Z
14	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	44083.443700102	44096.708686796	876810	890075	2015/3/3  15:14:36.444	13.265	15.4	28.3	9.7	16.6	26.4	Bm.Ant-Z
15	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	45516.246416581	45534.670009212	2309612	2328036	2015/3/3  15:38:29.246	18.424	15.1	27.9	15.9	16.6	27.3	Bm.Ant-Z
16	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	45959.263824974	45968.721269191	2752630	2762087	2015/3/3  15:45:52.264	9.457	14.3	27.9	8.2	14.6	26.4	Bm.Ant-Z
17	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	43863.513333675	43873.339249744	656879	666705	2015/3/3  15:10:56.513	9.826	15.8	27.9	8.2	16.6	26.4	Bm.Ant-Z
18	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	45319.652600819	45333.531707267	2113019	2126898	2015/3/3  15:35:13.653	13.879	16.5	27.9	11.1	17.6	27.3	Bm.Ant-Z
19	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	44376.246416581	44390.12552303	1169612	1183492	2015/3/3  15:19:29.246	13.879	13.6	27.6	11.1	15.6	26.4	Bm.Ant-Z
20	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	45999.058785056	46012.937891505	2792425	2806304	2015/3/3  15:46:32.059	13.879	16.2	27.9	12.0	17.6	26.4	Bm.Ant-Z
21	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	43772.217390993	43784.49978608	565583	577866	2015/3/3  15:09:25.217	12.282	15.1	27.9	10.3	16.6	26.4	Bm.Ant-Z
22	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	46128.307328557	46144.642914023	2921673	2938009	2015/3/3  15:48:41.307	16.336	16.5	27.9	13.6	17.6	26.4	Bm.Ant-Z
23	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	44145.139070624	44157.912761515	938505	951279	2015/3/3  15:15:38.139	12.774	15.8	28.7	9.4	17.6	26.4	Bm.Ant-Z
24	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	45254.272511771	45269.871153531	2047639	2063237	2015/3/3  15:34:07.273	15.599	15.8	28.3	13.1	17.6	26.4	Bm.Ant-Z
25	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	43351.517194473	43366.133244626	144883	159499	2015/3/3  15:02:24.517	14.616	15.8	28.3	9.7	18.6	26.4	Bm.Ant-Z
26	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	43735.12455783	43747.529776868	528491	540896	2015/3/3  15:08:48.125	12.405	15.1	27.9	9.9	16.6	26.4	Bm.Ant-Z
27	Spectrogram 1	1	20150305_100000.wav	20150305_100000.wav	49129.375996929	49137.605201638	2322205	2330434	2015/3/5  10:38:42.376	8.229	15.4	28.0	7.2	15.6	26.4	Bm.Ant-Z
28	Spectrogram 1	1	20150305_100000.wav	20150305_100000.wav	48970.895353122	48979.615853634	2163724	2172445	2015/3/5  10:36:03.895	8.721	15.8	28.0	7.5	17.6	27.3	Bm.Ant-Z
