Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150303_150000.wav	20150303_150000.wav	43793.097462641	43794.202878199	586463	587569	2015/3/3  15:09:46.097	1.105	10.3	31.2	0.6	13.7	27.3	Fin.20Hz
2	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	85871.163487206	85872.637374616	3058432	3059906	2015/3/23  1:50:58.163	1.474	13.9	28.6	0.8	16.6	26.4	Fin.20Hz
3	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	86395.772746162	86397.369457523	3583042	3584638	2015/3/23  1:59:43.773	1.597	14.1	31.9	0.8	17.6	28.3	Fin.20Hz
4	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	86242.32788434	86243.678947799	3429597	3430948	2015/3/23  1:57:09.328	1.351	14.1	31.0	1.1	17.6	27.3	Fin.20Hz
5	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	84736.469081883	84737.942969294	1923738	1925212	2015/3/23  1:32:03.469	1.474	14.7	27.8	0.8	17.6	27.3	Fin.20Hz
6	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	84491.236981576	84492.956516888	1678506	1680226	2015/3/23  1:27:58.237	1.72	13.9	26.6	1.2	16.6	25.4	Fin.20Hz
7	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	85382.258250768	85383.854962129	2569527	2571124	2015/3/23  1:42:49.258	1.597	14.7	27.8	1.2	17.6	26.4	Fin.20Hz
8	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	83972.239877175	83973.713764585	1159509	1160983	2015/3/23  1:19:19.240	1.474	14.3	27.8	1.1	16.6	26.4	Fin.20Hz
9	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	84666.421682702	84668.018394063	1853691	1855287	2015/3/23  1:30:53.422	1.597	13.5	26.6	1.2	16.6	26.4	Fin.20Hz
10	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	85710.925560901	85712.645096213	2898195	2899914	2015/3/23  1:48:18.926	1.72	17.9	30.2	0.6	19.5	27.3	Fin.20Hz
11	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	84963.891709314	84965.119948823	2151161	2152389	2015/3/23  1:35:51.892	1.228	14.3	28.6	0.8	15.6	27.3	Fin.20Hz
12	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	85665.112227226	85666.954586489	2852381	2854224	2015/3/23  1:47:32.112	1.842	13.9	29.4	1.1	16.6	27.3	Fin.20Hz
13	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	85592.97682088	85594.450708291	2780246	2781720	2015/3/23  1:46:20.977	1.474	15.5	30.2	0.6	17.6	28.3	Fin.20Hz
14	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	85830.593836233	85831.944899693	3017863	3019214	2015/3/23  1:50:17.594	1.351	14.3	29.8	0.8	16.6	28.3	Fin.20Hz
15	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	84352.285345957	84353.390761515	1539554	1540660	2015/3/23  1:25:39.285	1.105	15.9	31.7	0.8	17.6	26.4	Fin.20Hz
