Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	83487.179930399	83488.530993859	674449	675800	2015/3/23  1:11:14.180	1.351	15.0	99.5	0.8	16.6	27.3	Fin.20Plus
2	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	83227.416856704	83229.136392016	414686	416405	2015/3/23  1:06:54.417	1.72	13.3	101.1	0.9	16.6	30.3	Fin.20Plus
3	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	85549.988438076	85551.585149437	2737257	2738854	2015/3/23  1:45:37.988	1.597	14.3	99.2	1.4	15.6	34.2	Fin.20Plus
4	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	84370.217642784	84371.937178096	1557487	1559206	2015/3/23  1:25:57.218	1.72	14.3	98.8	0.8	16.6	27.3	Fin.20Plus
5	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	84012.52613306	84014.000020471	1199795	1201269	2015/3/23  1:19:59.526	1.474	14.3	98.4	0.6	17.6	28.3	Fin.20Plus
6	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	83992.628653019	83993.856892528	1179898	1181126	2015/3/23  1:19:39.629	1.228	13.9	96.4	0.8	17.6	28.3	Fin.20Plus
7	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	83517.763094166	83519.482629478	705032	706752	2015/3/23  1:11:45.763	1.72	15.0	101.1	0.8	16.6	27.3	Fin.20Plus
8	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	84837.836588536	84839.556123849	2025106	2026825	2015/3/23  1:33:45.837	1.72	16.7	100.0	1.2	18.6	56.6	Fin.20Plus
9	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	83982.434265097	83984.030976459	1169703	1171300	2015/3/23  1:19:29.434	1.597	14.7	98.4	0.6	17.6	27.3	Fin.20Plus
10	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	83442.925560901	83445.013568066	630195	632283	2015/3/23  1:10:30.926	2.088	15.0	98.7	1.1	16.6	27.3	Fin.20Plus
11	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	85263.695390993	85264.923630502	2450964	2452193	2015/3/23  1:40:50.695	1.228	14.3	98.8	0.9	16.6	32.2	Fin.20Plus
12	Spectrogram 1	1	20150323_010000.wav	20150323_010000.wav	83392.076445241	83394.041628454	579345	581311	2015/3/23  1:09:39.076	1.965	13.8	97.1	1.1	16.6	27.3	Fin.20Plus
