Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Tags
1	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	61925.286003543	61925.746003543	715904	716364	2015/3/12  11:11:55.286	0.46	43.5	72.6	0.3	44.9	71.3	Fin.DS
2	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	61931.715007094	61932.543007094	722333	723161	2015/3/12  11:12:02.715	0.828	49.0	73.1	0.8	50.8	71.3	Fin.DS
3	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	61934.752005307	61935.718005307	725370	726336	2015/3/12  11:12:05.752	0.966	52.9	67.7	0.8	54.7	67.4	Fin.DS
4	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	61935.763999415	61936.959999415	726382	727578	2015/3/12  11:12:06.764	1.196	40.4	82.2	1.1	41.0	79.1	Fin.DS
5	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	61940.47600363	61941.25800363	731094	731876	2015/3/12  11:12:11.476	0.782	33.9	69.2	0.6	34.2	64.5	Fin.DS
6	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	61951.795002786	61952.899002786	742413	743517	2015/3/12  11:12:22.795	1.104	45.6	67.9	0.9	47.9	66.4	Fin.DS
7	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	61955.257999493	61956.039999493	745876	746658	2015/3/12  11:12:25.258	0.782	46.4	67.9	0.6	46.9	66.4	Fin.DS
8	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	61980.149998856	61981.622998856	770768	772241	2015/3/12  11:12:50.150	1.473	44.6	65.3	1.2	44.9	63.5	Fin.DS
9	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	61981.347005037	61982.727005037	771965	773345	2015/3/12  11:12:51.347	1.38	44.8	59.9	1.2	44.9	58.6	Fin.DS
10	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	61985.384007884	61987.316007884	776002	777934	2015/3/12  11:12:56.384	1.932	51.1	78.1	1.7	53.7	75.2	Fin.DS
11	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62021.548999814	62022.652999814	812167	813271	2015/3/12  11:13:32.549	1.104	50.8	93.7	0.9	52.7	89.8	Fin.DS
12	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62312.947006864	62313.793006864	1103565	1104411	2015/3/12  11:18:23.947	0.846	39.4	81.2	0.6	42.0	77.1	Fin.DS
13	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62313.792999057	62314.963999057	1104411	1105582	2015/3/12  11:18:24.793	1.171	38.3	49.0	1.1	39.1	48.8	Fin.DS
14	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62319.170006705	62320.927006705	1109788	1111545	2015/3/12  11:18:29.170	1.757	45.9	81.5	1.7	47.9	79.1	Fin.DS
15	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62321.406003428	62322.773003428	1112024	1113391	2015/3/12  11:18:32.406	1.367	46.1	63.3	1.2	47.9	61.5	Fin.DS
16	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62421.14099857	62421.87799857	1211759	1212496	2015/3/12  11:20:11.141	0.737	41.6	64.2	0.6	42.0	61.5	Fin.DS
17	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62422.153998507	62422.843998507	1212772	1213462	2015/3/12  11:20:12.154	0.69	38.7	60.6	0.5	39.1	59.6	Fin.DS
18	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62426.789006559	62427.663006559	1217407	1218281	2015/3/12  11:20:17.789	0.874	45.5	85.0	0.8	47.9	82.0	Fin.DS
19	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62482.647001711	62484.119001711	1273265	1274737	2015/3/12  11:21:13.647	1.472	69.1	105.0	1.2	70.3	103.5	Fin.DS
20	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62492.034005714	62493.322005714	1282652	1283940	2015/3/12  11:21:22.034	1.288	36.9	63.9	1.1	38.1	60.5	Fin.DS
21	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62492.770000515	62494.242000515	1283388	1284860	2015/3/12  11:21:23.770	1.472	35.1	65.5	1.4	35.2	63.5	Fin.DS
22	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62715.488003907	62716.960003907	1506106	1507578	2015/3/12  11:25:06.488	1.472	44.4	72.0	1.2	44.9	70.3	Fin.DS
23	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62736.744999854	62737.941999854	1527363	1528560	2015/3/12  11:25:27.745	1.197	41.8	55.6	0.9	42.0	53.7	Fin.DS
24	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62766.101006387	62767.021006387	1556719	1557639	2015/3/12  11:25:56.101	0.92	39.2	61.9	0.8	40.0	60.5	Fin.DS
25	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62786.989999903	62787.726999903	1577608	1578345	2015/3/12  11:26:17.990	0.737	38.7	63.1	0.6	39.1	59.6	Fin.DS
26	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62789.659005744	62791.039005744	1580277	1581657	2015/3/12  11:26:20.659	1.38	67.0	81.6	1.1	67.4	80.1	Fin.DS
27	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62802.450004561	62804.199004561	1593068	1594817	2015/3/12  11:26:33.450	1.749	43.9	71.2	1.5	44.9	68.4	Fin.DS
28	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62813.991000099	62815.095000099	1604609	1605713	2015/3/12  11:26:44.991	1.104	50.9	79.5	0.9	51.8	77.1	Fin.DS
29	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62881.076001344	62882.733001344	1671694	1673351	2015/3/12  11:27:51.076	1.657	47.3	76.7	1.5	48.8	73.2	Fin.DS
30	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62901.542999563	62902.648999563	1692161	1693267	2015/3/12  11:28:12.543	1.106	42.1	71.7	0.9	43.0	68.4	Fin.DS
31	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62910.108000381	62910.954000381	1700726	1701572	2015/3/12  11:28:20.108	0.846	46.8	81.1	0.8	47.9	79.1	Fin.DS
32	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62913.296999378	62914.142999378	1703915	1704761	2015/3/12  11:28:23.297	0.846	35.6	60.8	0.8	38.1	59.6	Fin.DS
33	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62915.013002945	62916.184002945	1705631	1706802	2015/3/12  11:28:25.013	1.171	34.3	60.3	1.1	36.1	57.6	Fin.DS
34	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62923.122001407	62924.229001407	1713740	1714847	2015/3/12  11:28:33.122	1.107	65.5	90.4	0.9	67.4	87.9	Fin.DS
35	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62933.428000627	62934.859000627	1724046	1725477	2015/3/12  11:28:44.428	1.431	36.4	55.1	1.2	37.1	53.7	Fin.DS
36	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62960.865007309	62961.386007309	1751483	1752004	2015/3/12  11:29:11.865	0.521	41.1	73.3	0.3	44.9	69.3	Fin.DS
37	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62999.582007123	63000.558007123	1790200	1791176	2015/3/12  11:29:50.582	0.976	40.0	71.2	0.8	41.0	67.4	Fin.DS
38	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63009.928008137	63010.905008137	1800546	1801523	2015/3/12  11:30:00.928	0.977	53.5	79.3	0.8	53.7	77.1	Fin.DS
39	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63020.730001447	63021.706001447	1811348	1812324	2015/3/12  11:30:11.730	0.976	69.4	92.5	0.8	70.3	89.8	Fin.DS
40	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63024.049003763	63025.220003763	1814667	1815838	2015/3/12  11:30:14.049	1.171	29.9	51.7	1.1	30.3	48.8	Fin.DS
41	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63035.663002325	63036.444002325	1826281	1827062	2015/3/12  11:30:26.663	0.781	31.4	72.8	0.6	34.2	66.4	Fin.DS
42	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63036.224998874	63037.200998874	1826843	1827819	2015/3/12  11:30:26.225	0.976	52.0	76.1	0.9	53.7	74.2	Fin.DS
43	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63040.129001034	63041.105001034	1830747	1831723	2015/3/12  11:30:30.129	0.976	44.7	75.4	0.8	44.9	74.2	Fin.DS
44	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63084.312004192	63085.288004191	1874930	1875906	2015/3/12  11:31:14.312	0.976	47.8	76.7	0.8	47.9	74.2	Fin.DS
45	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63131.078004805	63132.119004805	1921696	1922737	2015/3/12  11:32:01.078	1.041	63.4	83.7	0.9	64.5	83.0	Fin.DS
46	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63133.030005885	63134.006005885	1923648	1924624	2015/3/12  11:32:03.030	0.976	52.2	73.5	0.8	53.7	73.2	Fin.DS
47	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63134.307005597	63135.153005597	1924925	1925771	2015/3/12  11:32:04.307	0.846	44.4	70.9	0.8	46.9	68.4	Fin.DS
48	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63135.218004478	63136.455004478	1925836	1927073	2015/3/12  11:32:05.218	1.237	37.2	64.2	1.1	39.1	58.6	Fin.DS
49	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63149.557999117	63150.663999117	1940176	1941282	2015/3/12  11:32:20.558	1.106	49.4	71.5	0.9	50.8	71.3	Fin.DS
50	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63153.982004491	63155.024004491	1944600	1945642	2015/3/12  11:32:24.982	1.042	40.3	75.6	0.9	43.0	73.2	Fin.DS
51	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63154.893003372	63155.935003372	1945511	1946553	2015/3/12  11:32:25.893	1.042	37.2	56.4	0.9	38.1	54.7	Fin.DS
52	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63156.00000803	63156.91100803	1946618	1947529	2015/3/12  11:32:26.000	0.911	50.7	80.6	0.8	52.7	78.1	Fin.DS
53	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63168.493000013	63169.665000013	1959111	1960283	2015/3/12  11:32:39.493	1.172	32.2	47.6	1.1	32.2	45.9	Fin.DS
54	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63169.925007937	63170.771007937	1960543	1961389	2015/3/12  11:32:40.925	0.846	53.3	85.0	0.8	53.7	84.0	Fin.DS
