Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Tags
1	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	63777.388790174	63802.813348004	2568007	2593431	2015/3/12  11:42:48.389	25.425	72.9	123.6	MinkeDS
2	Spectrogram 1	1	20150312_110000.wav	20150312_110000.wav	62906.092847492	62926.727271238	1696711	1717345	2015/3/12  11:28:16.093	20.634	74.1	123.6	MinkeDS
3	Spectrogram 1	1	20150330_030000.wav	20150330_030000.wav	97308.083867963	97335.719256909	93721	121356	2015/3/30  3:01:33.084	27.635	94.6	124.2	MinkeDS
4	Spectrogram 1	1	20150406_040000.wav	20150406_040000.wav	113527.668763562	113570.534322416	1911095	1953960	2015/4/6  4:31:51.669	42.866	106.8	123.2	MinkeDS
5	Spectrogram 1	1	20150608_180000.wav	20150608_180000.wav	242903.291489253	242943.209273286	1667049	1706967	2015/6/8  18:27:47.291	39.918	108.8	123.5	MinkeDS
6	Spectrogram 1	1	20150610_120000.wav	20150610_120000.wav	248035.447199591	248081.014885363	3198647	3244215	2015/6/10  12:53:18.447	45.568	102.3	123.1	MinkeDS
7	Spectrogram 1	1	20150610_120000.wav	20150610_120000.wav	246829.870792221	246877.64930911	1993071	2040849	2015/6/10  12:33:13.871	47.779	91.8	122.7	MinkeDS
8	Spectrogram 1	1	20150610_120000.wav	20150610_120000.wav	248368.143535312	248436.679299898	3531344	3599879	2015/6/10  12:58:51.144	68.536	99.7	124.2	MinkeDS
9	Spectrogram 1	1	20150610_120000.wav	20150610_120000.wav	248283.971381781	248303.991685773	3447171	3467192	2015/6/10  12:57:27.971	20.02	105.7	122.4	MinkeDS
10	Spectrogram 1	1	20150610_120000.wav	20150610_120000.wav	247521.104822927	247537.194760491	2684305	2700395	2015/6/10  12:44:44.105	16.09	99.7	119.0	MinkeDS
11	Spectrogram 1	1	20150610_120000.wav	20150610_120000.wav	247761.461712385	247810.836940635	2924662	2974037	2015/6/10  12:48:44.462	49.375	109.5	123.1	MinkeDS
12	Spectrogram 1	1	20150610_120000.wav	20150610_120000.wav	247657.392078813	247682.44816479	2820592	2845648	2015/6/10  12:47:00.392	25.056	109.5	122.7	MinkeDS
13	Spectrogram 1	1	20150610_120000.wav	20150610_120000.wav	247911.221855681	247989.744107472	3074422	3152944	2015/6/10  12:51:14.222	78.522	94.4	122.7	MinkeDS
14	Spectrogram 1	1	20150610_120000.wav	20150610_120000.wav	247871.672543501	247885.306002047	3034873	3048506	2015/6/10  12:50:34.673	13.633	102.7	123.9	MinkeDS
15	Spectrogram 1	1	20150610_120000.wav	20150610_120000.wav	248193.043910952	248219.819532242	3356244	3383020	2015/6/10  12:55:56.044	26.776	106.1	123.5	MinkeDS
16	Spectrogram 1	1	20150614_010000.wav	20150614_010000.wav	252427.004757421	252454.517322416	389089	416601	2015/6/14  1:06:29.005	27.513	104.7	123.9	MinkeDS
17	Spectrogram 1	1	20150614_010000.wav	20150614_010000.wav	254241.510566018	254283.147885363	2203595	2245232	2015/6/14  1:36:43.511	41.637	112.4	123.5	MinkeDS
