Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Notes	Tags
1	Spectrogram 1	1	20150212_050000.wav	20150212_050000.wav	3766.131475947	3767.359715455	165530	166759	2015/2/12  5:02:45.131	1.228	39.6	60.9	0.8	43.0	60.5		Unidentified.calls
2	Spectrogram 1	1	20150213_230000.wav	20150213_230000.wav	7476.69819652	7478.294907881	275539	277136	2015/2/13  23:04:35.698	1.597	46.7	73.6	1.2	46.9	71.3		Unidentified.calls
3	Spectrogram 1	1	20150219_070000.wav	20150219_070000.wav	19038.580628454	19040.422987718	1035769	1037611	2015/2/19  7:17:15.581	1.842	8.7	55.0	0.9	10.7	46.9		Unidentified.calls
4	Spectrogram 1	1	20150219_070000.wav	20150219_070000.wav	19064.987777892	19066.830137155	1062176	1064018	2015/2/19  7:17:42.988	1.842	9.4	53.8	0.9	11.7	42.0		Unidentified.calls
5	Spectrogram 1	1	20150219_070000.wav	20150219_070000.wav	19214.993569089	19216.713104401	1212182	1213901	2015/2/19  7:20:12.994	1.72	24.1	69.7	1.2	26.4	64.5		Unidentified.calls
6	Spectrogram 1	1	20150219_070000.wav	20150219_070000.wav	19140.193783009	19142.527438076	1137382	1139715	2015/2/19  7:18:57.194	2.334	8.3	59.9	1.4	11.7	46.9		Unidentified.calls
7	Spectrogram 1	1	20150221_010000.wav	20150221_010000.wav	23686.633818833	23687.739234391	2083264	2084369	2015/2/21  1:34:43.634	1.105	76.1	97.1	0.9	76.2	93.8		Unidentified.calls
8	Spectrogram 1	1	20150222_190000.wav	20150222_190000.wav	28590.359145343	28591.955856704	3386452	3388049	2015/2/22  19:56:26.359	1.597	36.5	59.1	0.9	39.1	54.7		Unidentified.calls
9	Spectrogram 1	1	20150222_190000.wav	20150222_190000.wav	28006.756642784	28007.739234391	2802850	2803832	2015/2/22  19:46:42.757	0.983	19.2	61.7	0.8	19.5	54.7		Unidentified.calls
10	Spectrogram 1	1	20150222_190000.wav	20150222_190000.wav	28573.286616172	28574.637679632	3369380	3370731	2015/2/22  19:56:09.287	1.351	23.7	56.9	0.9	27.3	52.7		Unidentified.calls
11	Spectrogram 1	1	20150222_190000.wav	20150222_190000.wav	25734.334980553	25735.686044012	530428	531779	2015/2/22  19:08:50.335	1.351	23.0	69.3	0.8	26.4	63.5		Unidentified.calls
12	Spectrogram 1	1	20150222_190000.wav	20150222_190000.wav	25619.948135107	25621.176374616	416041	417269	2015/2/22  19:06:56.948	1.228	19.6	52.0	0.9	22.5	48.8		Unidentified.calls
13	Spectrogram 1	1	20150222_190000.wav	20150222_190000.wav	26230.94037871	26233.151209826	1027033	1029244	2015/2/22  19:17:07.940	2.211	35.8	85.5	1.7	38.1	76.2		Unidentified.calls
14	Spectrogram 1	1	20150222_190000.wav	20150222_190000.wav	27210.064167861	27212.029351075	2006157	2008122	2015/2/22  19:33:26.064	1.965	23.3	74.2	1.7	24.4	65.4		Unidentified.calls
15	Spectrogram 1	1	20150222_190000.wav	20150222_190000.wav	25457.499377687	25458.727617195	253592	254821	2015/2/22  19:04:13.499	1.228	25.2	64.0	0.8	25.4	54.7		Unidentified.calls
16	Spectrogram 1	1	20150222_190000.wav	20150222_190000.wav	28707.570941658	28710.273068577	3503664	3506366	2015/2/22  19:58:23.571	2.702	51.6	68.0	1.4	52.7	65.4		Unidentified.calls
17	Spectrogram 1	1	20150224_140000.wav	20150224_140000.wav	29240.938448311	29242.16668782	436494	437723	2015/2/24  14:07:16.938	1.228	82.3	108.4	0.6	85.9	106.4		Unidentified.calls
18	Spectrogram 1	1	20150224_140000.wav	20150224_140000.wav	29313.073854657	29314.547742068	508630	510104	2015/2/24  14:08:28.074	1.474	46.1	75.5	1.1	49.8	72.3		Unidentified.calls
19	Spectrogram 1	1	20150224_140000.wav	20150224_140000.wav	29140.799181167	29149.151209826	336355	344707	2015/2/24  14:05:36.799	8.352	17.4	21.5	6.3	17.6	21.5		Unidentified.calls
20	Spectrogram 1	1	20150226_080000.wav	20150226_080000.wav	35220.934093142	35222.162332651	2815953	2817181	2015/2/26  8:46:55.934	1.228	59.1	120.7	0.8	63.5	114.3		Unidentified.calls
