run_id,fold,NMR,CMR,TCR,F
250817_224430,BallenyIslands2015,0.19,0.09,0.07,0.65
250817_224430,casey2014,0.64,0.15,0.15,0.43
250817_224430,casey2017,0.37,0.06,0.09,0.57
250817_224430,ElephantIsland2013,0.46,0.21,0.17,0.51
250817_224430,ElephantIsland2014,0.43,0.15,0.13,0.53
250817_224430,kerguelen2005,0.4,0.1,0.09,0.54
250817_224430,kerguelen2014,0.38,0.12,0.12,0.56
250817_224430,kerguelen2015,0.43,0.17,0.15,0.53
250817_224430,Greenwich64S2015,0.38,0.11,0.11,0.56
250817_224430,MaudRise2014,0.23,0.09,0.07,0.63
